edge_key,source_cyano,target_cyano,source_type_cyano,target_type_cyano,relation_cyano,cyano_weight,support_datasets_cyano,source_dino_post,target_dino_post,source_type_dino_post,target_type_dino_post,relation_dino_post,dino_post_weight,support_datasets_dino_post,convergence_score
cyanobacteria||saxitoxin,saxitoxin,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,353,cyano_all,saxitoxin,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,51,dino_post2015,404
cyanobacteria||cyanobacterial,cyanobacteria,cyanobacterial,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,262,cyano_all,cyanobacteria,cyanobacterial,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,12,dino_post2015,274
cyanobacterial||saxitoxin,saxitoxin,cyanobacterial,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,215,cyano_all,saxitoxin,cyanobacterial,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,11,dino_post2015,226
dinoflagellates||saxitoxin,saxitoxin,dinoflagellates,TOXIN,DINO_TAXON,taxon_associated_with_toxin,77,cyano_all,saxitoxin,dinoflagellates,TOXIN,DINO_TAXON,taxon_associated_with_toxin,122,dino_post2015,199
cyanobacteria||dinoflagellates,dinoflagellates,cyanobacteria,DINO_TAXON,CYANO_TAXON,semantic_cooccurrence,105,cyano_all,dinoflagellates,cyanobacteria,DINO_TAXON,CYANO_TAXON,semantic_cooccurrence,63,dino_post2015,168
saxitoxin||toxicity,saxitoxin,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,101,cyano_all,saxitoxin,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,66,dino_post2015,167
alexandrium||saxitoxin,saxitoxin,alexandrium,TOXIN,DINO_TAXON,taxon_associated_with_toxin,28,cyano_all,saxitoxin,alexandrium,TOXIN,DINO_TAXON,taxon_associated_with_toxin,131,dino_post2015,159
bloom||saxitoxin,saxitoxin,bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin,102,cyano_all,saxitoxin,bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin,53,dino_post2015,155
alexandrium||dinoflagellate,dinoflagellate,alexandrium,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,34,cyano_all,dinoflagellate,alexandrium,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,120,dino_post2015,154
biosynthesis||saxitoxin,saxitoxin,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,85,cyano_all,saxitoxin,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,66,dino_post2015,151
dinoflagellate||saxitoxin,saxitoxin,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,34,cyano_all,saxitoxin,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,111,dino_post2015,145
paralytic_shellfish_toxins||saxitoxin,saxitoxin,paralytic_shellfish_toxins,TOXIN,TOXIN,semantic_cooccurrence,59,cyano_all,saxitoxin,paralytic_shellfish_toxins,TOXIN,TOXIN,semantic_cooccurrence,85,dino_post2015,144
