edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
cyanobacteria||saxitoxin,saxitoxin,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,51,353.0,29.0,1,1,cyano_and_dino_prior_signal,382.0
cyanobacteria||cyanobacterial,cyanobacteria,cyanobacterial,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,12,262.0,13.0,1,1,cyano_and_dino_prior_signal,275.0
cyanobacterial||saxitoxin,saxitoxin,cyanobacterial,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,11,215.0,12.0,1,1,cyano_and_dino_prior_signal,227.0
alexandrium||dinoflagellate,dinoflagellate,alexandrium,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,120,34.0,169.0,1,1,cyano_and_dino_prior_signal,203.0
dinoflagellate||saxitoxin,saxitoxin,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,111,34.0,159.0,1,1,cyano_and_dino_prior_signal,193.0
dinoflagellates||saxitoxin,saxitoxin,dinoflagellates,TOXIN,DINO_TAXON,taxon_associated_with_toxin,122,77.0,110.0,1,1,cyano_and_dino_prior_signal,187.0
paralytic_shellfish_poisoning||saxitoxin,saxitoxin,paralytic_shellfish_poisoning,TOXIN,TOXIN,semantic_cooccurrence,68,56.0,126.0,1,1,cyano_and_dino_prior_signal,182.0
saxitoxin||toxicity,saxitoxin,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,66,101.0,77.0,1,1,cyano_and_dino_prior_signal,178.0
alexandrium||saxitoxin,saxitoxin,alexandrium,TOXIN,DINO_TAXON,taxon_associated_with_toxin,131,28.0,139.0,1,1,cyano_and_dino_prior_signal,167.0
alexandrium||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,alexandrium,TOXIN,DINO_TAXON,taxon_associated_with_toxin,59,18.0,135.0,1,1,cyano_and_dino_prior_signal,153.0
dinoflagellate||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,54,20.0,131.0,1,1,cyano_and_dino_prior_signal,151.0
bloom||saxitoxin,saxitoxin,bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin,53,102.0,45.0,1,1,cyano_and_dino_prior_signal,147.0
cyanobacteria||dinoflagellates,dinoflagellates,cyanobacteria,DINO_TAXON,CYANO_TAXON,semantic_cooccurrence,63,105.0,41.0,1,1,cyano_and_dino_prior_signal,146.0
dinoflagellates||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,dinoflagellates,TOXIN,DINO_TAXON,taxon_associated_with_toxin,50,40.0,101.0,1,1,cyano_and_dino_prior_signal,141.0
paralytic_shellfish_toxins||saxitoxin,saxitoxin,paralytic_shellfish_toxins,TOXIN,TOXIN,semantic_cooccurrence,85,59.0,77.0,1,1,cyano_and_dino_prior_signal,136.0
cyanobacterium||saxitoxin,saxitoxin,cyanobacterium,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,6,124.0,10.0,1,1,cyano_and_dino_prior_signal,134.0
alexandrium||dinoflagellates,dinoflagellates,alexandrium,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,89,37.0,94.0,1,1,cyano_and_dino_prior_signal,131.0
dinoflagellate||dinoflagellates,dinoflagellate,dinoflagellates,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,70,40.0,83.0,1,1,cyano_and_dino_prior_signal,123.0
bloom||cyanobacteria,cyanobacteria,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,14,116.0,6.0,1,1,cyano_and_dino_prior_signal,122.0
cyanobacteria||toxicity,cyanobacteria,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,13,116.0,6.0,1,1,cyano_and_dino_prior_signal,122.0
dinoflagellates||paralytic_shellfish_toxins,paralytic_shellfish_toxins,dinoflagellates,TOXIN,DINO_TAXON,taxon_associated_with_toxin,75,46.0,75.0,1,1,cyano_and_dino_prior_signal,121.0
dinoflagellate||paralytic_shellfish_toxins,paralytic_shellfish_toxins,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,74,22.0,94.0,1,1,cyano_and_dino_prior_signal,116.0
alexandrium||paralytic_shellfish_toxins,paralytic_shellfish_toxins,alexandrium,TOXIN,DINO_TAXON,taxon_associated_with_toxin,106,17.0,95.0,1,1,cyano_and_dino_prior_signal,112.0
biosynthesis||cyanobacteria,cyanobacteria,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,32,93.0,16.0,1,1,cyano_and_dino_prior_signal,109.0
biosynthesis||saxitoxin,saxitoxin,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,66,85.0,21.0,1,1,cyano_and_dino_prior_signal,106.0
hplc||saxitoxin,saxitoxin,hplc,TOXIN,DETECTION_METHOD,method_associated_with_toxin,15,51.0,55.0,1,1,cyano_and_dino_prior_signal,106.0
cyanobacteria||paralytic_shellfish_toxins,paralytic_shellfish_toxins,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,24,82.0,21.0,1,1,cyano_and_dino_prior_signal,103.0
alexandrium||alexandrium_tamarense,alexandrium,alexandrium_tamarense,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,19,10.0,93.0,1,1,cyano_and_dino_prior_signal,103.0
cylindrospermopsis||saxitoxin,saxitoxin,cylindrospermopsis,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,3,94.0,4.0,1,1,cyano_and_dino_prior_signal,98.0
alexandrium||toxicity,alexandrium,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,59,4.0,90.0,1,1,cyano_and_dino_prior_signal,94.0
cyanobacteria||cylindrospermopsis,cyanobacteria,cylindrospermopsis,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,3,88.0,6.0,1,1,cyano_and_dino_prior_signal,94.0
bloom||cyanobacterial,cyanobacterial,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,90.0,4.0,1,1,cyano_and_dino_prior_signal,94.0
cyanobacteria||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,19,71.0,22.0,1,1,cyano_and_dino_prior_signal,93.0
paralytic_shellfish_poisoning||toxicity,paralytic_shellfish_poisoning,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,34,23.0,67.0,1,1,cyano_and_dino_prior_signal,90.0
gymnodinium||gymnodinium_catenatum,gymnodinium,gymnodinium_catenatum,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,43,7.0,81.0,1,1,cyano_and_dino_prior_signal,88.0
cyanobacteria||cyanobacterium,cyanobacteria,cyanobacterium,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,6,82.0,6.0,1,1,cyano_and_dino_prior_signal,88.0
saxitoxin||sxta,saxitoxin,sxta,TOXIN,SXT_GENE,gene_associated_with_toxin,46,65.0,22.0,1,1,cyano_and_dino_prior_signal,87.0
cyanobacterial||toxicity,cyanobacterial,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,85.0,2.0,1,1,cyano_and_dino_prior_signal,87.0
aphanizomenon||saxitoxin,saxitoxin,aphanizomenon,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,2,79.0,7.0,1,1,cyano_and_dino_prior_signal,86.0
anabaena||cyanobacteria,cyanobacteria,anabaena,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,4,75.0,8.0,1,1,cyano_and_dino_prior_signal,83.0
anabaena||saxitoxin,saxitoxin,anabaena,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,4,75.0,8.0,1,1,cyano_and_dino_prior_signal,83.0
aphanizomenon||cyanobacteria,cyanobacteria,aphanizomenon,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,2,77.0,3.0,1,1,cyano_and_dino_prior_signal,80.0
dinoflagellate||toxicity,dinoflagellate,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,47,3.0,76.0,1,1,cyano_and_dino_prior_signal,79.0
