edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
cyanobacteria||dolichospermum,cyanobacteria,dolichospermum,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,3,44.0,0.0,1,0,cyano_only_prior_signal,44.0
dolichospermum||saxitoxin,saxitoxin,dolichospermum,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,3,39.0,0.0,1,0,cyano_only_prior_signal,39.0
cyanobacteria||temperature,cyanobacteria,temperature,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,4,29.0,0.0,1,0,cyano_only_prior_signal,29.0
cyanobacteria||nutrients,cyanobacteria,nutrients,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,5,23.0,0.0,1,0,cyano_only_prior_signal,23.0
cyanobacterial||temperature,cyanobacterial,temperature,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,18.0,0.0,1,0,cyano_only_prior_signal,18.0
cyanobacterium||dolichospermum,cyanobacterium,dolichospermum,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,2,13.0,0.0,1,0,cyano_only_prior_signal,13.0
biosynthesis||dolichospermum,dolichospermum,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,13.0,0.0,1,0,cyano_only_prior_signal,13.0
bloom||dolichospermum,dolichospermum,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,13.0,0.0,1,0,cyano_only_prior_signal,13.0
cyanobacteria||warming,cyanobacteria,warming,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,12.0,0.0,1,0,cyano_only_prior_signal,12.0
elisa||toxin_production,toxin_production,elisa,BIOLOGICAL_PROCESS,DETECTION_METHOD,semantic_cooccurrence,2,11.0,0.0,1,0,cyano_only_prior_signal,11.0
cylindrospermopsis||toxin_production,cylindrospermopsis,toxin_production,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,11.0,0.0,1,0,cyano_only_prior_signal,11.0
expression||toxicity,expression,toxicity,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,13,10.0,0.0,1,0,cyano_only_prior_signal,10.0
elisa||sxta,sxta,elisa,SXT_GENE,DETECTION_METHOD,semantic_cooccurrence,1,10.0,0.0,1,0,cyano_only_prior_signal,10.0
