edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
bloom||saxitoxin,saxitoxin,bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin,53,102.0,45.0,1,1,cyano_and_dino_prior_signal,147.0
bloom||cyanobacteria,cyanobacteria,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,14,116.0,6.0,1,1,cyano_and_dino_prior_signal,122.0
bloom||cyanobacterial,cyanobacterial,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,90.0,4.0,1,1,cyano_and_dino_prior_signal,94.0
bloom||toxicity,bloom,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,33,42.0,29.0,1,1,cyano_and_dino_prior_signal,71.0
bloom||dinoflagellate,dinoflagellate,bloom,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,47,10.0,56.0,1,1,cyano_and_dino_prior_signal,66.0
bloom||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin,31,19.0,47.0,1,1,cyano_and_dino_prior_signal,66.0
alexandrium||bloom,alexandrium,bloom,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,58,8.0,53.0,1,1,cyano_and_dino_prior_signal,61.0
bloom||dinoflagellates,dinoflagellates,bloom,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,38,19.0,35.0,1,1,cyano_and_dino_prior_signal,54.0
bloom||paralytic_shellfish_toxins,paralytic_shellfish_toxins,bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin,40,20.0,32.0,1,1,cyano_and_dino_prior_signal,52.0
saxitoxin||temperature,saxitoxin,temperature,TOXIN,ENV_FACTOR,environment_associated_with_toxin,25,27.0,20.0,1,1,cyano_and_dino_prior_signal,47.0
cyanobacteria||nitrogen,cyanobacteria,nitrogen,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,3,44.0,3.0,1,1,cyano_and_dino_prior_signal,47.0
nitrogen||saxitoxin,saxitoxin,nitrogen,TOXIN,ENV_FACTOR,environment_associated_with_toxin,14,37.0,9.0,1,1,cyano_and_dino_prior_signal,46.0
nutrient||saxitoxin,saxitoxin,nutrient,TOXIN,ENV_FACTOR,environment_associated_with_toxin,19,31.0,14.0,1,1,cyano_and_dino_prior_signal,45.0
cyanobacteria||nutrient,cyanobacteria,nutrient,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,8,41.0,3.0,1,1,cyano_and_dino_prior_signal,44.0
nitrogen||phosphorus,nitrogen,phosphorus,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,7,28.0,11.0,1,1,cyano_and_dino_prior_signal,39.0
bloom||hplc,bloom,hplc,ENV_FACTOR,DETECTION_METHOD,semantic_cooccurrence,7,21.0,18.0,1,1,cyano_and_dino_prior_signal,39.0
climate||cyanobacteria,cyanobacteria,climate,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,4,37.0,1.0,1,1,cyano_and_dino_prior_signal,38.0
cyanobacteria||phosphorus,cyanobacteria,phosphorus,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,4,34.0,1.0,1,1,cyano_and_dino_prior_signal,35.0
alexandrium||nutrient,alexandrium,nutrient,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,24,4.0,30.0,1,1,cyano_and_dino_prior_signal,34.0
light||saxitoxin,saxitoxin,light,TOXIN,ENV_FACTOR,environment_associated_with_toxin,12,18.0,16.0,1,1,cyano_and_dino_prior_signal,34.0
nitrogen||nutrient,nitrogen,nutrient,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,11,17.0,16.0,1,1,cyano_and_dino_prior_signal,33.0
harmful_algal_bloom||saxitoxin,saxitoxin,harmful_algal_bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin;process_associated_with_toxin,20,18.0,14.0,1,1,cyano_and_dino_prior_signal,32.0
dinoflagellate||nutrient,dinoflagellate,nutrient,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,19,5.0,27.0,1,1,cyano_and_dino_prior_signal,32.0
bloom||cyanobacterium,cyanobacterium,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,30.0,1.0,1,1,cyano_and_dino_prior_signal,31.0
bloom||cylindrospermopsis,cylindrospermopsis,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,29.0,1.0,1,1,cyano_and_dino_prior_signal,30.0
bloom||harmful_algal_bloom,bloom,harmful_algal_bloom,ENV_FACTOR,ENV_FACTOR,environment_associated_with_process;semantic_cooccurrence,26,12.0,17.0,1,1,cyano_and_dino_prior_signal,29.0
bloom||nutrient,nutrient,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,17,19.0,10.0,1,1,cyano_and_dino_prior_signal,29.0
biosynthesis||bloom,bloom,biosynthesis,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,12,26.0,3.0,1,1,cyano_and_dino_prior_signal,29.0
nutrients||saxitoxin,saxitoxin,nutrients,TOXIN,ENV_FACTOR,environment_associated_with_toxin,10,23.0,6.0,1,1,cyano_and_dino_prior_signal,29.0
nutrient||phosphorus,phosphorus,nutrient,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,7,16.0,13.0,1,1,cyano_and_dino_prior_signal,29.0
cyanobacteria||temperature,cyanobacteria,temperature,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,4,29.0,0.0,1,0,cyano_only_prior_signal,29.0
temperature||toxicity,temperature,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,19,14.0,14.0,1,1,cyano_and_dino_prior_signal,28.0
phosphorus||saxitoxin,saxitoxin,phosphorus,TOXIN,ENV_FACTOR,environment_associated_with_toxin,7,25.0,2.0,1,1,cyano_and_dino_prior_signal,27.0
climate||saxitoxin,saxitoxin,climate,TOXIN,ENV_FACTOR,environment_associated_with_toxin,13,22.0,4.0,1,1,cyano_and_dino_prior_signal,26.0
bloom||nitrogen,nitrogen,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,6,19.0,7.0,1,1,cyano_and_dino_prior_signal,26.0
