edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
biosynthesis||cyanobacteria,cyanobacteria,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,32,93.0,16.0,1,1,cyano_and_dino_prior_signal,109.0
biosynthesis||saxitoxin,saxitoxin,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,66,85.0,21.0,1,1,cyano_and_dino_prior_signal,106.0
saxitoxin||sxta,saxitoxin,sxta,TOXIN,SXT_GENE,gene_associated_with_toxin,46,65.0,22.0,1,1,cyano_and_dino_prior_signal,87.0
cyanobacteria||sxta,sxta,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,16,68.0,11.0,1,1,cyano_and_dino_prior_signal,79.0
biosynthesis||dinoflagellates,dinoflagellates,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,60,47.0,22.0,1,1,cyano_and_dino_prior_signal,69.0
biosynthesis||cyanobacterial,cyanobacterial,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,7,56.0,8.0,1,1,cyano_and_dino_prior_signal,64.0
biosynthesis||paralytic_shellfish_toxins,paralytic_shellfish_toxins,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,36,37.0,16.0,1,1,cyano_and_dino_prior_signal,53.0
biosynthesis||dinoflagellate,dinoflagellate,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,49,27.0,23.0,1,1,cyano_and_dino_prior_signal,50.0
biosynthesis||sxta,sxta,biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,42,35.0,11.0,1,1,cyano_and_dino_prior_signal,46.0
dinoflagellates||sxta,sxta,dinoflagellates,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,37,27.0,18.0,1,1,cyano_and_dino_prior_signal,45.0
cyanobacterial||sxta,sxta,cyanobacterial,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,2,38.0,7.0,1,1,cyano_and_dino_prior_signal,45.0
alexandrium||biosynthesis,alexandrium,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,53,20.0,22.0,1,1,cyano_and_dino_prior_signal,42.0
saxitoxin||saxitoxin_biosynthesis,saxitoxin,saxitoxin_biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,26,26.0,14.0,1,1,cyano_and_dino_prior_signal,40.0
biosynthesis||saxitoxin_biosynthesis,biosynthesis,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,26,26.0,13.0,1,1,cyano_and_dino_prior_signal,39.0
biosynthesis||toxin_biosynthesis,biosynthesis,toxin_biosynthesis,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,23,26.0,10.0,1,1,cyano_and_dino_prior_signal,36.0
dinoflagellate||sxta,sxta,dinoflagellate,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,33,17.0,18.0,1,1,cyano_and_dino_prior_signal,35.0
alexandrium||sxta,sxta,alexandrium,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,41,15.0,19.0,1,1,cyano_and_dino_prior_signal,34.0
biosynthesis||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,23,21.0,12.0,1,1,cyano_and_dino_prior_signal,33.0
saxitoxin||sxt_genes,saxitoxin,sxt_genes,TOXIN,SXT_GENE,gene_associated_with_toxin,19,27.0,6.0,1,1,cyano_and_dino_prior_signal,33.0
cyanobacteria||saxitoxin_biosynthesis,cyanobacteria,saxitoxin_biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,11,23.0,7.0,1,1,cyano_and_dino_prior_signal,30.0
biosynthesis||expression,biosynthesis,expression,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,25,20.0,9.0,1,1,cyano_and_dino_prior_signal,29.0
biosynthesis||bloom,bloom,biosynthesis,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,12,26.0,3.0,1,1,cyano_and_dino_prior_signal,29.0
cyanobacteria||sxt_genes,sxt_genes,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,10,26.0,3.0,1,1,cyano_and_dino_prior_signal,29.0
biosynthesis||sxt_genes,sxt_genes,biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,18,22.0,6.0,1,1,cyano_and_dino_prior_signal,28.0
cyanobacteria||toxin_biosynthesis,cyanobacteria,toxin_biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,9,22.0,5.0,1,1,cyano_and_dino_prior_signal,27.0
paralytic_shellfish_poisoning||sxta,paralytic_shellfish_poisoning,sxta,TOXIN,SXT_GENE,gene_associated_with_toxin,18,16.0,10.0,1,1,cyano_and_dino_prior_signal,26.0
biosynthesis||phylogenetic,biosynthesis,phylogenetic,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,10,20.0,6.0,1,1,cyano_and_dino_prior_signal,26.0
anabaena||biosynthesis,anabaena,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,23.0,3.0,1,1,cyano_and_dino_prior_signal,26.0
expression||sxta,sxta,expression,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,25,17.0,6.0,1,1,cyano_and_dino_prior_signal,23.0
biosynthesis||toxicity,biosynthesis,toxicity,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,20,17.0,6.0,1,1,cyano_and_dino_prior_signal,23.0
paralytic_shellfish_toxins||toxin_biosynthesis,paralytic_shellfish_toxins,toxin_biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,12,16.0,7.0,1,1,cyano_and_dino_prior_signal,23.0
paralytic_shellfish_toxins||sxta,paralytic_shellfish_toxins,sxta,TOXIN,SXT_GENE,gene_associated_with_toxin,17,14.0,8.0,1,1,cyano_and_dino_prior_signal,22.0
dinoflagellates||toxin_biosynthesis,dinoflagellates,toxin_biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,15,14.0,7.0,1,1,cyano_and_dino_prior_signal,21.0
biosynthesis||cyanobacterium,cyanobacterium,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,20.0,1.0,1,1,cyano_and_dino_prior_signal,21.0
sxta||sxtg,sxta,sxtg,SXT_GENE,SXT_GENE,semantic_cooccurrence,20,14.0,6.0,1,1,cyano_and_dino_prior_signal,20.0
dinoflagellates||saxitoxin_biosynthesis,dinoflagellates,saxitoxin_biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,17,12.0,8.0,1,1,cyano_and_dino_prior_signal,20.0
biosynthesis||toxin_production,biosynthesis,toxin_production,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,15,12.0,8.0,1,1,cyano_and_dino_prior_signal,20.0
