edge_key,source,source_type,target,target_type,cyano_historical_relation,cyano_pre_weight,transferable,candidate_status,historical_rank,dino_post_relation,dino_post_weight,Temporal_Supported,temporal_status
biosynthesis||toxin_biosynthesis,biosynthesis,BIOLOGICAL_PROCESS,toxin_biosynthesis,BIOLOGICAL_PROCESS,semantic_cooccurrence,14,True,historical_cyano_only,1,semantic_cooccurrence,23.0,1,subsequent_dino_support
saxitoxin||toxin_production,saxitoxin,TOXIN,toxin_production,BIOLOGICAL_PROCESS,process_associated_with_toxin,12,True,historical_cyano_only,2,process_associated_with_toxin,25.0,1,subsequent_dino_support
bloom||toxin_production,bloom,ENV_FACTOR,toxin_production,BIOLOGICAL_PROCESS,environment_associated_with_process,10,True,historical_cyano_only,3,environment_associated_with_process,14.0,1,subsequent_dino_support
paralytic_shellfish_toxins||toxin_biosynthesis,paralytic_shellfish_toxins,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_associated_with_toxin,9,True,historical_cyano_only,4,process_associated_with_toxin,12.0,1,subsequent_dino_support
chemical_analysis||saxitoxin,saxitoxin,TOXIN,chemical_analysis,DETECTION_METHOD,method_associated_with_toxin,9,True,historical_cyano_only,5,,0.0,0,not_observed_post2015
chemical_analysis||toxicity,toxicity,BIOLOGICAL_PROCESS,chemical_analysis,DETECTION_METHOD,semantic_cooccurrence,9,True,historical_cyano_only,6,,0.0,0,not_observed_post2015
biosynthesis||saxitoxin_biosynthesis,biosynthesis,BIOLOGICAL_PROCESS,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,semantic_cooccurrence,8,True,historical_cyano_only,7,semantic_cooccurrence,26.0,1,subsequent_dino_support
saxitoxin||saxitoxin_biosynthesis,saxitoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_associated_with_toxin,8,True,historical_cyano_only,8,process_associated_with_toxin,26.0,1,subsequent_dino_support
saxitoxin||toxin_biosynthesis,saxitoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_associated_with_toxin,8,True,historical_cyano_only,9,process_associated_with_toxin,15.0,1,subsequent_dino_support
expression||gene_expression,expression,BIOLOGICAL_PROCESS,gene_expression,BIOLOGICAL_PROCESS,semantic_cooccurrence,7,True,historical_cyano_only,10,semantic_cooccurrence,13.0,1,subsequent_dino_support
toxicity||toxin_production,toxicity,BIOLOGICAL_PROCESS,toxin_production,BIOLOGICAL_PROCESS,semantic_cooccurrence,7,True,historical_cyano_only,11,semantic_cooccurrence,16.0,1,subsequent_dino_support
paralytic_shellfish_toxins||toxin_production,paralytic_shellfish_toxins,TOXIN,toxin_production,BIOLOGICAL_PROCESS,process_associated_with_toxin,6,True,historical_cyano_only,12,process_associated_with_toxin,23.0,1,subsequent_dino_support
saxitoxin||sxt_genes,saxitoxin,TOXIN,sxt_genes,SXT_GENE,gene_associated_with_toxin,6,True,historical_cyano_only,13,gene_associated_with_toxin,19.0,1,subsequent_dino_support
