source,target,weight
alexandrium,saxitoxin,131
dinoflagellates,saxitoxin,122
alexandrium,dinoflagellate,120
dinoflagellate,saxitoxin,111
alexandrium,paralytic_shellfish_toxins,106
alexandrium,dinoflagellates,89
paralytic_shellfish_toxins,saxitoxin,85
alexandrium,alexandrium_catenella,75
dinoflagellates,paralytic_shellfish_toxins,75
dinoflagellate,paralytic_shellfish_toxins,74
dinoflagellate,dinoflagellates,70
paralytic_shellfish_poisoning,saxitoxin,68
biosynthesis,saxitoxin,66
saxitoxin,toxicity,66
cyanobacteria,dinoflagellates,63
biosynthesis,dinoflagellates,60
alexandrium,paralytic_shellfish_poisoning,59
alexandrium,toxicity,59
alexandrium,bloom,58
dinoflagellate,paralytic_shellfish_poisoning,54
alexandrium,biosynthesis,53
bloom,saxitoxin,53
cyanobacteria,saxitoxin,51
dinoflagellates,paralytic_shellfish_poisoning,50
biosynthesis,dinoflagellate,49
bloom,dinoflagellate,47
dinoflagellate,toxicity,47
saxitoxin,sxta,46
dinoflagellates,toxicity,45
alexandrium_catenella,paralytic_shellfish_toxins,44
alexandrium_catenella,dinoflagellate,43
gymnodinium,gymnodinium_catenatum,43
biosynthesis,sxta,42
alexandrium,sxta,41
alexandrium,alexandrium_minutum,40
bloom,paralytic_shellfish_toxins,40
paralytic_shellfish_toxins,toxicity,39
alexandrium_catenella,saxitoxin,38
bloom,dinoflagellates,38
dinoflagellates,sxta,37
biosynthesis,paralytic_shellfish_toxins,36
expression,saxitoxin,36
alexandrium,toxin_production,35
alexandrium,expression,34
paralytic_shellfish_poisoning,toxicity,34
bloom,toxicity,33
dinoflagellate,sxta,33
biosynthesis,cyanobacteria,32
gymnodinium,saxitoxin,32
paralytic_shellfish_poisoning,paralytic_shellfish_toxins,32
bloom,paralytic_shellfish_poisoning,31
alexandrium,alexandrium_pacificum,29
alexandrium,temperature,29
dinoflagellate,expression,28
dinoflagellate,toxin_production,28
pyrodinium,pyrodinium_bahamense,28
dinoflagellates,expression,27
dinoflagellates,toxin_production,27
gymnodinium_catenatum,saxitoxin,27
alexandrium_minutum,saxitoxin,26
biosynthesis,saxitoxin_biosynthesis,26
bloom,harmful_algal_bloom,26
saxitoxin,saxitoxin_biosynthesis,26
alexandrium_catenella,bloom,25
alexandrium_catenella,paralytic_shellfish_poisoning,25
biosynthesis,expression,25
cyanobacteria,dinoflagellate,25
expression,sxta,25
pyrodinium,saxitoxin,25
saxitoxin,temperature,25
saxitoxin,toxin_production,25
alexandrium,nutrient,24
cyanobacteria,paralytic_shellfish_toxins,24
alexandrium_catenella,dinoflagellates,23
biosynthesis,toxin_biosynthesis,23
dinoflagellate,gymnodinium,23
dinoflagellates,gymnodinium,23
gymnodinium,paralytic_shellfish_poisoning,23
gymnodinium,paralytic_shellfish_toxins,23
paralytic_shellfish_toxins,toxin_production,23
pyrodinium_bahamense,saxitoxin,23
dinoflagellate,gymnodinium_catenatum,22
dinoflagellate,nitrogen,22
gymnodinium_catenatum,paralytic_shellfish_poisoning,22
alexandrium,cyanobacteria,21
alexandrium,nitrogen,21
dinoflagellates,harmful_algal_bloom,21
alexandrium,sxtg,20
alexandrium_minutum,dinoflagellate,20
biosynthesis,toxicity,20
gymnodinium_catenatum,paralytic_shellfish_toxins,20
harmful_algal_bloom,saxitoxin,20
sxta,sxtg,20
alexandrium,alexandrium_tamarense,19
alexandrium,gymnodinium,19
alexandrium,saxitoxin_biosynthesis,19
alexandrium_minutum,dinoflagellates,19
alexandrium_pacificum,saxitoxin,19
biosynthesis,sxtg,19
bloom,pyrodinium,19
bloom,pyrodinium_bahamense,19
cyanobacteria,paralytic_shellfish_poisoning,19
dinoflagellate,nutrient,19
dinoflagellate,temperature,19
dinoflagellates,regulation,19
dinoflagellates,sxtg,19
gymnodinium,toxicity,19
mass_spectrometry,paralytic_shellfish_toxins,19
mass_spectrometry,saxitoxin,19
nutrient,saxitoxin,19
saxitoxin,sxt_genes,19
saxitoxin,sxtg,19
temperature,toxicity,19
alexandrium,light,18
alexandrium,regulation,18
alexandrium,salinity,18
alexandrium_catenella,toxicity,18
biosynthesis,sxt_genes,18
dinoflagellate,regulation,18
dinoflagellate,saxitoxin_biosynthesis,18
dinoflagellates,gymnodinium_catenatum,18
dinoflagellates,pyrodinium,18
dinoflagellates,sxt_genes,18
paralytic_shellfish_poisoning,sxta,18
regulation,saxitoxin,18
salinity,temperature,18
alexandrium_pacificum,dinoflagellate,17
bloom,nutrient,17
dinoflagellate,sxt_genes,17
dinoflagellate,sxtg,17
dinoflagellates,mass_spectrometry,17
dinoflagellates,saxitoxin_biosynthesis,17
alexandrium,harmful_algal_bloom,16
alexandrium,sxt_genes,16
alexandrium,transcriptomic,16
alexandrium_pacificum,dinoflagellates,16
biosynthesis,regulation,16
cyanobacteria,sxta,16
dinoflagellate,toxin_biosynthesis,16
dinoflagellates,nutrient,16
dinoflagellates,phylogenetic,16
dinoflagellates,pyrodinium_bahamense,16
dinoflagellates,temperature,16
expression,regulation,16
gonyautoxin,paralytic_shellfish_toxins,16
gonyautoxin,saxitoxin,16
gymnodinium_catenatum,toxicity,16
hplc,paralytic_shellfish_toxins,16
nutrient,paralytic_shellfish_toxins,16
paralytic_shellfish_toxins,temperature,16
phylogenetic,saxitoxin,16
toxicity,toxin_production,16
alexandrium,mass_spectrometry,15
alexandrium_pacificum,paralytic_shellfish_toxins,15
biosynthesis,toxin_production,15
dinoflagellate,harmful_algal_bloom,15
dinoflagellate,pyrodinium,15
dinoflagellate,pyrodinium_bahamense,15
dinoflagellates,toxin_biosynthesis,15
expression,paralytic_shellfish_toxins,15
hplc,saxitoxin,15
lc_ms,lc_ms_ms,15
paralytic_shellfish_poisoning,pyrodinium,15
saxitoxin,toxin_biosynthesis,15
saxitoxin,transcriptome,15
saxitoxin,transcriptomic,15
saxitoxin_biosynthesis,sxta,15
alexandrium,climate,14
alexandrium,nitrate,14
alexandrium,transcriptome,14
alexandrium_minutum,paralytic_shellfish_toxins,14
bloom,toxin_production,14
dinoflagellate,light,14
dinoflagellate,transcriptome,14
dinoflagellate,transcriptomic,14
dinoflagellates,nitrogen,14
harmful_algal_bloom,paralytic_shellfish_poisoning,14
nitrate,saxitoxin,14
nitrogen,saxitoxin,14
paralytic_shellfish_poisoning,pyrodinium_bahamense,14
paralytic_shellfish_poisoning,temperature,14
alexandrium,gymnodinium_catenatum,13
alexandrium,hplc,13
alexandrium,phylogenetic,13
alexandrium,toxin_biosynthesis,13
alexandrium_pacificum,biosynthesis,13
climate,saxitoxin,13
cyanobacteria,harmful_algal_bloom,13
dinoflagellate,nitrate,13
dinoflagellates,lc_ms,13
dinoflagellates,transcriptome,13
expression,gene_expression,13
gene_expression,saxitoxin,13
neosaxitoxin,saxitoxin,13
nitrate,nitrogen,13
nutrient,toxicity,13
salinity,toxicity,13
alexandrium_minutum,expression,12
alexandrium_minutum,paralytic_shellfish_poisoning,12
cyanobacteria,cyanobacterial,12
cyanobacterial,dinoflagellates,12
dinoflagellate,hplc,12
dinoflagellate,mass_spectrometry,12
dinoflagellates,nitrate,12
expression,sxtg,12
lc_ms,saxitoxin,12
light,paralytic_shellfish_toxins,12
light,saxitoxin,12
nitrogen,paralytic_shellfish_poisoning,12
nitrogen,paralytic_shellfish_toxins,12
nutrient,paralytic_shellfish_poisoning,12
paralytic_shellfish_toxins,toxin_biosynthesis,12
regulation,toxicity,12
alexandrium,alexandrium_fundyense,11
alexandrium,gonyautoxin,11
alexandrium_pacificum,toxin_production,11
alexandrium_tamarense,paralytic_shellfish_toxins,11
biosynthesis,nitrogen,11
cyanobacteria,saxitoxin_biosynthesis,11
cyanobacterial,saxitoxin,11
dinoflagellate,phylogenetic,11
dinoflagellate,salinity,11
dinoflagellates,light,11
harmful_algal_bloom,paralytic_shellfish_toxins,11
lc_ms,mass_spectrometry,11
neosaxitoxin,paralytic_shellfish_toxins,11
paralytic_shellfish_toxins,salinity,11
regulation,sxta,11
saxitoxin_biosynthesis,sxt_genes,11
sxt_genes,sxta,11
alexandrium,nutrients,10
alexandrium_fundyense,dinoflagellate,10
alexandrium_tamarense,dinoflagellate,10
biosynthesis,phylogenetic,10
biosynthesis,sxtb,10
biosynthesis,transcriptome,10
biosynthesis,transcriptomic,10
climate,dinoflagellates,10
cyanobacteria,sxt_genes,10
dinoflagellate,nutrients,10
dinoflagellates,evolution,10
dinoflagellates,salinity,10
dinoflagellates,sxti,10
dinoflagellates,transcriptomic,10
lc_ms,paralytic_shellfish_toxins,10
nutrient,nutrients,10
nutrients,saxitoxin,10
paralytic_shellfish_poisoning,sxtg,10
pyrodinium,toxicity,10
salinity,saxitoxin,10
saxitoxin,sxtb,10
sxta,toxin_biosynthesis,10
sxta,transcriptome,10
alexandrium,gene_expression,9
alexandrium,pyrodinium,9
alexandrium,sxtb,9
alexandrium,sxti,9
alexandrium_fundyense,saxitoxin,9
alexandrium_minutum,biosynthesis,9
alexandrium_pacificum,sxta,9
alexandrium_tamarense,saxitoxin,9
biosynthesis,sxti,9
bloom,nutrients,9
climate,paralytic_shellfish_toxins,9
cyanobacteria,toxin_biosynthesis,9
dinoflagellate,gene_expression,9
dinoflagellate,sxtb,9
dinoflagellates,gene_expression,9
dinoflagellates,hplc,9
dinoflagellates,lc_ms_ms,9
dinoflagellates,sxtb,9
expression,transcriptomic,9
gonyautoxin,neosaxitoxin,9
hplc,toxicity,9
lc_ms_ms,mass_spectrometry,9
lc_ms_ms,paralytic_shellfish_toxins,9
lc_ms_ms,saxitoxin,9
light,toxicity,9
mass_spectrometry,paralytic_shellfish_poisoning,9
pyrodinium_bahamense,toxicity,9
sxta,sxti,9
transcriptome,transcriptomic,9
alexandrium,lc_ms,8
alexandrium,lc_ms_ms,8
alexandrium,neosaxitoxin,8
alexandrium_minutum,transcriptomic,8
biosynthesis,nitrate,8
biosynthesis,pyrodinium_bahamense,8
climate,dinoflagellate,8
cyanobacteria,phylogenetic,8
dinoflagellate,sxti,8
dinoflagellates,gonyautoxin,8
dinoflagellates,nutrients,8
evolution,saxitoxin,8
expression,sxti,8
gene_expression,sxta,8
gymnodinium,hplc,8
lc_ms,paralytic_shellfish_poisoning,8
