node,entity_type,degree,weighted_degree,community
saxitoxin,TOXIN,48,1474.0,1
alexandrium,DINO_TAXON,46,1404.0,2
dinoflagellates,DINO_TAXON,46,1187.0,1
dinoflagellate,DINO_TAXON,43,1167.0,2
paralytic_shellfish_toxins,TOXIN,31,856.0,2
biosynthesis,BIOLOGICAL_PROCESS,25,598.0,1
paralytic_shellfish_poisoning,TOXIN,22,555.0,0
toxicity,BIOLOGICAL_PROCESS,20,506.0,0
bloom,ENV_FACTOR,14,429.0,0
sxta,SXT_GENE,17,361.0,1
cyanobacteria,CYANO_TAXON,14,314.0,1
alexandrium_catenella,DINO_TAXON,8,291.0,2
expression,BIOLOGICAL_PROCESS,13,260.0,1
gymnodinium,DINO_TAXON,9,213.0,0
toxin_production,BIOLOGICAL_PROCESS,9,194.0,2
gymnodinium_catenatum,DINO_TAXON,8,181.0,0
alexandrium_minutum,DINO_TAXON,9,160.0,2
temperature,ENV_FACTOR,8,156.0,2
nutrient,ENV_FACTOR,9,146.0,0
saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,8,143.0,1
pyrodinium,DINO_TAXON,8,139.0,0
harmful_algal_bloom,ENV_FACTOR,8,136.0,0
sxtg,SXT_GENE,8,136.0,1
pyrodinium_bahamense,DINO_TAXON,8,132.0,0
alexandrium_pacificum,DINO_TAXON,8,129.0,2
regulation,BIOLOGICAL_PROCESS,8,128.0,1
sxt_genes,SXT_GENE,8,120.0,1
nitrogen,ENV_FACTOR,8,119.0,2
toxin_biosynthesis,BIOLOGICAL_PROCESS,8,113.0,1
mass_spectrometry,DETECTION_METHOD,8,111.0,3
transcriptomic,BIOLOGICAL_PROCESS,8,91.0,1
salinity,ENV_FACTOR,7,91.0,2
transcriptome,BIOLOGICAL_PROCESS,7,85.0,1
hplc,DETECTION_METHOD,7,82.0,2
lc_ms,DETECTION_METHOD,7,77.0,3
light,ENV_FACTOR,6,76.0,2
nitrate,ENV_FACTOR,6,74.0,2
phylogenetic,BIOLOGICAL_PROCESS,6,74.0,1
gene_expression,BIOLOGICAL_PROCESS,6,61.0,1
gonyautoxin,TOXIN,5,60.0,2
lc_ms_ms,DETECTION_METHOD,6,59.0,3
nutrients,ENV_FACTOR,6,57.0,0
climate,ENV_FACTOR,5,54.0,2
sxti,SXT_GENE,6,53.0,1
alexandrium_tamarense,DINO_TAXON,4,49.0,2
sxtb,SXT_GENE,5,47.0,1
neosaxitoxin,TOXIN,4,41.0,2
cyanobacterial,CYANO_TAXON,3,35.0,1
alexandrium_fundyense,DINO_TAXON,3,30.0,2
evolution,BIOLOGICAL_PROCESS,2,18.0,1
alexandrium_affine,DINO_TAXON,0,0.0,4
alexandrium_ostenfeldii,DINO_TAXON,0,0.0,5
alexandrium_tamiyavanichii,DINO_TAXON,0,0.0,6
anabaena,CYANO_TAXON,0,0.0,7
aphanizomenon,CYANO_TAXON,0,0.0,8
aptasensor,DETECTION_METHOD,0,0.0,9
biosensor,DETECTION_METHOD,0,0.0,10
bloom_dynamics,BIOLOGICAL_PROCESS,0,0.0,11
centrodinium,DINO_TAXON,0,0.0,12
centrodinium_punctatum,DINO_TAXON,0,0.0,13
chemical_analysis,DETECTION_METHOD,0,0.0,14
climate_change,ENV_FACTOR,0,0.0,15
cyanobacterium,CYANO_TAXON,0,0.0,16
cylindrospermopsis,CYANO_TAXON,0,0.0,17
cyst_formation,BIOLOGICAL_PROCESS,0,0.0,18
differential_expression,BIOLOGICAL_PROCESS,0,0.0,19
dolichospermum,CYANO_TAXON,0,0.0,20
elisa,DETECTION_METHOD,0,0.0,21
gene_loss,BIOLOGICAL_PROCESS,0,0.0,22
gtx,TOXIN,0,0.0,23
horizontal_gene_transfer,BIOLOGICAL_PROCESS,0,0.0,24
irradiance,ENV_FACTOR,0,0.0,25
liquid_chromatography,DETECTION_METHOD,0,0.0,26
mouse_bioassay,DETECTION_METHOD,0,0.0,27
nutrient_limitation,ENV_FACTOR,0,0.0,28
ocean_warming,ENV_FACTOR,0,0.0,29
oxidative_stress,ENV_FACTOR,0,0.0,30
phosphate,ENV_FACTOR,0,0.0,31
phosphorus,ENV_FACTOR,0,0.0,32
phylogeny,BIOLOGICAL_PROCESS,0,0.0,33
protoceratium,DINO_TAXON,0,0.0,34
protoceratium_reticulatum,DINO_TAXON,0,0.0,35
scytonema,CYANO_TAXON,0,0.0,36
sxtd,SXT_GENE,0,0.0,37
sxth,SXT_GENE,0,0.0,38
sxts,SXT_GENE,0,0.0,39
sxtu,SXT_GENE,0,0.0,40
toxin_profiling,DETECTION_METHOD,0,0.0,41
transcription,BIOLOGICAL_PROCESS,0,0.0,42
warming,ENV_FACTOR,0,0.0,43
