panel,network,node,entity_type,degree,weighted_degree
A,pre2016_dino,dinoflagellate,DINO_TAXON,47,2074.0
A,pre2016_dino,alexandrium,DINO_TAXON,41,1537.0
A,pre2016_dino,saxitoxin,TOXIN,37,1377.0
A,pre2016_dino,paralytic_shellfish_poisoning,TOXIN,30,1120.0
A,pre2016_dino,paralytic_shellfish_toxins,TOXIN,19,727.0
A,pre2016_dino,toxicity,BIOLOGICAL_PROCESS,23,718.0
A,pre2016_dino,stx,TOXIN,12,489.0
A,pre2016_dino,hplc,DETECTION_METHOD,9,334.0
A,pre2016_dino,alexandrium tamarense,DINO_TAXON,8,318.0
A,pre2016_dino,gymnodinium,DINO_TAXON,6,294.0
A,pre2016_dino,bloom,ENV_FACTOR,8,291.0
A,pre2016_dino,gymnodinium catenatum,DINO_TAXON,6,266.0
A,pre2016_dino,toxin production,BIOLOGICAL_PROCESS,9,219.0
A,pre2016_dino,cyanobacteria,CYANO_TAXON,9,210.0
A,pre2016_dino,alexandrium minutum,DINO_TAXON,6,180.0
A,pre2016_dino,mouse_bioassay,DETECTION_METHOD,6,170.0
A,pre2016_dino,gonyautoxin,TOXIN,6,167.0
A,pre2016_dino,biosynthesis,BIOLOGICAL_PROCESS,10,157.0
A,pre2016_dino,pyrodinium,DINO_TAXON,6,147.0
A,pre2016_dino,nutrient,ENV_FACTOR,8,131.0
A,pre2016_dino,pyrodinium bahamense,DINO_TAXON,6,131.0
A,pre2016_dino,neosaxitoxin,TOXIN,6,129.0
A,pre2016_dino,gtx,TOXIN,6,115.0
A,pre2016_dino,alexandrium fundyense,DINO_TAXON,6,109.0
A,pre2016_dino,alexandrium catenella,DINO_TAXON,6,105.0
A,pre2016_dino,expression,BIOLOGICAL_PROCESS,6,102.0
A,pre2016_dino,temperature,ENV_FACTOR,6,97.0
A,pre2016_dino,sxta,SXT_GENE,6,96.0
A,pre2016_dino,phylogenetic,BIOLOGICAL_PROCESS,6,89.0
A,pre2016_dino,nitrogen,ENV_FACTOR,6,86.0
A,pre2016_dino,light,ENV_FACTOR,6,85.0
A,pre2016_dino,mass_spectrometry,DETECTION_METHOD,6,84.0
A,pre2016_dino,nitrate,ENV_FACTOR,6,75.0
A,pre2016_dino,salinity,ENV_FACTOR,6,65.0
A,pre2016_dino,evolution,BIOLOGICAL_PROCESS,5,56.0
A,pre2016_dino,alexandrium ostenfeldii,DINO_TAXON,5,48.0
A,pre2016_dino,phosphorus,ENV_FACTOR,4,45.0
A,pre2016_dino,regulation,BIOLOGICAL_PROCESS,3,38.0
A,pre2016_dino,saxitoxin biosynthesis,BIOLOGICAL_PROCESS,4,36.0
A,pre2016_dino,gene expression,BIOLOGICAL_PROCESS,3,35.0
A,pre2016_dino,nutrients,ENV_FACTOR,3,30.0
A,pre2016_dino,phylogeny,BIOLOGICAL_PROCESS,3,30.0
A,pre2016_dino,phosphate,ENV_FACTOR,3,29.0
A,pre2016_dino,anabaena,CYANO_TAXON,3,28.0
A,pre2016_dino,toxin biosynthesis,BIOLOGICAL_PROCESS,3,27.0
A,pre2016_dino,lc_ms,DETECTION_METHOD,3,26.0
A,pre2016_dino,harmful algal bloom,ENV_FACTOR,2,22.0
A,pre2016_dino,alexandrium tamiyavanichii,DINO_TAXON,2,14.0
A,pre2016_dino,aphanizomenon,CYANO_TAXON,2,14.0
B,post2015_dino,saxitoxin,TOXIN,47,1464.0
B,post2015_dino,alexandrium,DINO_TAXON,43,1363.0
B,post2015_dino,dinoflagellate,DINO_TAXON,45,1181.0
B,post2015_dino,dinoflagellates,DINO_TAXON,45,1164.0
B,post2015_dino,paralytic_shellfish_toxins,TOXIN,27,802.0
B,post2015_dino,biosynthesis,BIOLOGICAL_PROCESS,21,542.0
B,post2015_dino,paralytic_shellfish_poisoning,TOXIN,13,422.0
B,post2015_dino,bloom,ENV_FACTOR,13,391.0
B,post2015_dino,toxicity,BIOLOGICAL_PROCESS,12,389.0
B,post2015_dino,sxta,SXT_GENE,11,286.0
B,post2015_dino,alexandrium_catenella,DINO_TAXON,6,250.0
B,post2015_dino,cyanobacteria,CYANO_TAXON,8,236.0
B,post2015_dino,expression,BIOLOGICAL_PROCESS,11,233.0
B,post2015_dino,gymnodinium,DINO_TAXON,6,167.0
B,post2015_dino,toxin_production,BIOLOGICAL_PROCESS,6,154.0
B,post2015_dino,gymnodinium_catenatum,DINO_TAXON,6,152.0
B,post2015_dino,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,7,132.0
B,post2015_dino,alexandrium_minutum,DINO_TAXON,6,131.0
B,post2015_dino,temperature,ENV_FACTOR,6,126.0
B,post2015_dino,nutrient,ENV_FACTOR,7,121.0
B,post2015_dino,pyrodinium,DINO_TAXON,6,120.0
B,post2015_dino,pyrodinium_bahamense,DINO_TAXON,6,115.0
B,post2015_dino,sxtg,SXT_GENE,6,114.0
B,post2015_dino,harmful_algal_bloom,ENV_FACTOR,6,112.0
B,post2015_dino,alexandrium_pacificum,DINO_TAXON,6,109.0
B,post2015_dino,sxt_genes,SXT_GENE,7,107.0
B,post2015_dino,regulation,BIOLOGICAL_PROCESS,6,105.0
B,post2015_dino,mass_spectrometry,DETECTION_METHOD,7,102.0
B,post2015_dino,nitrogen,ENV_FACTOR,6,96.0
B,post2015_dino,toxin_biosynthesis,BIOLOGICAL_PROCESS,6,94.0
B,post2015_dino,salinity,ENV_FACTOR,6,81.0
B,post2015_dino,light,ENV_FACTOR,6,76.0
B,post2015_dino,transcriptome,BIOLOGICAL_PROCESS,6,76.0
B,post2015_dino,transcriptomic,BIOLOGICAL_PROCESS,6,74.0
B,post2015_dino,phylogenetic,BIOLOGICAL_PROCESS,6,74.0
B,post2015_dino,hplc,DETECTION_METHOD,6,74.0
B,post2015_dino,nitrate,ENV_FACTOR,6,74.0
B,post2015_dino,lc_ms,DETECTION_METHOD,6,69.0
B,post2015_dino,climate,ENV_FACTOR,6,61.0
B,post2015_dino,gene_expression,BIOLOGICAL_PROCESS,6,61.0
B,post2015_dino,gonyautoxin,TOXIN,5,60.0
B,post2015_dino,lc_ms_ms,DETECTION_METHOD,6,59.0
B,post2015_dino,nutrients,ENV_FACTOR,6,57.0
B,post2015_dino,sxtb,SXT_GENE,6,55.0
B,post2015_dino,sxti,SXT_GENE,6,53.0
B,post2015_dino,alexandrium_tamarense,DINO_TAXON,4,49.0
B,post2015_dino,cyanobacterial,CYANO_TAXON,4,42.0
B,post2015_dino,neosaxitoxin,TOXIN,4,41.0
B,post2015_dino,alexandrium_fundyense,DINO_TAXON,3,30.0
B,post2015_dino,evolution,BIOLOGICAL_PROCESS,3,25.0
B,post2015_dino,sxtu,SXT_GENE,1,7.0
C,cyano_all,cyanobacteria,CYANO_TAXON,58,2739.0
C,cyano_all,saxitoxin,TOXIN,54,2451.0
C,cyano_all,cyanobacterial,CYANO_TAXON,36,1573.0
C,cyano_all,bloom,ENV_FACTOR,17,608.0
C,cyano_all,cyanobacterium,CYANO_TAXON,18,584.0
C,cyano_all,biosynthesis,BIOLOGICAL_PROCESS,18,572.0
C,cyano_all,dinoflagellates,DINO_TAXON,21,570.0
C,cyano_all,toxicity,BIOLOGICAL_PROCESS,15,565.0
C,cyano_all,cylindrospermopsis,CYANO_TAXON,9,403.0
C,cyano_all,aphanizomenon,CYANO_TAXON,12,384.0
C,cyano_all,paralytic_shellfish_toxins,TOXIN,10,359.0
C,cyano_all,anabaena,CYANO_TAXON,9,336.0
C,cyano_all,sxta,SXT_GENE,12,329.0
C,cyano_all,paralytic_shellfish_poisoning,TOXIN,7,256.0
C,cyano_all,hplc,DETECTION_METHOD,8,248.0
C,cyano_all,mass_spectrometry,DETECTION_METHOD,8,220.0
C,cyano_all,dinoflagellate,DINO_TAXON,8,220.0
C,cyano_all,alexandrium,DINO_TAXON,9,205.0
C,cyano_all,toxin_production,BIOLOGICAL_PROCESS,6,192.0
C,cyano_all,lc_ms,DETECTION_METHOD,6,186.0
C,cyano_all,nitrogen,ENV_FACTOR,7,185.0
C,cyano_all,expression,BIOLOGICAL_PROCESS,8,175.0
C,cyano_all,elisa,DETECTION_METHOD,6,171.0
C,cyano_all,phylogenetic,BIOLOGICAL_PROCESS,7,168.0
C,cyano_all,dolichospermum,CYANO_TAXON,6,163.0
C,cyano_all,planktothrix,CYANO_TAXON,6,156.0
C,cyano_all,phosphorus,ENV_FACTOR,7,151.0
C,cyano_all,nutrient,ENV_FACTOR,6,147.0
C,cyano_all,lc_ms_ms,DETECTION_METHOD,6,133.0
C,cyano_all,sxt_genes,SXT_GENE,7,125.0
C,cyano_all,neosaxitoxin,TOXIN,6,113.0
C,cyano_all,climate,ENV_FACTOR,6,112.0
C,cyano_all,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,6,108.0
C,cyano_all,temperature,ENV_FACTOR,6,107.0
C,cyano_all,toxin_biosynthesis,BIOLOGICAL_PROCESS,6,107.0
C,cyano_all,regulation,BIOLOGICAL_PROCESS,6,100.0
C,cyano_all,nutrients,ENV_FACTOR,6,92.0
C,cyano_all,mouse_bioassay,DETECTION_METHOD,6,78.0
C,cyano_all,lyngbya,CYANO_TAXON,6,77.0
C,cyano_all,sxti,SXT_GENE,6,77.0
C,cyano_all,sxtg,SXT_GENE,6,74.0
C,cyano_all,light,ENV_FACTOR,4,68.0
C,cyano_all,harmful_algal_bloom,ENV_FACTOR,4,59.0
C,cyano_all,evolution,BIOLOGICAL_PROCESS,4,49.0
C,cyano_all,gonyautoxin,TOXIN,4,48.0
C,cyano_all,gene_expression,BIOLOGICAL_PROCESS,3,48.0
C,cyano_all,horizontal_gene_transfer,BIOLOGICAL_PROCESS,4,47.0
C,cyano_all,phylogeny,BIOLOGICAL_PROCESS,3,30.0
C,cyano_all,alexandrium_minutum,DINO_TAXON,3,30.0
C,cyano_all,transcriptome,BIOLOGICAL_PROCESS,3,30.0
C,cyano_all,transcription,BIOLOGICAL_PROCESS,3,29.0
C,cyano_all,pyrodinium,DINO_TAXON,3,29.0
C,cyano_all,alexandrium_tamarense,DINO_TAXON,3,28.0
C,cyano_all,gymnodinium,DINO_TAXON,3,28.0
C,cyano_all,nitrate,ENV_FACTOR,2,24.0
C,cyano_all,warming,ENV_FACTOR,2,21.0
C,cyano_all,chemical_analysis,DETECTION_METHOD,2,21.0
C,cyano_all,scytonema,CYANO_TAXON,2,20.0
C,cyano_all,sxtb,SXT_GENE,2,17.0
C,cyano_all,sxts,SXT_GENE,1,9.0
C,cyano_all,transcriptomic,BIOLOGICAL_PROCESS,1,9.0
C,cyano_all,liquid_chromatography,DETECTION_METHOD,1,9.0
