panel,network,node,entity_type,degree,weighted_degree
C,cyano_all,cyanobacteria,CYANO_TAXON,58,2739.0
C,cyano_all,saxitoxin,TOXIN,54,2451.0
C,cyano_all,cyanobacterial,CYANO_TAXON,36,1573.0
C,cyano_all,bloom,ENV_FACTOR,17,608.0
C,cyano_all,cyanobacterium,CYANO_TAXON,18,584.0
C,cyano_all,biosynthesis,BIOLOGICAL_PROCESS,18,572.0
C,cyano_all,dinoflagellates,DINO_TAXON,21,570.0
C,cyano_all,toxicity,BIOLOGICAL_PROCESS,15,565.0
C,cyano_all,cylindrospermopsis,CYANO_TAXON,9,403.0
C,cyano_all,aphanizomenon,CYANO_TAXON,12,384.0
C,cyano_all,paralytic_shellfish_toxins,TOXIN,10,359.0
C,cyano_all,anabaena,CYANO_TAXON,9,336.0
C,cyano_all,sxta,SXT_GENE,12,329.0
C,cyano_all,paralytic_shellfish_poisoning,TOXIN,7,256.0
C,cyano_all,hplc,DETECTION_METHOD,8,248.0
C,cyano_all,mass_spectrometry,DETECTION_METHOD,8,220.0
C,cyano_all,dinoflagellate,DINO_TAXON,8,220.0
C,cyano_all,alexandrium,DINO_TAXON,9,205.0
C,cyano_all,toxin_production,BIOLOGICAL_PROCESS,6,192.0
C,cyano_all,lc_ms,DETECTION_METHOD,6,186.0
C,cyano_all,nitrogen,ENV_FACTOR,7,185.0
C,cyano_all,expression,BIOLOGICAL_PROCESS,8,175.0
C,cyano_all,elisa,DETECTION_METHOD,6,171.0
C,cyano_all,phylogenetic,BIOLOGICAL_PROCESS,7,168.0
C,cyano_all,dolichospermum,CYANO_TAXON,6,163.0
C,cyano_all,planktothrix,CYANO_TAXON,6,156.0
C,cyano_all,phosphorus,ENV_FACTOR,7,151.0
C,cyano_all,nutrient,ENV_FACTOR,6,147.0
C,cyano_all,lc_ms_ms,DETECTION_METHOD,6,133.0
C,cyano_all,sxt_genes,SXT_GENE,7,125.0
C,cyano_all,neosaxitoxin,TOXIN,6,113.0
C,cyano_all,climate,ENV_FACTOR,6,112.0
C,cyano_all,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,6,108.0
C,cyano_all,temperature,ENV_FACTOR,6,107.0
C,cyano_all,toxin_biosynthesis,BIOLOGICAL_PROCESS,6,107.0
C,cyano_all,regulation,BIOLOGICAL_PROCESS,6,100.0
C,cyano_all,nutrients,ENV_FACTOR,6,92.0
C,cyano_all,mouse_bioassay,DETECTION_METHOD,6,78.0
C,cyano_all,lyngbya,CYANO_TAXON,6,77.0
C,cyano_all,sxti,SXT_GENE,6,77.0
C,cyano_all,sxtg,SXT_GENE,6,74.0
C,cyano_all,light,ENV_FACTOR,4,68.0
C,cyano_all,harmful_algal_bloom,ENV_FACTOR,4,59.0
C,cyano_all,evolution,BIOLOGICAL_PROCESS,4,49.0
C,cyano_all,gonyautoxin,TOXIN,4,48.0
C,cyano_all,gene_expression,BIOLOGICAL_PROCESS,3,48.0
C,cyano_all,horizontal_gene_transfer,BIOLOGICAL_PROCESS,4,47.0
C,cyano_all,phylogeny,BIOLOGICAL_PROCESS,3,30.0
C,cyano_all,alexandrium_minutum,DINO_TAXON,3,30.0
C,cyano_all,transcriptome,BIOLOGICAL_PROCESS,3,30.0
C,cyano_all,transcription,BIOLOGICAL_PROCESS,3,29.0
C,cyano_all,pyrodinium,DINO_TAXON,3,29.0
C,cyano_all,alexandrium_tamarense,DINO_TAXON,3,28.0
C,cyano_all,gymnodinium,DINO_TAXON,3,28.0
C,cyano_all,nitrate,ENV_FACTOR,2,24.0
C,cyano_all,warming,ENV_FACTOR,2,21.0
C,cyano_all,chemical_analysis,DETECTION_METHOD,2,21.0
C,cyano_all,scytonema,CYANO_TAXON,2,20.0
C,cyano_all,sxtb,SXT_GENE,2,17.0
C,cyano_all,sxts,SXT_GENE,1,9.0
C,cyano_all,transcriptomic,BIOLOGICAL_PROCESS,1,9.0
C,cyano_all,liquid_chromatography,DETECTION_METHOD,1,9.0
