source,target,weight
cyanobacteria,saxitoxin,353
cyanobacteria,cyanobacterial,262
cyanobacterial,saxitoxin,215
cyanobacterium,saxitoxin,124
bloom,cyanobacteria,116
cyanobacteria,toxicity,116
cyanobacteria,dinoflagellates,105
bloom,saxitoxin,102
saxitoxin,toxicity,101
cylindrospermopsis,saxitoxin,94
biosynthesis,cyanobacteria,93
bloom,cyanobacterial,90
cyanobacteria,cylindrospermopsis,88
biosynthesis,saxitoxin,85
cyanobacterial,toxicity,85
cyanobacteria,cyanobacterium,82
cyanobacteria,paralytic_shellfish_toxins,82
aphanizomenon,saxitoxin,79
aphanizomenon,cyanobacteria,77
dinoflagellates,saxitoxin,77
anabaena,cyanobacteria,75
anabaena,saxitoxin,75
cyanobacteria,paralytic_shellfish_poisoning,71
cyanobacteria,sxta,68
saxitoxin,sxta,65
anabaena,cyanobacterial,59
paralytic_shellfish_toxins,saxitoxin,59
cyanobacteria,hplc,57
biosynthesis,cyanobacterial,56
cyanobacteria,toxin_production,56
paralytic_shellfish_poisoning,saxitoxin,56
cyanobacterial,cylindrospermopsis,55
cyanobacterial,cyanobacterium,54
aphanizomenon,cyanobacterial,52
cyanobacteria,mass_spectrometry,52
hplc,saxitoxin,51
cyanobacterium,cylindrospermopsis,49
biosynthesis,dinoflagellates,47
cyanobacteria,elisa,46
cyanobacteria,planktothrix,46
dinoflagellates,paralytic_shellfish_toxins,46
cyanobacteria,lc_ms,45
cyanobacterial,paralytic_shellfish_toxins,45
cyanobacteria,dinoflagellate,44
cyanobacteria,dolichospermum,44
cyanobacteria,nitrogen,44
mass_spectrometry,saxitoxin,44
bloom,toxicity,42
phylogenetic,saxitoxin,42
cyanobacteria,nutrient,41
cyanobacterial,hplc,41
cyanobacterial,mass_spectrometry,41
cyanobacteria,phylogenetic,40
cyanobacterial,elisa,40
dinoflagellate,dinoflagellates,40
dinoflagellates,paralytic_shellfish_poisoning,40
alexandrium,cyanobacteria,39
cyanobacteria,expression,39
dolichospermum,saxitoxin,39
expression,saxitoxin,39
saxitoxin,toxin_production,39
cyanobacterial,sxta,38
cyanobacterial,toxin_production,38
lc_ms,saxitoxin,38
alexandrium,dinoflagellates,37
biosynthesis,paralytic_shellfish_toxins,37
climate,cyanobacteria,37
cyanobacterial,planktothrix,37
lc_ms,lc_ms_ms,37
nitrogen,saxitoxin,37
cyanobacterium,toxicity,36
elisa,saxitoxin,36
biosynthesis,sxta,35
neosaxitoxin,saxitoxin,35
alexandrium,dinoflagellate,34
cyanobacteria,phosphorus,34
dinoflagellate,saxitoxin,34
anabaena,cyanobacterium,33
cyanobacterium,paralytic_shellfish_toxins,33
cyanobacterial,lc_ms,31
cylindrospermopsis,toxicity,31
nutrient,saxitoxin,31
anabaena,aphanizomenon,30
bloom,cyanobacterium,30
