panel,network,node,entity_type,degree,weighted_degree
B,post2015_dino,saxitoxin,TOXIN,47,1464.0
B,post2015_dino,alexandrium,DINO_TAXON,43,1363.0
B,post2015_dino,dinoflagellate,DINO_TAXON,45,1181.0
B,post2015_dino,dinoflagellates,DINO_TAXON,45,1164.0
B,post2015_dino,paralytic_shellfish_toxins,TOXIN,27,802.0
B,post2015_dino,biosynthesis,BIOLOGICAL_PROCESS,21,542.0
B,post2015_dino,paralytic_shellfish_poisoning,TOXIN,13,422.0
B,post2015_dino,bloom,ENV_FACTOR,13,391.0
B,post2015_dino,toxicity,BIOLOGICAL_PROCESS,12,389.0
B,post2015_dino,sxta,SXT_GENE,11,286.0
B,post2015_dino,alexandrium_catenella,DINO_TAXON,6,250.0
B,post2015_dino,cyanobacteria,CYANO_TAXON,8,236.0
B,post2015_dino,expression,BIOLOGICAL_PROCESS,11,233.0
B,post2015_dino,gymnodinium,DINO_TAXON,6,167.0
B,post2015_dino,toxin_production,BIOLOGICAL_PROCESS,6,154.0
B,post2015_dino,gymnodinium_catenatum,DINO_TAXON,6,152.0
B,post2015_dino,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,7,132.0
B,post2015_dino,alexandrium_minutum,DINO_TAXON,6,131.0
B,post2015_dino,temperature,ENV_FACTOR,6,126.0
B,post2015_dino,nutrient,ENV_FACTOR,7,121.0
B,post2015_dino,pyrodinium,DINO_TAXON,6,120.0
B,post2015_dino,pyrodinium_bahamense,DINO_TAXON,6,115.0
B,post2015_dino,sxtg,SXT_GENE,6,114.0
B,post2015_dino,harmful_algal_bloom,ENV_FACTOR,6,112.0
B,post2015_dino,alexandrium_pacificum,DINO_TAXON,6,109.0
B,post2015_dino,sxt_genes,SXT_GENE,7,107.0
B,post2015_dino,regulation,BIOLOGICAL_PROCESS,6,105.0
B,post2015_dino,mass_spectrometry,DETECTION_METHOD,7,102.0
B,post2015_dino,nitrogen,ENV_FACTOR,6,96.0
B,post2015_dino,toxin_biosynthesis,BIOLOGICAL_PROCESS,6,94.0
B,post2015_dino,salinity,ENV_FACTOR,6,81.0
B,post2015_dino,light,ENV_FACTOR,6,76.0
B,post2015_dino,transcriptome,BIOLOGICAL_PROCESS,6,76.0
B,post2015_dino,transcriptomic,BIOLOGICAL_PROCESS,6,74.0
B,post2015_dino,phylogenetic,BIOLOGICAL_PROCESS,6,74.0
B,post2015_dino,hplc,DETECTION_METHOD,6,74.0
B,post2015_dino,nitrate,ENV_FACTOR,6,74.0
B,post2015_dino,lc_ms,DETECTION_METHOD,6,69.0
B,post2015_dino,climate,ENV_FACTOR,6,61.0
B,post2015_dino,gene_expression,BIOLOGICAL_PROCESS,6,61.0
B,post2015_dino,gonyautoxin,TOXIN,5,60.0
B,post2015_dino,lc_ms_ms,DETECTION_METHOD,6,59.0
B,post2015_dino,nutrients,ENV_FACTOR,6,57.0
B,post2015_dino,sxtb,SXT_GENE,6,55.0
B,post2015_dino,sxti,SXT_GENE,6,53.0
B,post2015_dino,alexandrium_tamarense,DINO_TAXON,4,49.0
B,post2015_dino,cyanobacterial,CYANO_TAXON,4,42.0
B,post2015_dino,neosaxitoxin,TOXIN,4,41.0
B,post2015_dino,alexandrium_fundyense,DINO_TAXON,3,30.0
B,post2015_dino,evolution,BIOLOGICAL_PROCESS,3,25.0
B,post2015_dino,sxtu,SXT_GENE,1,7.0
