dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_affine,DINO_TAXON,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_catenella,DINO_TAXON,6,STX_DOC_000034;STX_DOC_000037;STX_DOC_000040;STX_DOC_000242;STX_DOC_000275;STX_DOC_000322,2013.0,2024.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_fundyense,DINO_TAXON,4,STX_DOC_000026;STX_DOC_000044;STX_DOC_000052;STX_DOC_000186,2011.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_minutum,DINO_TAXON,10,STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000052;STX_DOC_000077;STX_DOC_000082;STX_DOC_000192;STX_DOC_000364;STX_DOC_000385;STX_DOC_000435,2003.0,2022.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_ostenfeldii,DINO_TAXON,1,STX_DOC_000277,2014.0,2014.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_pacificum,DINO_TAXON,1,STX_DOC_000104,2022.0,2022.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamarense,DINO_TAXON,10,STX_DOC_000026;STX_DOC_000113;STX_DOC_000163;STX_DOC_000192;STX_DOC_000273;STX_DOC_000280;STX_DOC_000325;STX_DOC_000348;STX_DOC_000385;STX_DOC_000431,1996.0,2022.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamiyavanichii,DINO_TAXON,2,STX_DOC_000070;STX_DOC_000374,2012.0,2016.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,anabaena,CYANO_TAXON,8,STX_DOC_000009;STX_DOC_000044;STX_DOC_000082;STX_DOC_000163;STX_DOC_000280;STX_DOC_000325;STX_DOC_000348;STX_DOC_000431,1996.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,aphanizomenon,CYANO_TAXON,4,STX_DOC_000009;STX_DOC_000044;STX_DOC_000599;STX_DOC_000600,1994.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,8,STX_DOC_000019;STX_DOC_000026;STX_DOC_000033;STX_DOC_000277;STX_DOC_000307;STX_DOC_000374;STX_DOC_000435;STX_DOC_000807,2009.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,climate,ENV_FACTOR,1,STX_DOC_000307,2021.0,2021.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,55,STX_DOC_000001;STX_DOC_000002;STX_DOC_000004;STX_DOC_000008;STX_DOC_000009;STX_DOC_000012;STX_DOC_000017;STX_DOC_000019;STX_DOC_000022;STX_DOC_000026;STX_DOC_000033;STX_DOC_000034;STX_DOC_000037;STX_DOC_000040;STX_DOC_000044;STX_DOC_000052;STX_DOC_000070;STX_DOC_000077;STX_DOC_000082;STX_DOC_000104;STX_DOC_000113;STX_DOC_000163;STX_DOC_000186;STX_DOC_000192;STX_DOC_000242;STX_DOC_000273;STX_DOC_000275;STX_DOC_000277;STX_DOC_000280;STX_DOC_000307;STX_DOC_000322;STX_DOC_000325;STX_DOC_000348;STX_DOC_000364;STX_DOC_000374;STX_DOC_000385;STX_DOC_000431;STX_DOC_000435;STX_DOC_000467;STX_DOC_000599;STX_DOC_000600;STX_DOC_000807;STX_DOC_000830,1994.0,2025.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,cylindrospermopsis,CYANO_TAXON,1,STX_DOC_000009,2010.0,2010.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,dolichospermum,CYANO_TAXON,2,STX_DOC_000037;STX_DOC_000104,2022.0,2024.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,gymnodinium,DINO_TAXON,7,STX_DOC_000002;STX_DOC_000009;STX_DOC_000017;STX_DOC_000037;STX_DOC_000052;STX_DOC_000082;STX_DOC_000467,2003.0,2025.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,gymnodinium_catenatum,DINO_TAXON,4,STX_DOC_000002;STX_DOC_000037;STX_DOC_000052;STX_DOC_000082,2003.0,2025.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,harmful_algal_bloom,ENV_FACTOR,2,STX_DOC_000033;STX_DOC_000277,2014.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,hplc,DETECTION_METHOD,7,STX_DOC_000192;STX_DOC_000273;STX_DOC_000280;STX_DOC_000348;STX_DOC_000467;STX_DOC_000599;STX_DOC_000600,1994.0,2020.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,lc_ms,DETECTION_METHOD,2,STX_DOC_000104;STX_DOC_000280,2013.0,2022.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,lc_ms_ms,DETECTION_METHOD,2,STX_DOC_000104;STX_DOC_000280,2013.0,2022.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,light,ENV_FACTOR,3,STX_DOC_000040;STX_DOC_000374;STX_DOC_000435,2009.0,2016.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,lyngbya,CYANO_TAXON,1,STX_DOC_000009,2010.0,2010.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,mass_spectrometry,DETECTION_METHOD,5,STX_DOC_000273;STX_DOC_000322;STX_DOC_000348;STX_DOC_000599;STX_DOC_000600,1994.0,2016.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,nitrate,ENV_FACTOR,3,STX_DOC_000012;STX_DOC_000019;STX_DOC_000033,2016.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,nitrogen,ENV_FACTOR,3,STX_DOC_000012;STX_DOC_000019;STX_DOC_000113,2015.0,2017.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,nutrient,ENV_FACTOR,4,STX_DOC_000019;STX_DOC_000113;STX_DOC_000374;STX_DOC_000435,2009.0,2017.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,nutrients,ENV_FACTOR,1,STX_DOC_000019,2017.0,2017.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,phosphate,ENV_FACTOR,1,STX_DOC_000019,2017.0,2017.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,phosphorus,ENV_FACTOR,3,STX_DOC_000012;STX_DOC_000019;STX_DOC_000113,2015.0,2017.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,planktothrix,CYANO_TAXON,1,STX_DOC_000009,2010.0,2010.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,pyrodinium,DINO_TAXON,6,STX_DOC_000009;STX_DOC_000017;STX_DOC_000022;STX_DOC_000026;STX_DOC_000044;STX_DOC_000374,2010.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,pyrodinium_bahamense,DINO_TAXON,4,STX_DOC_000022;STX_DOC_000026;STX_DOC_000044;STX_DOC_000374,2012.0,2023.0
cyano_all,alexandrium,DINO_TAXON,semantic_cooccurrence,temperature,ENV_FACTOR,2,STX_DOC_000033;STX_DOC_000374,2016.0,2023.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,biosynthesis,BIOLOGICAL_PROCESS,20,STX_DOC_000001;STX_DOC_000002;STX_DOC_000004;STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000022;STX_DOC_000026;STX_DOC_000033;STX_DOC_000034;STX_DOC_000037;STX_DOC_000040;STX_DOC_000044;STX_DOC_000052;STX_DOC_000070;STX_DOC_000113;STX_DOC_000242;STX_DOC_000273;STX_DOC_000275;STX_DOC_000322,2012.0,2025.0
