source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year,dataset
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_affine,DINO_TAXON,4,STX_DOC_000033;STX_DOC_000793;STX_DOC_000864;STX_DOC_001114,2003.0,2024.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_catenella,DINO_TAXON,108,STX_DOC_000013;STX_DOC_000023;STX_DOC_000025;STX_DOC_000034;STX_DOC_000037;STX_DOC_000040;STX_DOC_000053;STX_DOC_000058;STX_DOC_000059;STX_DOC_000065;STX_DOC_000088;STX_DOC_000093;STX_DOC_000095;STX_DOC_000101;STX_DOC_000103;STX_DOC_000106;STX_DOC_000107;STX_DOC_000112;STX_DOC_000123;STX_DOC_000132;STX_DOC_000134;STX_DOC_000152;STX_DOC_000155;STX_DOC_000160;STX_DOC_000165;STX_DOC_000174;STX_DOC_000175;STX_DOC_000180;STX_DOC_000215;STX_DOC_000219;STX_DOC_000242;STX_DOC_000246;STX_DOC_000255;STX_DOC_000258;STX_DOC_000263;STX_DOC_000264;STX_DOC_000267;STX_DOC_000275;STX_DOC_000304;STX_DOC_000322;STX_DOC_000351;STX_DOC_000355;STX_DOC_000359;STX_DOC_000397;STX_DOC_000399;STX_DOC_000400;STX_DOC_000407;STX_DOC_000411;STX_DOC_000412;STX_DOC_000413;STX_DOC_000418;STX_DOC_000423;STX_DOC_000452;STX_DOC_000455;STX_DOC_000469;STX_DOC_000530;STX_DOC_000532;STX_DOC_000536;STX_DOC_000545;STX_DOC_000583;STX_DOC_000584;STX_DOC_000588;STX_DOC_000589;STX_DOC_000606;STX_DOC_000608;STX_DOC_000612;STX_DOC_000640;STX_DOC_000645;STX_DOC_000672;STX_DOC_000699;STX_DOC_000702;STX_DOC_000704;STX_DOC_000709;STX_DOC_000714;STX_DOC_000734;STX_DOC_000741;STX_DOC_000758;STX_DOC_000761;STX_DOC_000787;STX_DOC_000800;STX_DOC_000808;STX_DOC_000828;STX_DOC_000841;STX_DOC_000874;STX_DOC_000891;STX_DOC_000894;STX_DOC_000918;STX_DOC_000942;STX_DOC_000949;STX_DOC_000977;STX_DOC_000978;STX_DOC_001002;STX_DOC_001017;STX_DOC_001019;STX_DOC_001029;STX_DOC_001056;STX_DOC_001181;STX_DOC_001225;STX_DOC_001231;STX_DOC_001282;STX_DOC_001308;STX_DOC_001707;STX_DOC_001720;STX_DOC_001721;STX_DOC_001724;STX_DOC_001728;STX_DOC_001729;STX_DOC_001730,1988.0,2026.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_fundyense,DINO_TAXON,42,STX_DOC_000026;STX_DOC_000044;STX_DOC_000052;STX_DOC_000074;STX_DOC_000093;STX_DOC_000098;STX_DOC_000129;STX_DOC_000181;STX_DOC_000186;STX_DOC_000196;STX_DOC_000240;STX_DOC_000241;STX_DOC_000254;STX_DOC_000300;STX_DOC_000391;STX_DOC_000424;STX_DOC_000444;STX_DOC_000484;STX_DOC_000485;STX_DOC_000487;STX_DOC_000498;STX_DOC_000508;STX_DOC_000516;STX_DOC_000553;STX_DOC_000561;STX_DOC_000565;STX_DOC_000713;STX_DOC_000820;STX_DOC_000831;STX_DOC_000931;STX_DOC_000937;STX_DOC_000959;STX_DOC_000961;STX_DOC_000979;STX_DOC_001041;STX_DOC_001046;STX_DOC_001047;STX_DOC_001049;STX_DOC_001086;STX_DOC_001175;STX_DOC_001736;STX_DOC_001749,1990.0,2023.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_leei,DINO_TAXON,1,STX_DOC_000562,2014.0,2014.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_minutum,DINO_TAXON,93,STX_DOC_000012;STX_DOC_000019;STX_DOC_000020;STX_DOC_000024;STX_DOC_000048;STX_DOC_000052;STX_DOC_000057;STX_DOC_000063;STX_DOC_000077;STX_DOC_000081;STX_DOC_000082;STX_DOC_000110;STX_DOC_000120;STX_DOC_000126;STX_DOC_000147;STX_DOC_000149;STX_DOC_000150;STX_DOC_000154;STX_DOC_000169;STX_DOC_000176;STX_DOC_000180;STX_DOC_000188;STX_DOC_000189;STX_DOC_000192;STX_DOC_000213;STX_DOC_000236;STX_DOC_000244;STX_DOC_000250;STX_DOC_000260;STX_DOC_000279;STX_DOC_000289;STX_DOC_000293;STX_DOC_000310;STX_DOC_000311;STX_DOC_000327;STX_DOC_000329;STX_DOC_000336;STX_DOC_000345;STX_DOC_000351;STX_DOC_000364;STX_DOC_000367;STX_DOC_000370;STX_DOC_000385;STX_DOC_000401;STX_DOC_000403;STX_DOC_000414;STX_DOC_000415;STX_DOC_000435;STX_DOC_000436;STX_DOC_000437;STX_DOC_000450;STX_DOC_000478;STX_DOC_000497;STX_DOC_000510;STX_DOC_000515;STX_DOC_000518;STX_DOC_000524;STX_DOC_000568;STX_DOC_000569;STX_DOC_000571;STX_DOC_000576;STX_DOC_000613;STX_DOC_000618;STX_DOC_000659;STX_DOC_000669;STX_DOC_000698;STX_DOC_000711;STX_DOC_000715;STX_DOC_000718;STX_DOC_000759;STX_DOC_000777;STX_DOC_000826;STX_DOC_000835;STX_DOC_000870;STX_DOC_000872;STX_DOC_000909;STX_DOC_000922;STX_DOC_000933;STX_DOC_000940;STX_DOC_000941;STX_DOC_000974;STX_DOC_001025;STX_DOC_001033;STX_DOC_001058;STX_DOC_001073;STX_DOC_001077;STX_DOC_001082;STX_DOC_001089;STX_DOC_001102;STX_DOC_001236;STX_DOC_001260;STX_DOC_001263;STX_DOC_001328,1988.0,2026.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_ostenfeldii,DINO_TAXON,18,STX_DOC_000021;STX_DOC_000092;STX_DOC_000125;STX_DOC_000155;STX_DOC_000180;STX_DOC_000211;STX_DOC_000253;STX_DOC_000277;STX_DOC_000282;STX_DOC_000347;STX_DOC_000375;STX_DOC_000486;STX_DOC_000558;STX_DOC_000568;STX_DOC_000572;STX_DOC_001076;STX_DOC_001159;STX_DOC_001740,1992.0,2024.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_pacificum,DINO_TAXON,29,STX_DOC_000003;STX_DOC_000005;STX_DOC_000027;STX_DOC_000047;STX_DOC_000048;STX_DOC_000056;STX_DOC_000089;STX_DOC_000104;STX_DOC_000105;STX_DOC_000122;STX_DOC_000133;STX_DOC_000199;STX_DOC_000204;STX_DOC_000243;STX_DOC_000357;STX_DOC_000415;STX_DOC_000451;STX_DOC_000457;STX_DOC_000458;STX_DOC_000464;STX_DOC_000533;STX_DOC_000535;STX_DOC_000541;STX_DOC_000607;STX_DOC_000903;STX_DOC_000906;STX_DOC_001249;STX_DOC_001708;STX_DOC_001721,2016.0,2025.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamarense,DINO_TAXON,112,STX_DOC_000026;STX_DOC_000029;STX_DOC_000030;STX_DOC_000035;STX_DOC_000036;STX_DOC_000038;STX_DOC_000049;STX_DOC_000050;STX_DOC_000053;STX_DOC_000062;STX_DOC_000078;STX_DOC_000086;STX_DOC_000113;STX_DOC_000119;STX_DOC_000120;STX_DOC_000127;STX_DOC_000154;STX_DOC_000161;STX_DOC_000163;STX_DOC_000180;STX_DOC_000184;STX_DOC_000187;STX_DOC_000192;STX_DOC_000219;STX_DOC_000243;STX_DOC_000251;STX_DOC_000273;STX_DOC_000280;STX_DOC_000285;STX_DOC_000294;STX_DOC_000295;STX_DOC_000296;STX_DOC_000317;STX_DOC_000321;STX_DOC_000325;STX_DOC_000331;STX_DOC_000332;STX_DOC_000334;STX_DOC_000340;STX_DOC_000341;STX_DOC_000343;STX_DOC_000348;STX_DOC_000350;STX_DOC_000385;STX_DOC_000408;STX_DOC_000429;STX_DOC_000430;STX_DOC_000431;STX_DOC_000442;STX_DOC_000447;STX_DOC_000465;STX_DOC_000478;STX_DOC_000482;STX_DOC_000497;STX_DOC_000501;STX_DOC_000502;STX_DOC_000505;STX_DOC_000508;STX_DOC_000514;STX_DOC_000573;STX_DOC_000590;STX_DOC_000591;STX_DOC_000635;STX_DOC_000656;STX_DOC_000657;STX_DOC_000658;STX_DOC_000660;STX_DOC_000663;STX_DOC_000667;STX_DOC_000668;STX_DOC_000674;STX_DOC_000675;STX_DOC_000699;STX_DOC_000706;STX_DOC_000730;STX_DOC_000737;STX_DOC_000755;STX_DOC_000758;STX_DOC_000760;STX_DOC_000829;STX_DOC_000837;STX_DOC_000838;STX_DOC_000857;STX_DOC_000939;STX_DOC_000949;STX_DOC_000955;STX_DOC_000958;STX_DOC_000965;STX_DOC_000972;STX_DOC_000973;STX_DOC_000975;STX_DOC_000983;STX_DOC_001067;STX_DOC_001080;STX_DOC_001085;STX_DOC_001087;STX_DOC_001093;STX_DOC_001095;STX_DOC_001157;STX_DOC_001203;STX_DOC_001256;STX_DOC_001271;STX_DOC_001279;STX_DOC_001297;STX_DOC_001312;STX_DOC_001313;STX_DOC_001730;STX_DOC_001733;STX_DOC_001741;STX_DOC_001742;STX_DOC_001744;STX_DOC_001746,1992.0,2024.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamiyavanichii,DINO_TAXON,11,STX_DOC_000070;STX_DOC_000193;STX_DOC_000194;STX_DOC_000293;STX_DOC_000354;STX_DOC_000374;STX_DOC_000433;STX_DOC_000437;STX_DOC_000524;STX_DOC_000741;STX_DOC_000924,2002.0,2024.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,anabaena,CYANO_TAXON,8,STX_DOC_000009;STX_DOC_000044;STX_DOC_000082;STX_DOC_000163;STX_DOC_000280;STX_DOC_000325;STX_DOC_000348;STX_DOC_000431,1996.0,2023.0,dino_all
