dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_affine,DINO_TAXON,3,STX_DOC_000033;STX_DOC_000793;STX_DOC_001114,2023.0,2024.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_catenella,DINO_TAXON,75,STX_DOC_000013;STX_DOC_000023;STX_DOC_000025;STX_DOC_000034;STX_DOC_000037;STX_DOC_000058;STX_DOC_000059;STX_DOC_000065;STX_DOC_000088;STX_DOC_000101;STX_DOC_000103;STX_DOC_000106;STX_DOC_000107;STX_DOC_000112;STX_DOC_000123;STX_DOC_000132;STX_DOC_000134;STX_DOC_000155;STX_DOC_000160;STX_DOC_000174;STX_DOC_000175;STX_DOC_000180;STX_DOC_000242;STX_DOC_000255;STX_DOC_000258;STX_DOC_000263;STX_DOC_000264;STX_DOC_000267;STX_DOC_000304;STX_DOC_000355;STX_DOC_000359;STX_DOC_000397;STX_DOC_000399;STX_DOC_000400;STX_DOC_000407;STX_DOC_000411;STX_DOC_000412;STX_DOC_000413;STX_DOC_000418;STX_DOC_000423;STX_DOC_000452;STX_DOC_000455;STX_DOC_000469;STX_DOC_000530;STX_DOC_000532;STX_DOC_000536;STX_DOC_000545;STX_DOC_000606;STX_DOC_000608;STX_DOC_000612;STX_DOC_000640;STX_DOC_000699;STX_DOC_000702;STX_DOC_000704;STX_DOC_000709;STX_DOC_000714;STX_DOC_000787;STX_DOC_000800;STX_DOC_000808;STX_DOC_000891;STX_DOC_000894;STX_DOC_000918;STX_DOC_001002;STX_DOC_001017;STX_DOC_001019;STX_DOC_001029;STX_DOC_001225;STX_DOC_001231;STX_DOC_001707;STX_DOC_001720;STX_DOC_001721;STX_DOC_001724;STX_DOC_001728;STX_DOC_001729;STX_DOC_001730,2016.0,2026.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_fundyense,DINO_TAXON,11,STX_DOC_000026;STX_DOC_000044;STX_DOC_000181;STX_DOC_000240;STX_DOC_000241;STX_DOC_000424;STX_DOC_000553;STX_DOC_000713;STX_DOC_000820;STX_DOC_000931;STX_DOC_001041,2016.0,2023.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_minutum,DINO_TAXON,40,STX_DOC_000012;STX_DOC_000019;STX_DOC_000020;STX_DOC_000048;STX_DOC_000057;STX_DOC_000077;STX_DOC_000110;STX_DOC_000154;STX_DOC_000176;STX_DOC_000180;STX_DOC_000236;STX_DOC_000244;STX_DOC_000260;STX_DOC_000310;STX_DOC_000311;STX_DOC_000364;STX_DOC_000367;STX_DOC_000370;STX_DOC_000401;STX_DOC_000403;STX_DOC_000414;STX_DOC_000415;STX_DOC_000450;STX_DOC_000478;STX_DOC_000524;STX_DOC_000613;STX_DOC_000618;STX_DOC_000698;STX_DOC_000711;STX_DOC_000715;STX_DOC_000718;STX_DOC_000777;STX_DOC_000826;STX_DOC_000909;STX_DOC_000922;STX_DOC_001025;STX_DOC_001033;STX_DOC_001236;STX_DOC_001260;STX_DOC_001263,2016.0,2026.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_ostenfeldii,DINO_TAXON,5,STX_DOC_000021;STX_DOC_000092;STX_DOC_000155;STX_DOC_000180;STX_DOC_000558,2016.0,2024.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_pacificum,DINO_TAXON,29,STX_DOC_000003;STX_DOC_000005;STX_DOC_000027;STX_DOC_000047;STX_DOC_000048;STX_DOC_000056;STX_DOC_000089;STX_DOC_000104;STX_DOC_000105;STX_DOC_000122;STX_DOC_000133;STX_DOC_000199;STX_DOC_000204;STX_DOC_000243;STX_DOC_000357;STX_DOC_000415;STX_DOC_000451;STX_DOC_000457;STX_DOC_000458;STX_DOC_000464;STX_DOC_000533;STX_DOC_000535;STX_DOC_000541;STX_DOC_000607;STX_DOC_000903;STX_DOC_000906;STX_DOC_001249;STX_DOC_001708;STX_DOC_001721,2016.0,2025.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamarense,DINO_TAXON,19,STX_DOC_000026;STX_DOC_000038;STX_DOC_000049;STX_DOC_000086;STX_DOC_000154;STX_DOC_000161;STX_DOC_000163;STX_DOC_000180;STX_DOC_000243;STX_DOC_000273;STX_DOC_000408;STX_DOC_000465;STX_DOC_000478;STX_DOC_000482;STX_DOC_000635;STX_DOC_000699;STX_DOC_000706;STX_DOC_001256;STX_DOC_001730,2016.0,2024.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamiyavanichii,DINO_TAXON,4,STX_DOC_000354;STX_DOC_000374;STX_DOC_000524;STX_DOC_000924,2016.0,2024.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,anabaena,CYANO_TAXON,2,STX_DOC_000044;STX_DOC_000163,2016.0,2023.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,aphanizomenon,CYANO_TAXON,1,STX_DOC_000044,2023.0,2023.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,biosensor,DETECTION_METHOD,1,STX_DOC_000524,2024.0,2024.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,58,STX_DOC_000013;STX_DOC_000019;STX_DOC_000020;STX_DOC_000021;STX_DOC_000026;STX_DOC_000033;STX_DOC_000057;STX_DOC_000086;STX_DOC_000103;STX_DOC_000133;STX_DOC_000161;STX_DOC_000174;STX_DOC_000175;STX_DOC_000176;STX_DOC_000227;STX_DOC_000263;STX_DOC_000264;STX_DOC_000269;STX_DOC_000304;STX_DOC_000307;STX_DOC_000309;STX_DOC_000360;STX_DOC_000367;STX_DOC_000374;STX_DOC_000397;STX_DOC_000407;STX_DOC_000412;STX_DOC_000423;STX_DOC_000424;STX_DOC_000451;STX_DOC_000455;STX_DOC_000464;STX_DOC_000532;STX_DOC_000533;STX_DOC_000536;STX_DOC_000558;STX_DOC_000607;STX_DOC_000608;STX_DOC_000613;STX_DOC_000635;STX_DOC_000639;STX_DOC_000704;STX_DOC_000709;STX_DOC_000714;STX_DOC_000787;STX_DOC_000807;STX_DOC_000820;STX_DOC_000891;STX_DOC_000894;STX_DOC_000913;STX_DOC_000918;STX_DOC_001034;STX_DOC_001248;STX_DOC_001708;STX_DOC_001711;STX_DOC_001720;STX_DOC_001721;STX_DOC_001728,2016.0,2025.0
dino_post2015,alexandrium,DINO_TAXON,semantic_cooccurrence,centrodinium,DINO_TAXON,1,STX_DOC_000135,2020.0,2020.0
