dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_affine,DINO_TAXON,1,STX_DOC_000864,2003.0,2003.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_catenella,DINO_TAXON,33,STX_DOC_000040;STX_DOC_000053;STX_DOC_000093;STX_DOC_000095;STX_DOC_000152;STX_DOC_000165;STX_DOC_000215;STX_DOC_000219;STX_DOC_000246;STX_DOC_000275;STX_DOC_000322;STX_DOC_000351;STX_DOC_000583;STX_DOC_000584;STX_DOC_000588;STX_DOC_000589;STX_DOC_000645;STX_DOC_000672;STX_DOC_000734;STX_DOC_000741;STX_DOC_000758;STX_DOC_000761;STX_DOC_000828;STX_DOC_000841;STX_DOC_000874;STX_DOC_000942;STX_DOC_000949;STX_DOC_000977;STX_DOC_000978;STX_DOC_001056;STX_DOC_001181;STX_DOC_001282;STX_DOC_001308,1988.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_fundyense,DINO_TAXON,31,STX_DOC_000052;STX_DOC_000074;STX_DOC_000093;STX_DOC_000098;STX_DOC_000129;STX_DOC_000186;STX_DOC_000196;STX_DOC_000254;STX_DOC_000300;STX_DOC_000391;STX_DOC_000444;STX_DOC_000484;STX_DOC_000485;STX_DOC_000487;STX_DOC_000498;STX_DOC_000508;STX_DOC_000516;STX_DOC_000561;STX_DOC_000565;STX_DOC_000831;STX_DOC_000937;STX_DOC_000959;STX_DOC_000961;STX_DOC_000979;STX_DOC_001046;STX_DOC_001047;STX_DOC_001049;STX_DOC_001086;STX_DOC_001175;STX_DOC_001736;STX_DOC_001749,1990.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_leei,DINO_TAXON,1,STX_DOC_000562,2014.0,2014.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_minutum,DINO_TAXON,53,STX_DOC_000024;STX_DOC_000052;STX_DOC_000063;STX_DOC_000081;STX_DOC_000082;STX_DOC_000120;STX_DOC_000126;STX_DOC_000147;STX_DOC_000149;STX_DOC_000150;STX_DOC_000169;STX_DOC_000188;STX_DOC_000189;STX_DOC_000192;STX_DOC_000213;STX_DOC_000250;STX_DOC_000279;STX_DOC_000289;STX_DOC_000293;STX_DOC_000327;STX_DOC_000329;STX_DOC_000336;STX_DOC_000345;STX_DOC_000351;STX_DOC_000385;STX_DOC_000435;STX_DOC_000436;STX_DOC_000437;STX_DOC_000497;STX_DOC_000510;STX_DOC_000515;STX_DOC_000518;STX_DOC_000568;STX_DOC_000569;STX_DOC_000571;STX_DOC_000576;STX_DOC_000659;STX_DOC_000669;STX_DOC_000759;STX_DOC_000835;STX_DOC_000870;STX_DOC_000872;STX_DOC_000933;STX_DOC_000940;STX_DOC_000941;STX_DOC_000974;STX_DOC_001058;STX_DOC_001073;STX_DOC_001077;STX_DOC_001082;STX_DOC_001089;STX_DOC_001102;STX_DOC_001328,1988.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_ostenfeldii,DINO_TAXON,13,STX_DOC_000125;STX_DOC_000211;STX_DOC_000253;STX_DOC_000277;STX_DOC_000282;STX_DOC_000347;STX_DOC_000375;STX_DOC_000486;STX_DOC_000568;STX_DOC_000572;STX_DOC_001076;STX_DOC_001159;STX_DOC_001740,1992.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamarense,DINO_TAXON,93,STX_DOC_000029;STX_DOC_000030;STX_DOC_000035;STX_DOC_000036;STX_DOC_000050;STX_DOC_000053;STX_DOC_000062;STX_DOC_000078;STX_DOC_000113;STX_DOC_000119;STX_DOC_000120;STX_DOC_000127;STX_DOC_000184;STX_DOC_000187;STX_DOC_000192;STX_DOC_000219;STX_DOC_000251;STX_DOC_000280;STX_DOC_000285;STX_DOC_000294;STX_DOC_000295;STX_DOC_000296;STX_DOC_000317;STX_DOC_000321;STX_DOC_000325;STX_DOC_000331;STX_DOC_000332;STX_DOC_000334;STX_DOC_000340;STX_DOC_000341;STX_DOC_000343;STX_DOC_000348;STX_DOC_000350;STX_DOC_000385;STX_DOC_000429;STX_DOC_000430;STX_DOC_000431;STX_DOC_000442;STX_DOC_000447;STX_DOC_000497;STX_DOC_000501;STX_DOC_000502;STX_DOC_000505;STX_DOC_000508;STX_DOC_000514;STX_DOC_000573;STX_DOC_000590;STX_DOC_000591;STX_DOC_000656;STX_DOC_000657;STX_DOC_000658;STX_DOC_000660;STX_DOC_000663;STX_DOC_000667;STX_DOC_000668;STX_DOC_000674;STX_DOC_000675;STX_DOC_000730;STX_DOC_000737;STX_DOC_000755;STX_DOC_000758;STX_DOC_000760;STX_DOC_000829;STX_DOC_000837;STX_DOC_000838;STX_DOC_000857;STX_DOC_000939;STX_DOC_000949;STX_DOC_000955;STX_DOC_000958;STX_DOC_000965;STX_DOC_000972;STX_DOC_000973;STX_DOC_000975;STX_DOC_000983;STX_DOC_001067;STX_DOC_001080;STX_DOC_001085;STX_DOC_001087;STX_DOC_001093;STX_DOC_001095;STX_DOC_001157;STX_DOC_001203;STX_DOC_001271;STX_DOC_001279;STX_DOC_001297;STX_DOC_001312;STX_DOC_001313;STX_DOC_001733;STX_DOC_001741;STX_DOC_001742;STX_DOC_001744;STX_DOC_001746,1992.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,alexandrium_tamiyavanichii,DINO_TAXON,7,STX_DOC_000070;STX_DOC_000193;STX_DOC_000194;STX_DOC_000293;STX_DOC_000433;STX_DOC_000437;STX_DOC_000741,2002.0,2012.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,anabaena,CYANO_TAXON,6,STX_DOC_000009;STX_DOC_000082;STX_DOC_000280;STX_DOC_000325;STX_DOC_000348;STX_DOC_000431,1996.0,2014.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,aphanizomenon,CYANO_TAXON,3,STX_DOC_000009;STX_DOC_000599;STX_DOC_000600,1994.0,2010.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,biosensor,DETECTION_METHOD,4,STX_DOC_000942;STX_DOC_000959;STX_DOC_000961;STX_DOC_000972,2000.0,2013.0
