Source,Source_Type,Target,Target_Type,Hypothesis_Class,Temporal_Label,ML_Probability,Node2Vec_Integrated_Score,Final_AI_Rank_Score,Score,Common_Neighbors,Distinct_Bridge_Types,Bridge_Nodes,Interpretation
paralytic_shellfish_toxins,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,1,0.8933302308226417,0.82142466267367,0.864568003563053,462.5661464616956,40,6,saxitoxin; biosynthesis; alexandrium; dinoflagellate; dinoflagellates; cyanobacteria; sxta; paralytic_shellfish_poisoning; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; evolution; toxicity; phylogeny; temperature; toxin_production; phosphate,"paralytic_shellfish_toxins may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, biosynthesis, alexandrium, dinoflagellate, dinoflagellates."
gonyautoxin,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,1,0.9223767889055564,0.6320195156674426,0.8062338796103108,340.80927495148893,30,7,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; phylogenetic; cyanobacteria; gymnodinium; pyrodinium; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; biosynthesis; toxin_production; gymnodinium_catenatum; hplc; bloom,"gonyautoxin may be mechanistically associated with evolution, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, paralytic_shellfish_poisoning, dinoflagellates."
gonyautoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,1,0.9369022496778262,0.5902842142574395,0.7982550355096716,312.56999787312884,32,7,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; nutrient; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; cyanobacteria; gtx; alexandrium_catenella; alexandrium_tamarense; biosynthesis; temperature; phosphate; anabaena; bloom; light,"gonyautoxin may be mechanistically associated with toxin_biosynthesis, supported by bridge concepts including alexandrium, paralytic_shellfish_toxins, dinoflagellate, dinoflagellates, nutrient."
alexandrium_tamarense,DINO_TAXON,sxtg,SXT_GENE,taxon_gene_association,1,0.9472139477816413,0.4965192595798541,0.7669360725009264,260.3799690893336,29,6,saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; cyanobacterial; evolution; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,"alexandrium_tamarense may be associated with sxtg-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, sxta, alexandrium."
pyrodinium_bahamense,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,1,0.9774625190062092,0.4406154663715725,0.7627236979523545,244.89957747806787,25,7,saxitoxin; dinoflagellates; paralytic_shellfish_toxins; alexandrium; dinoflagellate; hplc; paralytic_shellfish_poisoning; bloom; sxta; cyanobacterial; biosynthesis; gymnodinium; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; lc_ms; evolution; regulation; toxicity; mass_spectrometry,"pyrodinium_bahamense and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_toxins, alexandrium, dinoflagellate."
regulation,BIOLOGICAL_PROCESS,sxt_genes,SXT_GENE,gene_process_association,1,0.9615096981819024,0.4589213799706121,0.7604743708973862,230.3429382338948,25,6,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; cyanobacteria; paralytic_shellfish_toxins; pyrodinium; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; gymnodinium; transcriptome; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense; evolution,"regulation may be linked to the biological process sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, biosynthesis, dinoflagellates."
light,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,1,0.941593517930966,0.4815071053017218,0.7575589528792683,248.5749212437373,29,6,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; biosynthesis; sxta; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; cyanobacteria; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,"light may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins."
alexandrium_minutum,DINO_TAXON,sxt_genes,SXT_GENE,taxon_gene_association,1,0.9432345834864218,0.4715673028310451,0.7545676712242712,247.1204230106919,27,6,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; sxta; cyanobacteria; gymnodinium; gymnodinium_catenatum; paralytic_shellfish_toxins; pyrodinium; paralytic_shellfish_poisoning; phylogenetic; transcriptome; saxitoxin_biosynthesis; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense,"alexandrium_minutum may be associated with sxt_genes-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, biosynthesis, dinoflagellates."
gonyautoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,1,0.8458101053565454,0.6161282069450367,0.7539373459919418,335.8637697636944,31,6,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; phylogenetic; cyanobacteria; temperature; toxin_production; gtx; pyrodinium_bahamense; nutrient; biosynthesis; phosphate; anabaena; alexandrium_catenella,"gonyautoxin may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellate, dinoflagellates, paralytic_shellfish_poisoning."
regulation,BIOLOGICAL_PROCESS,sxtg,SXT_GENE,gene_process_association,1,0.9044706083195344,0.5237679255984848,0.7521895352311146,264.8736299306558,30,6,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; biosynthesis; paralytic_shellfish_toxins; evolution; cyanobacteria; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin,"regulation may be linked to the biological process sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, biosynthesis."
sxta,SXT_GENE,salinity,ENV_FACTOR,environment_gene_regulation,1,0.884467096604924,0.5470431660790234,0.7494975243945637,311.972526339978,28,6,dinoflagellate; saxitoxin; alexandrium; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; pyrodinium; toxicity; dinoflagellates; alexandrium_minutum; toxin_production; bloom; light; pyrodinium_bahamense; regulation; alexandrium_tamarense; nutrient; gonyautoxin; alexandrium_catenella; lc_ms; nitrogen,"sxta may influence or regulate salinity, supported by bridge concepts including dinoflagellate, saxitoxin, alexandrium, paralytic_shellfish_poisoning, paralytic_shellfish_toxins."
alexandrium_fundyense,DINO_TAXON,sxt_genes,SXT_GENE,taxon_gene_association,1,0.9176492231611342,0.4895665899076087,0.746416169859724,238.1686908725422,26,6,saxitoxin; biosynthesis; dinoflagellate; alexandrium; saxitoxin_biosynthesis; dinoflagellates; sxta; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; phylogenetic; cyanobacteria; transcriptome; bloom; alexandrium_catenella; light; expression; cyanobacterial; evolution; toxin_biosynthesis; gene_duplication,"alexandrium_fundyense may be associated with sxt_genes-related genetic capacity, supported by bridge concepts including saxitoxin, biosynthesis, dinoflagellate, alexandrium, saxitoxin_biosynthesis."
anabaena,CYANO_TAXON,sxtg,SXT_GENE,cyano_gene_transfer_signal,0,0.938752717759423,0.456514809305584,0.7458575543778874,224.8801991120008,25,6,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; biosynthesis; cyanobacteria; sxta; cyanobacterial; evolution; paralytic_shellfish_poisoning; gymnodinium; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; bloom; expression; gene_expression; toxin_biosynthesis; toxicity,"anabaena may provide cross-taxa context for sxtg, suggesting possible evolutionary or biosynthetic linkage supported by saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins."
sxta,SXT_GENE,nitrate,ENV_FACTOR,environment_gene_regulation,1,0.8824297090877145,0.5338958253241513,0.7430161555822892,316.4453137150905,27,6,alexandrium; dinoflagellate; paralytic_shellfish_toxins; dinoflagellates; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_tamarense; alexandrium_minutum; bloom; toxin_production; alexandrium_fundyense; light; regulation; nutrient; pyrodinium; gonyautoxin; alexandrium_catenella; nitrogen; pyrodinium_bahamense,"sxta may influence or regulate nitrate, supported by bridge concepts including alexandrium, dinoflagellate, paralytic_shellfish_toxins, dinoflagellates, saxitoxin."
nutrient,ENV_FACTOR,sxt_genes,SXT_GENE,environment_gene_regulation,1,0.9389304698139076,0.4412820889217569,0.7398711174570474,229.9282810175799,25,6,saxitoxin; biosynthesis; dinoflagellate; alexandrium; dinoflagellates; cyanobacteria; paralytic_shellfish_toxins; pyrodinium; saxitoxin_biosynthesis; sxta; paralytic_shellfish_poisoning; phylogenetic; transcriptome; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense; cyanobacterial; toxin_biosynthesis,"nutrient may influence or regulate sxt_genes, supported by bridge concepts including saxitoxin, biosynthesis, dinoflagellate, alexandrium, dinoflagellates."
harmful_algal_bloom,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,1,0.9399545826185736,0.4340056975636848,0.737575028596618,218.6766994757086,25,6,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; sxta; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; gymnodinium; gymnodinium_catenatum; pyrodinium; gonyautoxin; alexandrium_fundyense; bloom; nitrogen; expression; pyrodinium_bahamense; cyanobacterial; toxin_biosynthesis,"harmful_algal_bloom may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins."
toxin_production,BIOLOGICAL_PROCESS,sxt_genes,SXT_GENE,gene_process_association,1,0.885553576587597,0.4775486465103544,0.7223516045567,254.9120374123609,27,6,saxitoxin; biosynthesis; dinoflagellate; alexandrium; dinoflagellates; saxitoxin_biosynthesis; sxta; cyanobacteria; gymnodinium; gymnodinium_catenatum; paralytic_shellfish_toxins; pyrodinium; cyanobacterial; paralytic_shellfish_poisoning; phylogenetic; transcriptome; bloom; alexandrium_catenella; light; expression,"toxin_production may be linked to the biological process sxt_genes, supported by bridge concepts including saxitoxin, biosynthesis, dinoflagellate, alexandrium, dinoflagellates."
gene_expression,BIOLOGICAL_PROCESS,sxt_genes,SXT_GENE,gene_process_association,1,0.920926046770802,0.415780292483156,0.7188677450557436,210.31922095885847,22,6,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; sxta; biosynthesis; cyanobacteria; paralytic_shellfish_toxins; cyanobacterial; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; transcriptome; saxitoxin_biosynthesis; bloom; alexandrium_catenella; light; expression; evolution; alexandrium_tamarense,"gene_expression may be linked to the biological process sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, dinoflagellates, sxta."
anabaena,CYANO_TAXON,sxt_genes,SXT_GENE,cyano_gene_transfer_signal,1,0.9029557873609384,0.4425691929854761,0.7188011496107535,213.8359233968173,23,6,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; biosynthesis; cyanobacteria; paralytic_shellfish_toxins; sxta; cyanobacterial; paralytic_shellfish_poisoning; phylogenetic; gymnodinium; pyrodinium; saxitoxin_biosynthesis; bloom; expression; evolution; toxin_biosynthesis; toxicity; alexandrium_tamarense,"anabaena may provide cross-taxa context for sxt_genes, suggesting possible evolutionary or biosynthetic linkage supported by saxitoxin, dinoflagellate, alexandrium, dinoflagellates, biosynthesis."
sxta,SXT_GENE,nutrients,ENV_FACTOR,environment_gene_regulation,1,0.8298861557523307,0.5282637116629236,0.7092371781165678,292.9850352777138,29,5,dinoflagellate; alexandrium; saxitoxin; toxicity; paralytic_shellfish_toxins; bloom; alexandrium_catenella; paralytic_shellfish_poisoning; dinoflagellates; toxin_production; gymnodinium; pyrodinium; alexandrium_fundyense; light; expression; pyrodinium_bahamense; regulation; alexandrium_tamarense; alexandrium_minutum; nutrient,"sxta may influence or regulate nutrients, supported by bridge concepts including dinoflagellate, alexandrium, saxitoxin, toxicity, paralytic_shellfish_toxins."
paralytic_shellfish_toxins,TOXIN,warming,ENV_FACTOR,environment_toxin_association,1,0.887808058773014,0.4224666763154722,0.7016715057899973,203.4613257361545,27,5,saxitoxin; dinoflagellate; alexandrium; toxicity; bloom; salinity; harmful_algal_bloom; temperature; toxin_production; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; gtx; light; nitrogen; expression; pyrodinium_bahamense; nitrate; paralytic_shellfish_poisoning,"paralytic_shellfish_toxins may be associated with variation in warming, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, toxicity, bloom."
sxta,SXT_GENE,phosphate,ENV_FACTOR,environment_gene_regulation,1,0.8435768727839272,0.4732356447975351,0.6954403815893704,250.31935026300465,25,5,alexandrium; dinoflagellate; saxitoxin; toxicity; alexandrium_minutum; paralytic_shellfish_toxins; alexandrium_fundyense; saxitoxin_biosynthesis; biosynthesis; toxin_production; light; toxin_biosynthesis; regulation; dinoflagellates; alexandrium_tamarense; nutrient; gonyautoxin; bloom; nitrogen; paralytic_shellfish_poisoning,"sxta may influence or regulate phosphate, supported by bridge concepts including alexandrium, dinoflagellate, saxitoxin, toxicity, alexandrium_minutum."
temperature,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,1,0.8960957117836181,0.3889933741220181,0.6932547767189781,207.47514429052111,23,5,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; biosynthesis; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense; pyrodinium; gonyautoxin; bloom; nitrogen; sxta; pyrodinium_bahamense,"temperature may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins."
alexandrium_fundyense,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,1,0.8414549716595376,0.4666036585833002,0.6915144464290427,244.6681274262937,25,7,saxitoxin; alexandrium; dinoflagellates; paralytic_shellfish_toxins; dinoflagellate; paralytic_shellfish_poisoning; biosynthesis; bloom; sxta; expression; phylogenetic; cyanobacteria; saxitoxin_biosynthesis; gene_expression; cyanobacterial; evolution; toxin_biosynthesis; regulation; alexandrium_tamarense; toxicity,"alexandrium_fundyense and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellates, paralytic_shellfish_toxins, dinoflagellate."
pyrodinium,DINO_TAXON,cyanobacterium,CYANO_TAXON,cross_taxa_association,0,0.771078831801838,0.5133365842481051,0.6679819327803449,270.4468062798229,28,7,saxitoxin; dinoflagellates; paralytic_shellfish_poisoning; hplc; alexandrium; dinoflagellate; paralytic_shellfish_toxins; sxta; cyanobacteria; cyanobacterial; mass_spectrometry; toxin_production; saxitoxin_biosynthesis; anabaena; bloom; lc_ms; nitrogen; aphanizomenon; lyngbya; cylindrospermopsis,"pyrodinium and cyanobacterium may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_poisoning, hplc, alexandrium."
neosaxitoxin,TOXIN,warming,ENV_FACTOR,environment_toxin_association,1,0.8673163050638419,0.3637564816239286,0.6658923756878766,167.25411264520673,21,5,saxitoxin; dinoflagellate; alexandrium; toxicity; salinity; temperature; toxin_production; alexandrium_fundyense; pyrodinium; gonyautoxin; gtx; bloom; light; nitrogen; pyrodinium_bahamense; nitrate; paralytic_shellfish_poisoning; dinoflagellates; nutrient; biosynthesis,"neosaxitoxin may be associated with variation in warming, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, toxicity, salinity."
horizontal_gene_transfer,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,1,0.8890344940993647,0.2917126114798632,0.6501057410515642,95.31072057787004,12,5,saxitoxin; cyanobacterial; cyanobacteria; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; dinoflagellates; biosynthesis,"horizontal_gene_transfer may be linked to the biological process sxti, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, dinoflagellate, alexandrium."
cylindrospermopsis,CYANO_TAXON,sxt_genes,SXT_GENE,cyano_gene_transfer_signal,1,0.8458618853706247,0.3529119176367858,0.6486818982770891,163.39831586745595,18,6,saxitoxin; dinoflagellates; cyanobacteria; sxta; cyanobacterial; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; phylogenetic; biosynthesis; pyrodinium; dinoflagellate; alexandrium; toxicity; gymnodinium; saxitoxin_biosynthesis; bloom; sxtu; expression,"cylindrospermopsis may provide cross-taxa context for sxt_genes, suggesting possible evolutionary or biosynthetic linkage supported by saxitoxin, dinoflagellates, cyanobacteria, sxta, cyanobacterial."
sxta,SXT_GENE,alexandrium_ostenfeldii,DINO_TAXON,taxon_gene_association,1,0.7851844075549169,0.4283989095810981,0.6424702083653894,248.3917038557662,22,6,alexandrium; saxitoxin; dinoflagellate; paralytic_shellfish_poisoning; dinoflagellates; toxicity; paralytic_shellfish_toxins; toxin_production; bloom; gonyautoxin; light; lc_ms; cyanobacterial; harmful_algal_bloom; mass_spectrometry; climate; alexandrium_minutum; phylogeny; phylogenetic; temperature,"sxta may be associated with alexandrium_ostenfeldii-related genetic capacity, supported by bridge concepts including alexandrium, saxitoxin, dinoflagellate, paralytic_shellfish_poisoning, dinoflagellates."
alexandrium_catenella,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,0,0.72600754627104,0.5142953353247682,0.6413226618925313,274.01140377790506,27,7,saxitoxin; alexandrium; dinoflagellates; paralytic_shellfish_toxins; dinoflagellate; alexandrium_tamarense; hplc; paralytic_shellfish_poisoning; biosynthesis; cyanobacteria; bloom; sxta; expression; evolution; phylogenetic; gymnodinium; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; gene_expression,"alexandrium_catenella and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellates, paralytic_shellfish_toxins, dinoflagellate."
regulation,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,1,0.8932541587615478,0.2595615744819879,0.6397771250497238,99.11076201298124,13,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"regulation may be linked to the biological process sxti, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
sxtg,SXT_GENE,transcriptomic,BIOLOGICAL_PROCESS,gene_process_association,1,0.8267428586790001,0.3586929886693951,0.6395229106751581,162.04556714071393,19,5,alexandrium; dinoflagellate; paralytic_shellfish_toxins; saxitoxin; paralytic_shellfish_poisoning; dinoflagellates; biosynthesis; cyanobacteria; toxin_production; transcriptome; alexandrium_fundyense; bloom; nitrogen; expression; gene_expression; evolution; toxicity; alexandrium_minutum; nutrient,"sxtg may be linked to the biological process transcriptomic, supported by bridge concepts including alexandrium, dinoflagellate, paralytic_shellfish_toxins, saxitoxin, paralytic_shellfish_poisoning."
