Source,Source_Type,Target,Target_Type,Hypothesis_Class,Temporal_Label,ML_Probability,Node2Vec_Integrated_Score,Final_AI_Rank_Score,Score,Common_Neighbors,Distinct_Bridge_Types,Bridge_Nodes,Interpretation
gonyautoxin,TOXIN,alexandrium_fundyense,DINO_TAXON,taxon_toxin_association,,,0.8437689489342937,,497.0579613648809,36,7,alexandrium; dinoflagellate; saxitoxin; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxin_production; nutrient; bloom; gtx; light; nitrogen; temperature; nitrate; phylogenetic; biosynthesis; cyanobacteria; phosphate; phosphorus,"gonyautoxin may be associated with alexandrium_fundyense production or occurrence, supported by bridge concepts including alexandrium, dinoflagellate, saxitoxin, toxicity, paralytic_shellfish_poisoning."
paralytic_shellfish_toxins,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,,,0.82142466267367,,462.5661464616956,40,6,saxitoxin; biosynthesis; alexandrium; dinoflagellate; dinoflagellates; cyanobacteria; sxta; paralytic_shellfish_poisoning; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; evolution; toxicity; phylogeny; temperature; toxin_production; phosphate,"paralytic_shellfish_toxins may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, biosynthesis, alexandrium, dinoflagellate, dinoflagellates."
pyrodinium,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,,,0.8145069081686461,,477.97341664274126,32,6,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; alexandrium; toxicity; gymnodinium; paralytic_shellfish_toxins; gonyautoxin; dinoflagellates; neosaxitoxin; hplc; gymnodinium_catenatum; temperature; mouse_bioassay; nutrient; toxin_production; salinity; biosynthesis; saxitoxin_biosynthesis; light,"pyrodinium may be associated with gtx production or occurrence, supported by bridge concepts including dinoflagellate, saxitoxin, paralytic_shellfish_poisoning, alexandrium, toxicity."
pyrodinium_bahamense,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,,,0.7758729937498887,,448.5132277088681,32,6,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxicity; gonyautoxin; neosaxitoxin; gymnodinium; hplc; alexandrium; temperature; gymnodinium_catenatum; mouse_bioassay; nutrient; salinity; toxin_production; saxitoxin_biosynthesis; light; mass_spectrometry,"pyrodinium_bahamense may be associated with gtx production or occurrence, supported by bridge concepts including dinoflagellate, saxitoxin, paralytic_shellfish_poisoning, paralytic_shellfish_toxins, dinoflagellates."
gtx,TOXIN,regulation,BIOLOGICAL_PROCESS,process_toxin_association,,,0.709630754234019,,398.1371768695439,33,6,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_tamarense; toxicity; toxin_production; alexandrium_minutum; nutrient; temperature; alexandrium_fundyense; biosynthesis; saxitoxin_biosynthesis; alexandrium_catenella; light; salinity; nitrate; gymnodinium,"gtx may be mechanistically associated with regulation, supported by bridge concepts including alexandrium, dinoflagellate, saxitoxin, paralytic_shellfish_toxins, paralytic_shellfish_poisoning."
gtx,TOXIN,expression,BIOLOGICAL_PROCESS,process_toxin_association,,,0.6771611141561973,,399.0913002280694,27,6,dinoflagellate; alexandrium; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; alexandrium_tamarense; alexandrium_minutum; nutrient; toxin_production; alexandrium_fundyense; biosynthesis; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; alexandrium_catenella; light; toxin_biosynthesis; phylogenetic; nutrients,"gtx may be mechanistically associated with expression, supported by bridge concepts including dinoflagellate, alexandrium, saxitoxin, paralytic_shellfish_poisoning, paralytic_shellfish_toxins."
gtx,TOXIN,harmful_algal_bloom,ENV_FACTOR,environment_toxin_association,,,0.658907215919215,,349.96637481727146,29,6,alexandrium; saxitoxin; paralytic_shellfish_poisoning; dinoflagellate; dinoflagellates; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; gonyautoxin; gymnodinium; hplc; alexandrium_catenella; mass_spectrometry; alexandrium_minutum; nutrient; gymnodinium_catenatum; alexandrium_fundyense; bloom; nitrogen; warming,"gtx may be associated with variation in harmful_algal_bloom, supported by bridge concepts including alexandrium, saxitoxin, paralytic_shellfish_poisoning, dinoflagellate, dinoflagellates."
gonyautoxin,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,,,0.6320195156674426,,340.80927495148893,30,7,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; phylogenetic; cyanobacteria; gymnodinium; pyrodinium; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; biosynthesis; toxin_production; gymnodinium_catenatum; hplc; bloom,"gonyautoxin may be mechanistically associated with evolution, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, paralytic_shellfish_poisoning, dinoflagellates."
neosaxitoxin,TOXIN,regulation,BIOLOGICAL_PROCESS,process_toxin_association,,,0.630177471382586,,354.90667405489137,29,6,alexandrium; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; alexandrium_tamarense; toxicity; toxin_production; light; pyrodinium; pyrodinium_bahamense; salinity; nutrient; cyanobacteria; temperature; gymnodinium; hplc; gonyautoxin; alexandrium_fundyense,"neosaxitoxin may be mechanistically associated with regulation, supported by bridge concepts including alexandrium, dinoflagellate, dinoflagellates, saxitoxin, paralytic_shellfish_toxins."
neosaxitoxin,TOXIN,harmful_algal_bloom,ENV_FACTOR,environment_toxin_association,,,0.6169443474516831,,326.49324659536,26,6,saxitoxin; alexandrium; paralytic_shellfish_poisoning; dinoflagellate; dinoflagellates; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; gonyautoxin; gymnodinium; hplc; pyrodinium; mass_spectrometry; nutrient; gymnodinium_catenatum; alexandrium_fundyense; bloom; alexandrium_catenella; nitrogen; pyrodinium_bahamense,"neosaxitoxin may be associated with variation in harmful_algal_bloom, supported by bridge concepts including saxitoxin, alexandrium, paralytic_shellfish_poisoning, dinoflagellate, dinoflagellates."
