Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score
toxicity,BIOLOGICAL_PROCESS,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,575.226447872181,195.0,41,7,10.87989060275715,0.5466666666666666,3264,68,48,dinoflagellate; alexandrium; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_catenella; regulation; alexandrium_minutum; biosynthesis; cyanobacteria; alexandrium_tamarense; nutrient; sxta; phylogenetic; toxin_production; alexandrium_fundyense; bloom; light; evolution,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; ENV_FACTOR; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
cyanobacteria,CYANO_TAXON,temperature,ENV_FACTOR,semantic_hypothesis,473.7891207346496,158.0,35,6,8.964004811769271,0.4861111111111111,2772,63,44,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_toxins; dinoflagellates; paralytic_shellfish_poisoning; bloom; toxicity; alexandrium_tamarense; hplc; regulation; alexandrium_minutum; toxin_production; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; nutrient; biosynthesis; gymnodinium; gymnodinium_catenatum,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium,DINO_TAXON,nitrogen,ENV_FACTOR,semantic_hypothesis,461.70092925029,142.0,39,7,10.142131291811658,0.5416666666666666,3038,62,49,alexandrium; dinoflagellate; toxicity; dinoflagellates; saxitoxin; bloom; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; alexandrium_tamarense; alexandrium_minutum; toxin_production; gonyautoxin; light; biosynthesis; cyanobacteria; nutrients; hplc; expression; harmful_algal_bloom; regulation,DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; ENV_FACTOR; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; DETECTION_METHOD; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium_catenatum,DINO_TAXON,nitrogen,ENV_FACTOR,semantic_hypothesis,452.1051581060114,137.0,39,7,10.142131291811658,0.582089552238806,2793,57,49,alexandrium; dinoflagellate; toxicity; dinoflagellates; saxitoxin; bloom; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; alexandrium_tamarense; alexandrium_minutum; gonyautoxin; light; biosynthesis; cyanobacteria; toxin_production; hplc; expression; harmful_algal_bloom; nutrients; pyrodinium,DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; ENV_FACTOR; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; DETECTION_METHOD; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
pyrodinium,DINO_TAXON,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,445.9366148015557,143.0,34,7,8.812057400777869,0.53125,2400,50,48,dinoflagellate; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium; sxta; nutrient; toxin_production; bloom; light; cyanobacterial; regulation; biosynthesis; cyanobacteria; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; evolution; alexandrium_minutum,DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; SXT_GENE; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; CYANO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
temperature,ENV_FACTOR,phylogenetic,BIOLOGICAL_PROCESS,semantic_hypothesis,401.9155254274418,131.0,30,6,7.538407875011252,0.4838709677419355,2112,44,48,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; toxicity; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; alexandrium_tamarense; bloom; gonyautoxin; saxitoxin_biosynthesis; biosynthesis; toxin_production; gymnodinium; gymnodinium_catenatum; pyrodinium; alexandrium_fundyense; gtx; alexandrium_catenella; neosaxitoxin,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN,dino_pre2016,unvalidated_candidate,,,,,
gtx,TOXIN,sxta,SXT_GENE,semantic_hypothesis,399.5441540804594,130.0,30,6,7.566194687288519,0.4411764705882353,2301,39,59,saxitoxin; alexandrium; dinoflagellate; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxicity; alexandrium_tamarense; alexandrium_minutum; gymnodinium; alexandrium_fundyense; biosynthesis; toxin_production; gymnodinium_catenatum; saxitoxin_biosynthesis; alexandrium_catenella; light; toxin_biosynthesis; nutrient; phylogenetic,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
bloom,ENV_FACTOR,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,semantic_hypothesis,397.5303449521312,116.0,37,6,9.622315333208444,0.5285714285714286,2730,65,42,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; cyanobacteria; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; sxta; toxicity; biosynthesis; temperature; toxin_production; expression; pyrodinium_bahamense; regulation,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; CYANO_TAXON; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
biosynthesis,BIOLOGICAL_PROCESS,nitrate,ENV_FACTOR,semantic_hypothesis,396.9395180474504,125.0,32,6,8.184044738010893,0.4571428571428571,2405,65,37,alexandrium; dinoflagellate; paralytic_shellfish_toxins; dinoflagellates; toxin_production; saxitoxin; toxicity; alexandrium_tamarense; nutrient; alexandrium_minutum; paralytic_shellfish_poisoning; bloom; light; nitrogen; regulation; temperature; phosphate; alexandrium_fundyense; gonyautoxin; gtx,DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; TOXIN; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; TOXIN; TOXIN,dino_pre2016,unvalidated_candidate,,,,,
phylogenetic,BIOLOGICAL_PROCESS,nitrogen,ENV_FACTOR,semantic_hypothesis,391.9837275979347,118.0,33,7,8.413738798967355,0.515625,2352,48,49,dinoflagellate; alexandrium; dinoflagellates; saxitoxin; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; alexandrium_tamarense; bloom; gonyautoxin; biosynthesis; cyanobacteria; toxin_production; alexandrium_fundyense; expression; alexandrium_minutum; nutrient; nutrients; hplc; pyrodinium,DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; DETECTION_METHOD; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
neosaxitoxin,TOXIN,sxta,SXT_GENE,semantic_hypothesis,391.6904291183272,126.0,30,6,7.537522251471301,0.4615384615384615,2124,36,59,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; pyrodinium; toxicity; alexandrium_tamarense; gymnodinium; toxin_production; gymnodinium_catenatum; light; pyrodinium_bahamense; nutrient; phylogenetic; cyanobacteria; gonyautoxin; alexandrium_fundyense; bloom,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; CYANO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
