dataset,entity_type,count,,,,
cyano_all,BIOLOGICAL_PROCESS,631,,,,
cyano_all,CYANO_TAXON,1511,,,,
cyano_all,DETECTION_METHOD,352,,,,
cyano_all,DINO_TAXON,278,,,BIOLOGICAL_PROCESS,1508
cyano_all,ENV_FACTOR,486,,,CYANO_TAXON,1713
cyano_all,SXT_GENE,179,,,DETECTION_METHOD,658
cyano_all,TOXIN,736,,,DINO_TAXON,2449
dino_post2015,BIOLOGICAL_PROCESS,462,,,ENV_FACTOR,1139
dino_post2015,CYANO_TAXON,97,,,SXT_GENE,359
dino_post2015,DETECTION_METHOD,112,,,TOXIN,2092
dino_post2015,DINO_TAXON,912,,,,
dino_post2015,ENV_FACTOR,340,,,,
dino_post2015,SXT_GENE,136,,,,
dino_post2015,TOXIN,535,,,,
dino_pre2016,BIOLOGICAL_PROCESS,415,,,,
dino_pre2016,CYANO_TAXON,105,,,,
dino_pre2016,DETECTION_METHOD,194,,,,
dino_pre2016,DINO_TAXON,1259,,,,
dino_pre2016,ENV_FACTOR,313,,,,
dino_pre2016,SXT_GENE,44,,,,
dino_pre2016,TOXIN,821,,,,
