Query_Entity,Query_Entity_Type,Predicted_Entity,Predicted_Entity_Type,Rank_For_Query,Global_AI_Rank,Hypothesis_Class,AI_Score,Final_AI_Rank_Score,ML_Probability,Node2Vec_Integrated_Score,Validation_Status,Candidate_Status,Bridge_Nodes,Bridge_Types,Interpretation,Common_Neighbors,Distinct_Bridge_Types,Structural_Score,Bridge_Score,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Embedding_Bridge_Max_Similarity,Embedding_Coverage,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Source,Source_Type,Target,Target_Type,Training_Graph,Query_Direction,Query_Entity_Normalized,Predicted_Entity_Normalized,Pair_Key,Search_Text
alexandrium,DINO_TAXON,sxtd,SXT_GENE,1,63,taxon_gene_association,0.5324457807118111,0.5324457807118111,0.7334141720682195,0.2309931936771987,Validated,unvalidated_candidate,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; dinoflagellates; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; sxta; expression; lc_ms_ms; cylindrospermopsis,TOXIN; CYANO_TAXON; TOXIN; DETECTION_METHOD; DINO_TAXON; CYANO_TAXON; DETECTION_METHOD; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; DETECTION_METHOD; CYANO_TAXON,"The association between alexandrium and sxtd suggests that this taxon may possess, express, or regulate the gene as part of its saxitoxin-related genetic capacity; functional involvement requires experimental confirmation. In the historical knowledge graph, this association is connected through bridge concepts including saxitoxin, cyanobacteria, paralytic shellfish toxins, mass spectrometry, and dinoflagellates.",12,6,97.73233161395372,12.0,0.3277627895885471,0.5420505406665779,0.8275950372496653,1,3.116165806976866,0.15,1027,79,13,alexandrium,DINO_TAXON,sxtd,SXT_GENE,dino_pre2016,Source-to-Target,alexandrium,sxtd,alexandrium|||sxtd,alexandrium sxtd dino taxon sxt gene taxon gene association saxitoxin cyanobacteria paralytic shellfish toxins mass spectrometry dinoflagellates cyanobacterium lc ms paralytic shellfish poisoning sxta expression lc ms ms cylindrospermopsis toxin cyano taxon toxin detection method dino taxon cyano taxon detection method toxin sxt gene biological process detection method cyano taxon validated
alexandrium,DINO_TAXON,sxtb,SXT_GENE,2,125,taxon_gene_association,0.3472646497234232,0.3472646497234232,0.3864143116671362,0.2885401568078538,Validated,unvalidated_candidate,cyanobacterial; cyanobacteria; dinoflagellate; sxtg; sxta; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; transcriptome; climate; evolution; toxin_production; bloom; toxin_biosynthesis; paralytic_shellfish_poisoning; nutrient; biosynthesis,CYANO_TAXON; CYANO_TAXON; DINO_TAXON; SXT_GENE; SXT_GENE; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS,"The association between alexandrium and sxtb suggests that this taxon may possess, express, or regulate the gene as part of its saxitoxin-related genetic capacity; functional involvement requires experimental confirmation. In the historical knowledge graph, this association is connected through bridge concepts including cyanobacterial, cyanobacteria, dinoflagellate, sxtg, and sxta.",17,6,137.7507224625207,23.0,0.2722547516530979,0.5315815438483547,0.7940908770657443,1,4.299411864171739,0.2151898734177215,1343,79,17,alexandrium,DINO_TAXON,sxtb,SXT_GENE,dino_pre2016,Source-to-Target,alexandrium,sxtb,alexandrium|||sxtb,alexandrium sxtb dino taxon sxt gene taxon gene association cyanobacterial cyanobacteria dinoflagellate sxtg sxta dinoflagellates saxitoxin paralytic shellfish toxins transcriptome climate evolution toxin production bloom toxin biosynthesis paralytic shellfish poisoning nutrient biosynthesis cyano taxon cyano taxon dino taxon sxt gene sxt gene dino taxon toxin toxin biological process env factor biological process biological process env factor biological process toxin env factor biological process validated
alexandrium,DINO_TAXON,scytonema,CYANO_TAXON,3,203,cross_taxa_association,0.2242300848626122,0.2242300848626122,0.2501682030768737,0.1853229075412199,Unvalidated,unvalidated_candidate,saxitoxin; cyanobacteria; cyanobacterium; sxta; phylogenetic; dinoflagellates,TOXIN; CYANO_TAXON; CYANO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; DINO_TAXON,"The relationship between alexandrium and scytonema represents a cross-taxa knowledge signal shared across cyanobacterial and dinoflagellate literature. This semantic transfer signal should not, by itself, be interpreted as evidence of horizontal gene transfer. In the historical knowledge graph, this association is connected through bridge concepts including saxitoxin, cyanobacteria, cyanobacterium, sxta, and phylogenetic.",6,5,58.73334019178824,6.0,0.4230979632653518,0.5891250188416804,0.7713685762469452,1,1.4869232604510874,0.0759493670886076,474,79,6,alexandrium,DINO_TAXON,scytonema,CYANO_TAXON,dino_pre2016,Source-to-Target,alexandrium,scytonema,alexandrium|||scytonema,alexandrium scytonema dino taxon cyano taxon cross taxa association saxitoxin cyanobacteria cyanobacterium sxta phylogenetic dinoflagellates toxin cyano taxon cyano taxon sxt gene biological process dino taxon unvalidated
alexandrium,DINO_TAXON,sxtu,SXT_GENE,4,231,taxon_gene_association,0.2032549692499248,0.2032549692499248,0.1345859678719857,0.3062584713168335,Validated,unvalidated_candidate,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; sxt_genes; saxitoxin_biosynthesis; lc_ms; sxta; expression; lc_ms_ms; cyanobacterial; dinoflagellate; paralytic_shellfish_poisoning; cylindrospermopsis; dinoflagellates; mass_spectrometry; cyanobacterium; phylogenetic; biosynthesis; gymnodinium; gymnodinium_catenatum,TOXIN; CYANO_TAXON; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; DETECTION_METHOD; SXT_GENE; BIOLOGICAL_PROCESS; DETECTION_METHOD; CYANO_TAXON; DINO_TAXON; TOXIN; CYANO_TAXON; DINO_TAXON; DETECTION_METHOD; CYANO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON,"The association between alexandrium and sxtu suggests that this taxon may possess, express, or regulate the gene as part of its saxitoxin-related genetic capacity; functional involvement requires experimental confirmation. In the historical knowledge graph, this association is connected through bridge concepts including saxitoxin, cyanobacteria, paralytic shellfish toxins, sxt genes, and saxitoxin biosynthesis.",20,6,146.80095910085603,22.0,0.2679744735800963,0.517652145837171,0.8016466653790285,1,5.150479550428017,0.25,1659,79,21,alexandrium,DINO_TAXON,sxtu,SXT_GENE,dino_pre2016,Source-to-Target,alexandrium,sxtu,alexandrium|||sxtu,alexandrium sxtu dino taxon sxt gene taxon gene association saxitoxin cyanobacteria paralytic shellfish toxins sxt genes saxitoxin biosynthesis lc ms sxta expression lc ms ms cyanobacterial dinoflagellate paralytic shellfish poisoning cylindrospermopsis dinoflagellates mass spectrometry cyanobacterium phylogenetic biosynthesis gymnodinium gymnodinium catenatum toxin cyano taxon toxin sxt gene biological process detection method sxt gene biological process detection method cyano taxon dino taxon toxin cyano taxon dino taxon detection method cyano taxon biological process biological process dino taxon dino taxon validated
alexandrium_affine,DINO_TAXON,sxta,SXT_GENE,1,83,taxon_gene_association,0.4793624510309199,0.4793624510309199,0.7044484896307099,0.1417333931312351,Validated,unvalidated_candidate,temperature; alexandrium; dinoflagellate; light; hplc; nutrient,ENV_FACTOR; DINO_TAXON; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR,"The association between alexandrium affine and sxta suggests that this taxon may possess, express, or regulate the gene as part of its saxitoxin-related genetic capacity; functional involvement requires experimental confirmation. In the historical knowledge graph, this association is connected through bridge concepts including temperature, alexandrium, dinoflagellate, light, and hplc.",6,3,48.97701818609738,6.0,0.2438623739535722,0.4707208309324713,0.6347814335160631,1,1.480034516777505,0.1016949152542373,354,59,6,sxta,SXT_GENE,alexandrium_affine,DINO_TAXON,dino_pre2016,Target-to-Source,alexandrium affine,sxta,alexandrium affine|||sxta,sxta alexandrium affine sxt gene dino taxon taxon gene association temperature alexandrium dinoflagellate light hplc nutrient env factor dino taxon dino taxon env factor detection method env factor validated
alexandrium_affine,DINO_TAXON,cyanobacteria,CYANO_TAXON,2,84,cross_taxa_association,0.477608151754043,0.477608151754043,0.7165340019029084,0.1192193765307449,Validated,unvalidated_candidate,alexandrium; dinoflagellate; light; hplc; nutrient,DINO_TAXON; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR,"The relationship between alexandrium affine and cyanobacteria represents a cross-taxa knowledge signal shared across cyanobacterial and dinoflagellate literature. This semantic transfer signal should not, by itself, be interpreted as evidence of horizontal gene transfer. In the historical knowledge graph, this association is connected through bridge concepts including alexandrium, dinoflagellate, light, hplc, and nutrient.",5,3,43.21280429368212,5.0,0.1520924551169707,0.4951540530079886,0.6290307220192775,1,1.2157771468410594,0.078125,378,63,6,cyanobacteria,CYANO_TAXON,alexandrium_affine,DINO_TAXON,dino_pre2016,Target-to-Source,alexandrium affine,cyanobacteria,alexandrium affine|||cyanobacteria,cyanobacteria alexandrium affine cyano taxon dino taxon cross taxa association alexandrium dinoflagellate light hplc nutrient dino taxon dino taxon env factor detection method env factor validated
alexandrium_affine,DINO_TAXON,sxt_genes,SXT_GENE,3,101,taxon_gene_association,0.4247424349672256,0.4247424349672256,0.6324738029808182,0.1131453829468367,Validated,unvalidated_candidate,alexandrium; light; dinoflagellate,DINO_TAXON; ENV_FACTOR; DINO_TAXON,"The association between alexandrium affine and sxt genes suggests that this taxon may possess, express, or regulate the gene as part of its saxitoxin-related genetic capacity; functional involvement requires experimental confirmation. In the historical knowledge graph, this association is connected through bridge concepts including alexandrium, light, and dinoflagellate.",3,2,27.33729975258484,3.0,0.2535228913301424,0.4871390208295857,0.6290307220192775,1,0.7141044217469659,0.0909090909090909,180,30,6,sxt_genes,SXT_GENE,alexandrium_affine,DINO_TAXON,dino_pre2016,Target-to-Source,alexandrium affine,sxt genes,alexandrium affine|||sxt genes,sxt genes alexandrium affine sxt gene dino taxon taxon gene association alexandrium light dinoflagellate dino taxon env factor dino taxon validated
alexandrium_affine,DINO_TAXON,cyanobacterial,CYANO_TAXON,4,213,cross_taxa_association,0.2152021814632245,0.2152021814632245,0.2764441761529314,0.1233391894286643,Unvalidated,unvalidated_candidate,alexandrium; dinoflagellate; light; hplc; nutrient,DINO_TAXON; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR,"The relationship between alexandrium affine and cyanobacterial represents a cross-taxa knowledge signal shared across cyanobacterial and dinoflagellate literature. This semantic transfer signal should not, by itself, be interpreted as evidence of horizontal gene transfer. In the historical knowledge graph, this association is connected through bridge concepts including alexandrium, dinoflagellate, light, hplc, and nutrient.",5,3,43.39309275522058,5.0,0.1613091054128068,0.5061084373252024,0.6290307220192775,1,1.2157771468410594,0.0961538461538461,306,51,6,cyanobacterial,CYANO_TAXON,alexandrium_affine,DINO_TAXON,dino_pre2016,Target-to-Source,alexandrium affine,cyanobacterial,alexandrium affine|||cyanobacterial,cyanobacterial alexandrium affine cyano taxon dino taxon cross taxa association alexandrium dinoflagellate light hplc nutrient dino taxon dino taxon env factor detection method env factor unvalidated
alexandrium_affine,DINO_TAXON,sxtg,SXT_GENE,5,275,taxon_gene_association,0.1727864494476924,0.1727864494476924,0.2075963606980963,0.1205715825720865,Validated,unvalidated_candidate,alexandrium; dinoflagellate; nutrient,DINO_TAXON; DINO_TAXON; ENV_FACTOR,"The association between alexandrium affine and sxtg suggests that this taxon may possess, express, or regulate the gene as part of its saxitoxin-related genetic capacity; functional involvement requires experimental confirmation. In the historical knowledge graph, this association is connected through bridge concepts including alexandrium, dinoflagellate, and nutrient.",3,2,27.1974396127247,3.0,0.3126225017082795,0.4854885861205317,0.6223734775294213,1,0.7141044217469659,0.0769230769230769,216,36,6,sxtg,SXT_GENE,alexandrium_affine,DINO_TAXON,dino_pre2016,Target-to-Source,alexandrium affine,sxtg,alexandrium affine|||sxtg,sxtg alexandrium affine sxt gene dino taxon taxon gene association alexandrium dinoflagellate nutrient dino taxon dino taxon env factor validated
alexandrium_affine,DINO_TAXON,paralytic_shellfish_poisoning,TOXIN,6,306,taxon_toxin_association,0.1507527797246856,0.1507527797246856,0.1242039043382274,0.1905760928043728,Validated,unvalidated_candidate,temperature; alexandrium; dinoflagellate; light; hplc; nutrient,ENV_FACTOR; DINO_TAXON; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR,"The occurrence or production of paralytic shellfish poisoning is associated with alexandrium affine, which may indicate taxon-specific toxin-producing capacity or toxin composition. In the historical knowledge graph, this association is connected through bridge concepts including temperature, alexandrium, dinoflagellate, light, and hplc.",6,3,48.729299802785775,6.0,0.4917567131576654,0.6098658932863678,0.7940908770657443,1,1.480034516777505,0.0769230769230769,468,78,6,paralytic_shellfish_poisoning,TOXIN,alexandrium_affine,DINO_TAXON,dino_pre2016,Target-to-Source,alexandrium affine,paralytic shellfish poisoning,alexandrium affine|||paralytic shellfish poisoning,paralytic shellfish poisoning alexandrium affine toxin dino taxon taxon toxin association temperature alexandrium dinoflagellate light hplc nutrient env factor dino taxon dino taxon env factor detection method env factor validated
