Global_AI_Rank,Source,Source_Type,Target,Target_Type,Hypothesis_Class,AI_Score,Final_AI_Rank_Score,ML_Probability,Node2Vec_Integrated_Score,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Embedding_Bridge_Max_Similarity,Embedding_Coverage,Structural_Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Validation_Status,Candidate_Status,Bridge_Nodes,Bridge_Types,Interpretation,Training_Graph,Source_Normalized,Target_Normalized,Pair_Key,Search_Text
1,paralytic_shellfish_toxins,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,0.864568003563053,0.864568003563053,0.8933302308226417,0.82142466267367,0.494545152872572,0.5679114327931889,0.8550420741783743,1,462.5661464616956,143.0,40,6,10.5803705281451,0.5405405405405406,3024,72,42,Validated,unvalidated_candidate,saxitoxin; biosynthesis; alexandrium; dinoflagellate; dinoflagellates; cyanobacteria; sxta; paralytic_shellfish_poisoning; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; evolution; toxicity; phylogeny; temperature; toxin_production; phosphate,TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; CYANO_TAXON; SXT_GENE; TOXIN; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR,"paralytic_shellfish_toxins may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, biosynthesis, alexandrium, dinoflagellate, dinoflagellates.",dino_pre2016,paralytic shellfish toxins,saxitoxin biosynthesis,paralytic shellfish toxins|||saxitoxin biosynthesis,paralytic shellfish toxins saxitoxin biosynthesis toxin biological process process toxin association saxitoxin biosynthesis alexandrium dinoflagellate dinoflagellates cyanobacteria sxta paralytic shellfish poisoning alexandrium fundyense cyanobacterial phylogenetic gymnodinium gymnodinium catenatum pyrodinium evolution toxicity phylogeny temperature toxin production phosphate toxin biological process dino taxon dino taxon dino taxon cyano taxon sxt gene toxin dino taxon cyano taxon biological process dino taxon dino taxon dino taxon biological process biological process biological process env factor biological process env factor paralytic shellfish toxins may be mechanistically associated with saxitoxin biosynthesis supported by bridge concepts including saxitoxin biosynthesis alexandrium dinoflagellate dinoflagellates. validated
2,gonyautoxin,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,0.8062338796103108,0.8062338796103108,0.9223767889055564,0.6320195156674426,0.4734554510269038,0.5693248629567835,0.7900842979493753,1,340.80927495148893,98.0,30,7,7.523685094792083,0.4761904761904761,2142,51,42,Validated,unvalidated_candidate,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; phylogenetic; cyanobacteria; gymnodinium; pyrodinium; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; biosynthesis; toxin_production; gymnodinium_catenatum; hplc; bloom,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR,"gonyautoxin may be mechanistically associated with evolution, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, paralytic_shellfish_poisoning, dinoflagellates.",dino_pre2016,gonyautoxin,evolution,evolution|||gonyautoxin,gonyautoxin evolution toxin biological process process toxin association saxitoxin dinoflagellate alexandrium paralytic shellfish poisoning dinoflagellates paralytic shellfish toxins toxicity phylogenetic cyanobacteria gymnodinium pyrodinium alexandrium catenella mouse bioassay alexandrium tamarense alexandrium minutum biosynthesis toxin production gymnodinium catenatum hplc bloom toxin dino taxon dino taxon toxin dino taxon toxin biological process biological process cyano taxon dino taxon dino taxon dino taxon detection method dino taxon dino taxon biological process biological process dino taxon detection method env factor gonyautoxin may be mechanistically associated with evolution supported by bridge concepts including saxitoxin dinoflagellate alexandrium paralytic shellfish poisoning dinoflagellates. validated
3,gonyautoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,0.7982550355096716,0.7982550355096716,0.9369022496778262,0.5902842142574395,0.4003930622365142,0.5668409144180091,0.7900842979493753,1,312.56999787312884,80.0,32,7,8.1620481168923,0.5245901639344263,2142,51,42,Validated,unvalidated_candidate,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; nutrient; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; cyanobacteria; gtx; alexandrium_catenella; alexandrium_tamarense; biosynthesis; temperature; phosphate; anabaena; bloom; light,DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; CYANO_TAXON; ENV_FACTOR; ENV_FACTOR,"gonyautoxin may be mechanistically associated with toxin_biosynthesis, supported by bridge concepts including alexandrium, paralytic_shellfish_toxins, dinoflagellate, dinoflagellates, nutrient.",dino_pre2016,gonyautoxin,toxin biosynthesis,gonyautoxin|||toxin biosynthesis,gonyautoxin toxin biosynthesis toxin biological process process toxin association alexandrium paralytic shellfish toxins dinoflagellate dinoflagellates nutrient toxin production saxitoxin paralytic shellfish poisoning toxicity alexandrium minutum cyanobacteria gtx alexandrium catenella alexandrium tamarense biosynthesis temperature phosphate anabaena bloom light dino taxon toxin dino taxon dino taxon env factor biological process toxin toxin biological process dino taxon cyano taxon toxin dino taxon dino taxon biological process env factor env factor cyano taxon env factor env factor gonyautoxin may be mechanistically associated with toxin biosynthesis supported by bridge concepts including alexandrium paralytic shellfish toxins dinoflagellate dinoflagellates nutrient. validated
4,alexandrium_tamarense,DINO_TAXON,sxtg,SXT_GENE,taxon_gene_association,0.7669360725009264,0.7669360725009264,0.9472139477816413,0.4965192595798541,0.3105706740974414,0.5157582479963959,0.7570579389238076,1,260.3799690893336,62.0,29,6,7.312935364338931,0.4754098360655737,1944,54,36,Validated,unvalidated_candidate,saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; cyanobacterial; evolution; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,TOXIN; DINO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; CYANO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS,"alexandrium_tamarense may be associated with sxtg-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, sxta, alexandrium.",dino_pre2016,alexandrium tamarense,sxtg,alexandrium tamarense|||sxtg,alexandrium tamarense sxtg dino taxon sxt gene taxon gene association saxitoxin dinoflagellate dinoflagellates sxta alexandrium biosynthesis paralytic shellfish toxins cyanobacteria cyanobacterial evolution paralytic shellfish poisoning alexandrium minutum nutrient toxin production gymnodinium gymnodinium catenatum alexandrium fundyense gonyautoxin sxt genes saxitoxin biosynthesis toxin dino taxon dino taxon sxt gene dino taxon biological process toxin cyano taxon cyano taxon biological process toxin dino taxon env factor biological process dino taxon dino taxon dino taxon toxin sxt gene biological process alexandrium tamarense may be associated with sxtg-related genetic capacity supported by bridge concepts including saxitoxin dinoflagellate dinoflagellates sxta alexandrium. validated
5,pyrodinium_bahamense,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,0.7627236979523545,0.7627236979523545,0.9774625190062092,0.4406154663715725,0.1928630703375884,0.459455276848754,0.6388918369637988,1,244.89957747806787,59.0,25,7,6.217645881891077,0.4464285714285714,1620,45,36,Validated,unvalidated_candidate,saxitoxin; dinoflagellates; paralytic_shellfish_toxins; alexandrium; dinoflagellate; hplc; paralytic_shellfish_poisoning; bloom; sxta; cyanobacterial; biosynthesis; gymnodinium; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; lc_ms; evolution; regulation; toxicity; mass_spectrometry,TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; DETECTION_METHOD; TOXIN; ENV_FACTOR; SXT_GENE; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; DETECTION_METHOD; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DETECTION_METHOD,"pyrodinium_bahamense and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_toxins, alexandrium, dinoflagellate.",dino_pre2016,pyrodinium bahamense,anabaena,anabaena|||pyrodinium bahamense,pyrodinium bahamense anabaena dino taxon cyano taxon cross taxa association saxitoxin dinoflagellates paralytic shellfish toxins alexandrium dinoflagellate hplc paralytic shellfish poisoning bloom sxta cyanobacterial biosynthesis gymnodinium pyrodinium gonyautoxin saxitoxin biosynthesis lc ms evolution regulation toxicity mass spectrometry toxin dino taxon toxin dino taxon dino taxon detection method toxin env factor sxt gene cyano taxon biological process dino taxon dino taxon toxin biological process detection method biological process biological process biological process detection method pyrodinium bahamense and anabaena may share stx-related biological context supported by bridge concepts including saxitoxin dinoflagellates paralytic shellfish toxins alexandrium dinoflagellate. validated
6,regulation,BIOLOGICAL_PROCESS,sxt_genes,SXT_GENE,gene_process_association,0.7604743708973862,0.7604743708973862,0.9615096981819024,0.4589213799706121,0.3885049041702297,0.4781046029236237,0.6896238302107396,1,230.3429382338948,54.0,25,6,6.220488724790518,0.4901960784313725,1380,46,30,Validated,unvalidated_candidate,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; cyanobacteria; paralytic_shellfish_toxins; pyrodinium; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; gymnodinium; transcriptome; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense; evolution,TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; SXT_GENE; CYANO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS,"regulation may be linked to the biological process sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, biosynthesis, dinoflagellates.",dino_pre2016,regulation,sxt genes,regulation|||sxt genes,regulation sxt genes biological process sxt gene gene process association saxitoxin dinoflagellate alexandrium biosynthesis dinoflagellates cyanobacteria paralytic shellfish toxins pyrodinium saxitoxin biosynthesis sxta cyanobacterial paralytic shellfish poisoning gymnodinium transcriptome bloom alexandrium catenella light expression pyrodinium bahamense evolution toxin dino taxon dino taxon biological process dino taxon cyano taxon toxin dino taxon biological process sxt gene cyano taxon toxin dino taxon biological process env factor dino taxon env factor biological process dino taxon biological process regulation may be linked to the biological process sxt genes supported by bridge concepts including saxitoxin dinoflagellate alexandrium biosynthesis dinoflagellates. validated
7,light,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,0.7575589528792683,0.7575589528792683,0.941593517930966,0.4815071053017218,0.3129962418677851,0.4995233854060979,0.684974795402223,1,248.5749212437373,56.0,29,6,7.287460621868691,0.5,1836,51,36,Validated,unvalidated_candidate,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; biosynthesis; sxta; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; cyanobacteria; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; SXT_GENE; TOXIN; DINO_TAXON; ENV_FACTOR; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS,"light may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins.",dino_pre2016,light,sxtg,light|||sxtg,light sxtg env factor sxt gene environment gene regulation saxitoxin dinoflagellate dinoflagellates alexandrium paralytic shellfish toxins biosynthesis sxta paralytic shellfish poisoning alexandrium minutum nutrient cyanobacteria toxin production gymnodinium gymnodinium catenatum transcriptome alexandrium fundyense pyrodinium gonyautoxin sxt genes saxitoxin biosynthesis toxin dino taxon dino taxon dino taxon toxin biological process sxt gene toxin dino taxon env factor cyano taxon biological process dino taxon dino taxon biological process dino taxon dino taxon toxin sxt gene biological process light may influence or regulate sxtg supported by bridge concepts including saxitoxin dinoflagellate dinoflagellates alexandrium paralytic shellfish toxins. validated
8,alexandrium_minutum,DINO_TAXON,sxt_genes,SXT_GENE,taxon_gene_association,0.7545676712242712,0.7545676712242712,0.9432345834864218,0.4715673028310451,0.3276519843624346,0.4708851069765317,0.6415580337423074,1,247.1204230106919,59.0,27,6,6.810211505345947,0.45,1710,57,30,Validated,unvalidated_candidate,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; sxta; cyanobacteria; gymnodinium; gymnodinium_catenatum; paralytic_shellfish_toxins; pyrodinium; paralytic_shellfish_poisoning; phylogenetic; transcriptome; saxitoxin_biosynthesis; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense,TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; CYANO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON,"alexandrium_minutum may be associated with sxt_genes-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, biosynthesis, dinoflagellates.",dino_pre2016,alexandrium minutum,sxt genes,alexandrium minutum|||sxt genes,alexandrium minutum sxt genes dino taxon sxt gene taxon gene association saxitoxin dinoflagellate alexandrium biosynthesis dinoflagellates sxta cyanobacteria gymnodinium gymnodinium catenatum paralytic shellfish toxins pyrodinium paralytic shellfish poisoning phylogenetic transcriptome saxitoxin biosynthesis bloom alexandrium catenella light expression pyrodinium bahamense toxin dino taxon dino taxon biological process dino taxon sxt gene cyano taxon dino taxon dino taxon toxin dino taxon toxin biological process biological process biological process env factor dino taxon env factor biological process dino taxon alexandrium minutum may be associated with sxt genes-related genetic capacity supported by bridge concepts including saxitoxin dinoflagellate alexandrium biosynthesis dinoflagellates. validated
9,gonyautoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,0.7539373459919418,0.7539373459919418,0.8458101053565454,0.6161282069450367,0.4008731267006585,0.5208447711815858,0.7484074131751101,1,335.8637697636944,96.0,31,6,7.931884881847199,0.5,2142,51,42,Validated,unvalidated_candidate,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; phylogenetic; cyanobacteria; temperature; toxin_production; gtx; pyrodinium_bahamense; nutrient; biosynthesis; phosphate; anabaena; alexandrium_catenella,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; CYANO_TAXON; DINO_TAXON,"gonyautoxin may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellate, dinoflagellates, paralytic_shellfish_poisoning.",dino_pre2016,gonyautoxin,saxitoxin biosynthesis,gonyautoxin|||saxitoxin biosynthesis,gonyautoxin saxitoxin biosynthesis toxin biological process process toxin association saxitoxin alexandrium dinoflagellate dinoflagellates paralytic shellfish poisoning gymnodinium gymnodinium catenatum pyrodinium toxicity phylogenetic cyanobacteria temperature toxin production gtx pyrodinium bahamense nutrient biosynthesis phosphate anabaena alexandrium catenella toxin dino taxon dino taxon dino taxon toxin dino taxon dino taxon dino taxon biological process biological process cyano taxon env factor biological process toxin dino taxon env factor biological process env factor cyano taxon dino taxon gonyautoxin may be mechanistically associated with saxitoxin biosynthesis supported by bridge concepts including saxitoxin alexandrium dinoflagellate dinoflagellates paralytic shellfish poisoning. validated
10,regulation,BIOLOGICAL_PROCESS,sxtg,SXT_GENE,gene_process_association,0.7521895352311146,0.7521895352311146,0.9044706083195344,0.5237679255984848,0.4153513737287878,0.4751246901899774,0.7077064583755528,1,264.8736299306558,62.0,30,6,7.552199580712502,0.5769230769230769,1656,46,36,Validated,unvalidated_candidate,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; biosynthesis; paralytic_shellfish_toxins; evolution; cyanobacteria; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; SXT_GENE; CYANO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; TOXIN,"regulation may be linked to the biological process sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, biosynthesis.",dino_pre2016,regulation,sxtg,regulation|||sxtg,regulation sxtg biological process sxt gene gene process association saxitoxin dinoflagellate dinoflagellates alexandrium biosynthesis paralytic shellfish toxins evolution cyanobacteria saxitoxin biosynthesis sxta cyanobacterial paralytic shellfish poisoning alexandrium minutum nutrient toxin production gymnodinium transcriptome alexandrium fundyense pyrodinium gonyautoxin toxin dino taxon dino taxon dino taxon biological process toxin biological process cyano taxon biological process sxt gene cyano taxon toxin dino taxon env factor biological process dino taxon biological process dino taxon dino taxon toxin regulation may be linked to the biological process sxtg supported by bridge concepts including saxitoxin dinoflagellate dinoflagellates alexandrium biosynthesis. validated
