Source,Source_Type,Target,Target_Type,Hypothesis_Class,Node2Vec_Score,Node2Vec_Rank,AdamicAdar_Score,AdamicAdar_Rank,Jaccard_Score,Jaccard_Rank,Common_Neighbors,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Coverage,Pair_Key,Temporal_Outcome,Interpretation,Primary_Rank,Primary_Score,Primary_Method,Search_Text
paralytic_shellfish_toxins,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,0.494545152872572,52,10.5803705281451,1,0.5405405405405406,12,40,saxitoxin; biosynthesis; alexandrium; dinoflagellate; dinoflagellates; cyanobacteria; sxta; paralytic_shellfish_poisoning; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; evolution; toxicity; phylogeny; temperature; toxin_production; phosphate,TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; CYANO_TAXON; SXT_GENE; TOXIN; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,1,paralytic_shellfish_toxins|||saxitoxin_biosynthesis,Subsequently represented,"The relationship between paralytic shellfish toxins and saxitoxin biosynthesis was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as saxitoxin, biosynthesis, alexandrium, dinoflagellate, dinoflagellates. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",1,10.5803705281451,Adamic–Adar,paralytic_shellfish_toxins saxitoxin_biosynthesis toxin biological_process process_toxin_association saxitoxin; biosynthesis; alexandrium; dinoflagellate; dinoflagellates; cyanobacteria; sxta; paralytic_shellfish_poisoning; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; evolution; toxicity; phylogeny; temperature; toxin_production; phosphate toxin; biological_process; dino_taxon; dino_taxon; dino_taxon; cyano_taxon; sxt_gene; toxin; dino_taxon; cyano_taxon; biological_process; dino_taxon; dino_taxon; dino_taxon; biological_process; biological_process; biological_process; env_factor; biological_process; env_factor
gonyautoxin,TOXIN,alexandrium_fundyense,DINO_TAXON,taxon_toxin_association,0.3943344413967691,121,9.216480682440436,2,0.5625,9,36,alexandrium; dinoflagellate; saxitoxin; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxin_production; nutrient; bloom; gtx; light; nitrogen; temperature; nitrate; phylogenetic; biosynthesis; cyanobacteria; phosphate; phosphorus,DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; TOXIN; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; ENV_FACTOR,dino_pre2016,unvalidated_candidate,1,alexandrium_fundyense|||gonyautoxin,Not observed post-2015,"The relationship between gonyautoxin and alexandrium fundyense was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as alexandrium, dinoflagellate, saxitoxin, toxicity, paralytic shellfish poisoning. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",2,9.216480682440436,Adamic–Adar,gonyautoxin alexandrium_fundyense toxin dino_taxon taxon_toxin_association alexandrium; dinoflagellate; saxitoxin; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxin_production; nutrient; bloom; gtx; light; nitrogen; temperature; nitrate; phylogenetic; biosynthesis; cyanobacteria; phosphate; phosphorus dino_taxon; dino_taxon; toxin; biological_process; toxin; toxin; dino_taxon; biological_process; env_factor; env_factor; toxin; env_factor; env_factor; env_factor; env_factor; biological_process; biological_process; cyano_taxon; env_factor; env_factor
gtx,TOXIN,regulation,BIOLOGICAL_PROCESS,process_toxin_association,0.3561849810087958,187,8.395511511694988,3,0.6346153846153846,1,33,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_tamarense; toxicity; toxin_production; alexandrium_minutum; nutrient; temperature; alexandrium_fundyense; biosynthesis; saxitoxin_biosynthesis; alexandrium_catenella; light; salinity; nitrate; gymnodinium,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,1,gtx|||regulation,Not observed post-2015,"The relationship between gtx and regulation was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as alexandrium, dinoflagellate, saxitoxin, paralytic shellfish toxins, paralytic shellfish poisoning. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",3,8.395511511694988,Adamic–Adar,gtx regulation toxin biological_process process_toxin_association alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_tamarense; toxicity; toxin_production; alexandrium_minutum; nutrient; temperature; alexandrium_fundyense; biosynthesis; saxitoxin_biosynthesis; alexandrium_catenella; light; salinity; nitrate; gymnodinium dino_taxon; dino_taxon; toxin; toxin; toxin; dino_taxon; dino_taxon; biological_process; biological_process; dino_taxon; env_factor; env_factor; dino_taxon; biological_process; biological_process; dino_taxon; env_factor; env_factor; env_factor; dino_taxon
pyrodinium_bahamense,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,0.3738441287328545,156,8.179690777510995,4,0.6153846153846154,3,32,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxicity; gonyautoxin; neosaxitoxin; gymnodinium; hplc; alexandrium; temperature; gymnodinium_catenatum; mouse_bioassay; nutrient; salinity; toxin_production; saxitoxin_biosynthesis; light; mass_spectrometry,DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; DETECTION_METHOD,dino_pre2016,unvalidated_candidate,1,gtx|||pyrodinium_bahamense,Not observed post-2015,"The relationship between pyrodinium bahamense and gtx was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as dinoflagellate, saxitoxin, paralytic shellfish poisoning, paralytic shellfish toxins, dinoflagellates. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",4,8.179690777510995,Adamic–Adar,pyrodinium_bahamense gtx dino_taxon toxin taxon_toxin_association dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxicity; gonyautoxin; neosaxitoxin; gymnodinium; hplc; alexandrium; temperature; gymnodinium_catenatum; mouse_bioassay; nutrient; salinity; toxin_production; saxitoxin_biosynthesis; light; mass_spectrometry dino_taxon; toxin; toxin; toxin; dino_taxon; biological_process; toxin; toxin; dino_taxon; detection_method; dino_taxon; env_factor; dino_taxon; detection_method; env_factor; env_factor; biological_process; biological_process; env_factor; detection_method
pyrodinium,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,0.3992469953707867,120,8.179690777510995,4,0.5614035087719298,10,32,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; alexandrium; toxicity; gymnodinium; paralytic_shellfish_toxins; gonyautoxin; dinoflagellates; neosaxitoxin; hplc; gymnodinium_catenatum; temperature; mouse_bioassay; nutrient; toxin_production; salinity; biosynthesis; saxitoxin_biosynthesis; light,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; TOXIN; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,1,gtx|||pyrodinium,Not observed post-2015,"The relationship between pyrodinium and gtx was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as dinoflagellate, saxitoxin, paralytic shellfish poisoning, alexandrium, toxicity. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",4,8.179690777510995,Adamic–Adar,pyrodinium gtx dino_taxon toxin taxon_toxin_association dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; alexandrium; toxicity; gymnodinium; paralytic_shellfish_toxins; gonyautoxin; dinoflagellates; neosaxitoxin; hplc; gymnodinium_catenatum; temperature; mouse_bioassay; nutrient; toxin_production; salinity; biosynthesis; saxitoxin_biosynthesis; light dino_taxon; toxin; toxin; dino_taxon; biological_process; dino_taxon; toxin; toxin; dino_taxon; toxin; detection_method; dino_taxon; env_factor; detection_method; env_factor; biological_process; env_factor; biological_process; biological_process; env_factor
gonyautoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,0.4003930622365142,119,8.1620481168923,6,0.5245901639344263,20,32,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; nutrient; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; cyanobacteria; gtx; alexandrium_catenella; alexandrium_tamarense; biosynthesis; temperature; phosphate; anabaena; bloom; light,DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; CYANO_TAXON; ENV_FACTOR; ENV_FACTOR,dino_pre2016,unvalidated_candidate,1,gonyautoxin|||toxin_biosynthesis,Subsequently represented,"The relationship between gonyautoxin and toxin biosynthesis was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as alexandrium, paralytic shellfish toxins, dinoflagellate, dinoflagellates, nutrient. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",6,8.1620481168923,Adamic–Adar,gonyautoxin toxin_biosynthesis toxin biological_process process_toxin_association alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; nutrient; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; cyanobacteria; gtx; alexandrium_catenella; alexandrium_tamarense; biosynthesis; temperature; phosphate; anabaena; bloom; light dino_taxon; toxin; dino_taxon; dino_taxon; env_factor; biological_process; toxin; toxin; biological_process; dino_taxon; cyano_taxon; toxin; dino_taxon; dino_taxon; biological_process; env_factor; env_factor; cyano_taxon; env_factor; env_factor
gonyautoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,0.4008731267006585,117,7.931884881847199,7,0.5,23,31,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; phylogenetic; cyanobacteria; temperature; toxin_production; gtx; pyrodinium_bahamense; nutrient; biosynthesis; phosphate; anabaena; alexandrium_catenella,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; CYANO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,1,gonyautoxin|||saxitoxin_biosynthesis,Subsequently represented,"The relationship between gonyautoxin and saxitoxin biosynthesis was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as saxitoxin, alexandrium, dinoflagellate, dinoflagellates, paralytic shellfish poisoning. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",7,7.931884881847199,Adamic–Adar,gonyautoxin saxitoxin_biosynthesis toxin biological_process process_toxin_association saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; phylogenetic; cyanobacteria; temperature; toxin_production; gtx; pyrodinium_bahamense; nutrient; biosynthesis; phosphate; anabaena; alexandrium_catenella toxin; dino_taxon; dino_taxon; dino_taxon; toxin; dino_taxon; dino_taxon; dino_taxon; biological_process; biological_process; cyano_taxon; env_factor; biological_process; toxin; dino_taxon; env_factor; biological_process; env_factor; cyano_taxon; dino_taxon
alexandrium_catenella,DINO_TAXON,sxtg,SXT_GENE,taxon_gene_association,0.4915532212746087,54,7.846213684507708,8,0.5636363636363636,8,31,saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; evolution; paralytic_shellfish_poisoning; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,TOXIN; DINO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; CYANO_TAXON; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,1,alexandrium_catenella|||sxtg,Subsequently represented,"The relationship between alexandrium catenella and sxtg was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as saxitoxin, dinoflagellate, dinoflagellates, sxta, alexandrium. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",8,7.846213684507708,Adamic–Adar,alexandrium_catenella sxtg dino_taxon sxt_gene taxon_gene_association saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; evolution; paralytic_shellfish_poisoning; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis toxin; dino_taxon; dino_taxon; sxt_gene; dino_taxon; biological_process; toxin; cyano_taxon; biological_process; toxin; env_factor; biological_process; dino_taxon; dino_taxon; biological_process; dino_taxon; dino_taxon; toxin; sxt_gene; biological_process
regulation,BIOLOGICAL_PROCESS,sxtg,SXT_GENE,gene_process_association,0.4153513737287878,104,7.552199580712502,9,0.5769230769230769,5,30,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; biosynthesis; paralytic_shellfish_toxins; evolution; cyanobacteria; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; SXT_GENE; CYANO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; TOXIN,dino_pre2016,unvalidated_candidate,1,regulation|||sxtg,Subsequently represented,"The relationship between regulation and sxtg was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as saxitoxin, dinoflagellate, dinoflagellates, alexandrium, biosynthesis. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",9,7.552199580712502,Adamic–Adar,regulation sxtg biological_process sxt_gene gene_process_association saxitoxin; dinoflagellate; dinoflagellates; alexandrium; biosynthesis; paralytic_shellfish_toxins; evolution; cyanobacteria; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin toxin; dino_taxon; dino_taxon; dino_taxon; biological_process; toxin; biological_process; cyano_taxon; biological_process; sxt_gene; cyano_taxon; toxin; dino_taxon; env_factor; biological_process; dino_taxon; biological_process; dino_taxon; dino_taxon; toxin
gonyautoxin,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,0.4734554510269038,66,7.523685094792083,10,0.4761904761904761,30,30,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; phylogenetic; cyanobacteria; gymnodinium; pyrodinium; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; biosynthesis; toxin_production; gymnodinium_catenatum; hplc; bloom,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR,dino_pre2016,unvalidated_candidate,1,evolution|||gonyautoxin,Subsequently represented,"The relationship between gonyautoxin and evolution was identified as a candidate missing link in the pre-2016 dinoflagellate knowledge graph. Historical graph connectivity includes bridge concepts such as saxitoxin, dinoflagellate, alexandrium, paralytic shellfish poisoning, dinoflagellates. This relationship should be interpreted as a literature-derived hypothesis rather than experimental evidence of a biological mechanism.",10,7.523685094792083,Adamic–Adar,gonyautoxin evolution toxin biological_process process_toxin_association saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; phylogenetic; cyanobacteria; gymnodinium; pyrodinium; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; biosynthesis; toxin_production; gymnodinium_catenatum; hplc; bloom toxin; dino_taxon; dino_taxon; toxin; dino_taxon; toxin; biological_process; biological_process; cyano_taxon; dino_taxon; dino_taxon; dino_taxon; detection_method; dino_taxon; dino_taxon; biological_process; biological_process; dino_taxon; detection_method; env_factor
