component,file,records,columns
master_corpus,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/data/processed/stx_enriched_master_corpus_FINAL.csv,1749,38
dino_pre2016,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/splits/dino_pre2016.csv,519,38
dino_post2015,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/splits/dino_post2015.csv,355,38
cyano_all,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/splits/cyano_all.csv,695,38
entities,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/processed/all_split_entities_combined_normalized.csv,9918,11
combined_edges,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/kg/combined_enriched_semantic_edges.csv,5209,10
priority_hypotheses,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/processed/dino_pre2016_priority_hypotheses.csv,514,23
node2vec_scored,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/processed/dino_pre2016_priority_hypotheses_node2vec_scored.csv,514,30
ai_ranked,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/ml/dino_pre2016_hypotheses_ai_ranked.csv,514,32
strict_metrics,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/ml/strict_temporal_validation_metrics.csv,6,4
comparison_metrics,/home/bhlabos/LBD/New/STX_CORPUS_ENRICHMENT/FINAL_WORKSPACE/ml/node2vec_vs_ai_comparison_metrics.csv,10,6
