edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
saxitoxin||toxicity,saxitoxin,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,66,101.0,77.0,1,1,cyano_and_dino_prior_signal,178.0
cyanobacteria||toxicity,cyanobacteria,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,13,116.0,6.0,1,1,cyano_and_dino_prior_signal,122.0
biosynthesis||cyanobacteria,cyanobacteria,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,32,93.0,16.0,1,1,cyano_and_dino_prior_signal,109.0
biosynthesis||saxitoxin,saxitoxin,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,66,85.0,21.0,1,1,cyano_and_dino_prior_signal,106.0
alexandrium||toxicity,alexandrium,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,59,4.0,90.0,1,1,cyano_and_dino_prior_signal,94.0
paralytic_shellfish_poisoning||toxicity,paralytic_shellfish_poisoning,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,34,23.0,67.0,1,1,cyano_and_dino_prior_signal,90.0
saxitoxin||sxta,saxitoxin,sxta,TOXIN,SXT_GENE,gene_associated_with_toxin,46,65.0,22.0,1,1,cyano_and_dino_prior_signal,87.0
cyanobacterial||toxicity,cyanobacterial,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,85.0,2.0,1,1,cyano_and_dino_prior_signal,87.0
dinoflagellate||toxicity,dinoflagellate,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,47,3.0,76.0,1,1,cyano_and_dino_prior_signal,79.0
cyanobacteria||sxta,sxta,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,16,68.0,11.0,1,1,cyano_and_dino_prior_signal,79.0
bloom||toxicity,bloom,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,33,42.0,29.0,1,1,cyano_and_dino_prior_signal,71.0
biosynthesis||dinoflagellates,dinoflagellates,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,60,47.0,22.0,1,1,cyano_and_dino_prior_signal,69.0
paralytic_shellfish_toxins||toxicity,paralytic_shellfish_toxins,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,39,20.0,48.0,1,1,cyano_and_dino_prior_signal,68.0
saxitoxin||toxin_production,saxitoxin,toxin_production,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,25,39.0,28.0,1,1,cyano_and_dino_prior_signal,67.0
dinoflagellates||toxicity,dinoflagellates,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,45,19.0,47.0,1,1,cyano_and_dino_prior_signal,66.0
biosynthesis||cyanobacterial,cyanobacterial,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,7,56.0,8.0,1,1,cyano_and_dino_prior_signal,64.0
phylogenetic||saxitoxin,saxitoxin,phylogenetic,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,16,42.0,18.0,1,1,cyano_and_dino_prior_signal,60.0
cyanobacteria||toxin_production,cyanobacteria,toxin_production,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,6,56.0,4.0,1,1,cyano_and_dino_prior_signal,60.0
expression||saxitoxin,saxitoxin,expression,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,36,39.0,15.0,1,1,cyano_and_dino_prior_signal,54.0
biosynthesis||paralytic_shellfish_toxins,paralytic_shellfish_toxins,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,36,37.0,16.0,1,1,cyano_and_dino_prior_signal,53.0
alexandrium||toxin_production,alexandrium,toxin_production,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,35,6.0,47.0,1,1,cyano_and_dino_prior_signal,53.0
biosynthesis||dinoflagellate,dinoflagellate,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,49,27.0,23.0,1,1,cyano_and_dino_prior_signal,50.0
cyanobacteria||expression,cyanobacteria,expression,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,14,39.0,10.0,1,1,cyano_and_dino_prior_signal,49.0
cyanobacteria||phylogenetic,cyanobacteria,phylogenetic,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,8,40.0,9.0,1,1,cyano_and_dino_prior_signal,49.0
biosynthesis||sxta,sxta,biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,42,35.0,11.0,1,1,cyano_and_dino_prior_signal,46.0
dinoflagellates||sxta,sxta,dinoflagellates,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,37,27.0,18.0,1,1,cyano_and_dino_prior_signal,45.0
cyanobacterial||sxta,sxta,cyanobacterial,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,2,38.0,7.0,1,1,cyano_and_dino_prior_signal,45.0
dinoflagellate||toxin_production,dinoflagellate,toxin_production,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,28,7.0,37.0,1,1,cyano_and_dino_prior_signal,44.0
alexandrium||biosynthesis,alexandrium,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,53,20.0,22.0,1,1,cyano_and_dino_prior_signal,42.0
cyanobacterial||toxin_production,cyanobacterial,toxin_production,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,38.0,3.0,1,1,cyano_and_dino_prior_signal,41.0
saxitoxin||saxitoxin_biosynthesis,saxitoxin,saxitoxin_biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,26,26.0,14.0,1,1,cyano_and_dino_prior_signal,40.0
biosynthesis||saxitoxin_biosynthesis,biosynthesis,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,26,26.0,13.0,1,1,cyano_and_dino_prior_signal,39.0
dinoflagellates||toxin_production,dinoflagellates,toxin_production,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,27,12.0,26.0,1,1,cyano_and_dino_prior_signal,38.0
paralytic_shellfish_toxins||toxin_production,paralytic_shellfish_toxins,toxin_production,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,23,14.0,23.0,1,1,cyano_and_dino_prior_signal,37.0
biosynthesis||toxin_biosynthesis,biosynthesis,toxin_biosynthesis,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,23,26.0,10.0,1,1,cyano_and_dino_prior_signal,36.0
dinoflagellates||phylogenetic,dinoflagellates,phylogenetic,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,16,16.0,20.0,1,1,cyano_and_dino_prior_signal,36.0
alexandrium_tamarense||toxicity,alexandrium_tamarense,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,4,0.0,36.0,0,1,dino_prior_only_signal,36.0
dinoflagellate||sxta,sxta,dinoflagellate,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,33,17.0,18.0,1,1,cyano_and_dino_prior_signal,35.0
dinoflagellate||expression,dinoflagellate,expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,28,12.0,23.0,1,1,cyano_and_dino_prior_signal,35.0
dinoflagellates||expression,dinoflagellates,expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,27,23.0,12.0,1,1,cyano_and_dino_prior_signal,35.0
alexandrium||sxta,sxta,alexandrium,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,41,15.0,19.0,1,1,cyano_and_dino_prior_signal,34.0
alexandrium||expression,alexandrium,expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,34,13.0,21.0,1,1,cyano_and_dino_prior_signal,34.0
cylindrospermopsis||toxicity,cylindrospermopsis,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,31.0,3.0,1,1,cyano_and_dino_prior_signal,34.0
biosynthesis||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,23,21.0,12.0,1,1,cyano_and_dino_prior_signal,33.0
saxitoxin||sxt_genes,saxitoxin,sxt_genes,TOXIN,SXT_GENE,gene_associated_with_toxin,19,27.0,6.0,1,1,cyano_and_dino_prior_signal,33.0
cyanobacteria||regulation,cyanobacteria,regulation,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,8,29.0,4.0,1,1,cyano_and_dino_prior_signal,33.0
harmful_algal_bloom||saxitoxin,saxitoxin,harmful_algal_bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin;process_associated_with_toxin,20,18.0,14.0,1,1,cyano_and_dino_prior_signal,32.0
paralytic_shellfish_poisoning||toxin_production,paralytic_shellfish_poisoning,toxin_production,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,10,11.0,20.0,1,1,cyano_and_dino_prior_signal,31.0
cyanobacteria||saxitoxin_biosynthesis,cyanobacteria,saxitoxin_biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,11,23.0,7.0,1,1,cyano_and_dino_prior_signal,30.0
bloom||harmful_algal_bloom,bloom,harmful_algal_bloom,ENV_FACTOR,ENV_FACTOR,environment_associated_with_process;semantic_cooccurrence,26,12.0,17.0,1,1,cyano_and_dino_prior_signal,29.0
biosynthesis||expression,biosynthesis,expression,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,25,20.0,9.0,1,1,cyano_and_dino_prior_signal,29.0
expression||paralytic_shellfish_toxins,paralytic_shellfish_toxins,expression,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,15,16.0,13.0,1,1,cyano_and_dino_prior_signal,29.0
