dataset,document_id,year,taxon_scope,relevance_class,entity,entity_type,title,entity_original,entity_normalized,source
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,paralytic_shellfish_toxins,TOXIN,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,paralytic shellfish toxin,paralytic_shellfish_toxins,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,sxta,SXT_GENE,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,sxta,sxta,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,sxtb,SXT_GENE,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,sxtb,sxtb,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,sxtg,SXT_GENE,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,sxtg,sxtg,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellate,DINO_TAXON,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,dinoflagellate,dinoflagellate,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellates,DINO_TAXON,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,dinoflagellates,dinoflagellates,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,cyanobacteria,CYANO_TAXON,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,cyanobacteria,cyanobacteria,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,cyanobacterial,CYANO_TAXON,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,cyanobacterial,cyanobacterial,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,nutrient,ENV_FACTOR,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,nutrient,nutrient,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,climate,ENV_FACTOR,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,climate,climate,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,bloom,ENV_FACTOR,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,bloom,bloom,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,biosynthesis,BIOLOGICAL_PROCESS,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,biosynthesis,biosynthesis,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,toxin_biosynthesis,BIOLOGICAL_PROCESS,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,toxin biosynthesis,toxin_biosynthesis,dictionary_entity
dino_pre2016,STX_DOC_000006,2015.0,cross_taxa,high_confidence_stx_biosynthesis,toxin_production,BIOLOGICAL_PROCESS,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,toxin production,toxin_production,dictionary_entity
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin,TOXIN,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,saxitoxin,saxitoxin,dictionary_entity
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,paralytic_shellfish_toxins,TOXIN,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,pst,paralytic_shellfish_toxins,dictionary_entity
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,paralytic_shellfish_poisoning,TOXIN,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,paralytic shellfish poisoning,paralytic_shellfish_poisoning,dictionary_entity
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,sxta,SXT_GENE,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,sxta,sxta,dictionary_entity
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,sxtd,SXT_GENE,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,sxtd,sxtd,dictionary_entity
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,sxtu,SXT_GENE,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,sxtu,sxtu,dictionary_entity
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellates,DINO_TAXON,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,dinoflagellates,dinoflagellates,dictionary_entity
