Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score,Embedding_Bridge_Max_Similarity,Embedding_Coverage,Score_norm,Bridge_Score_norm,Common_Neighbors_norm,Adamic_Adar_norm,Jaccard_norm
gonyautoxin,TOXIN,alexandrium_fundyense,DINO_TAXON,taxon_toxin_association,497.0579613648809,165.0,36,7,9.216480682440436,0.5625,2499,51,49,alexandrium; dinoflagellate; saxitoxin; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxin_production; nutrient; bloom; gtx; light; nitrogen; temperature; nitrate; phylogenetic; biosynthesis; cyanobacteria; phosphate; phosphorus,DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; TOXIN; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.39433444139676915,0.5605178520616777,0.8437689489342937,,,0.7900842979493753,1,1.0,1.0,0.8974358974358975,0.8682424088551568,0.8790322580645162
paralytic_shellfish_toxins,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,462.5661464616956,143.0,40,6,10.5803705281451,0.5405405405405406,3024,72,42,saxitoxin; biosynthesis; alexandrium; dinoflagellate; dinoflagellates; cyanobacteria; sxta; paralytic_shellfish_poisoning; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; evolution; toxicity; phylogeny; temperature; toxin_production; phosphate,TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; CYANO_TAXON; SXT_GENE; TOXIN; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.49454515287257206,0.5679114327931889,0.82142466267367,,,0.8550420741783743,1,0.929060465625363,0.8658536585365854,1.0,1.0,0.8421970357454229
pyrodinium,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,477.97341664274126,165.0,32,6,8.179690777510995,0.5614035087719298,1950,50,39,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; alexandrium; toxicity; gymnodinium; paralytic_shellfish_toxins; gonyautoxin; dinoflagellates; neosaxitoxin; hplc; gymnodinium_catenatum; temperature; mouse_bioassay; nutrient; toxin_production; salinity; biosynthesis; saxitoxin_biosynthesis; light,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; TOXIN; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.3992469953707867,0.5526739695068913,0.8145069081686461,,,0.7672329736783478,1,0.9607486958821788,1.0,0.7948717948717948,0.7680840706821674,0.8771929824561403
pyrodinium_bahamense,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,448.5132277088681,150.0,32,6,8.179690777510995,0.6153846153846154,1755,45,39,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxicity; gonyautoxin; neosaxitoxin; gymnodinium; hplc; alexandrium; temperature; gymnodinium_catenatum; mouse_bioassay; nutrient; salinity; toxin_production; saxitoxin_biosynthesis; light; mass_spectrometry,DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; DETECTION_METHOD,dino_pre2016,unvalidated_candidate,0.3738441287328545,0.5541598287388814,0.7758729937498887,,,0.7672329736783478,1,0.9001577385369683,0.9085365853658537,0.7948717948717948,0.7680840706821674,0.9677419354838711
gtx,TOXIN,regulation,BIOLOGICAL_PROCESS,process_toxin_association,398.1371768695439,123.0,33,6,8.395511511694988,0.6346153846153846,1794,39,46,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_tamarense; toxicity; toxin_production; alexandrium_minutum; nutrient; temperature; alexandrium_fundyense; biosynthesis; saxitoxin_biosynthesis; alexandrium_catenella; light; salinity; nitrate; gymnodinium,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,0.35618498100879586,0.5555344780625828,0.709630754234019,,,0.7672329736783478,1,0.7965489954132577,0.7439024390243902,0.8205128205128205,0.7889332764627872,1.0
gtx,TOXIN,expression,BIOLOGICAL_PROCESS,process_toxin_association,399.0913002280694,135.0,27,6,6.795650114034677,0.45,1872,39,48,dinoflagellate; alexandrium; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; alexandrium_tamarense; alexandrium_minutum; nutrient; toxin_production; alexandrium_fundyense; biosynthesis; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; alexandrium_catenella; light; toxin_biosynthesis; phylogenetic; nutrients,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.3117640668602617,0.529867695078446,0.6771611141561973,,,0.7672329736783478,1,0.7985113469734683,0.8170731707317073,0.6666666666666666,0.6343798243748466,0.6903225806451615
gtx,TOXIN,harmful_algal_bloom,ENV_FACTOR,environment_toxin_association,349.96637481727146,106.0,29,6,7.331013495592266,0.6304347826086957,1404,39,36,alexandrium; saxitoxin; paralytic_shellfish_poisoning; dinoflagellate; dinoflagellates; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; gonyautoxin; gymnodinium; hplc; alexandrium_catenella; mass_spectrometry; alexandrium_minutum; nutrient; gymnodinium_catenatum; alexandrium_fundyense; bloom; nitrogen; warming,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.5005080729581433,0.5432401742385438,0.658907215919215,,,0.7672329736783478,1,0.6974758014502042,0.6402439024390244,0.717948717948718,0.6860982162694218,0.9929873772791025
gonyautoxin,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,340.80927495148893,98.0,30,7,7.523685094792083,0.4761904761904761,2142,51,42,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; phylogenetic; cyanobacteria; gymnodinium; pyrodinium; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; biosynthesis; toxin_production; gymnodinium_catenatum; hplc; bloom,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.47345545102690384,0.5693248629567835,0.6320195156674426,,,0.7900842979493753,1,0.6786423361041788,0.5914634146341463,0.7435897435897436,0.7047111166239052,0.7342549923195084
neosaxitoxin,TOXIN,regulation,BIOLOGICAL_PROCESS,process_toxin_association,354.90667405489137,109.0,29,6,7.217487970841912,0.5471698113207547,1656,36,46,alexandrium; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; alexandrium_tamarense; toxicity; toxin_production; light; pyrodinium; pyrodinium_bahamense; salinity; nutrient; cyanobacteria; temperature; gymnodinium; hplc; gonyautoxin; alexandrium_fundyense,DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; DINO_TAXON; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; CYANO_TAXON; ENV_FACTOR; DINO_TAXON; DETECTION_METHOD; TOXIN; DINO_TAXON,dino_pre2016,unvalidated_candidate,0.3312606170863378,0.5075010773707034,0.630177471382586,,,0.6986543106917821,1,0.7076365462115871,0.6585365853658537,0.717948717948718,0.6751311651386666,0.8533171028606209
neosaxitoxin,TOXIN,harmful_algal_bloom,ENV_FACTOR,environment_toxin_association,326.49324659536,100.0,26,6,6.420536341158245,0.5652173913043478,1296,36,36,saxitoxin; alexandrium; paralytic_shellfish_poisoning; dinoflagellate; dinoflagellates; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; gonyautoxin; gymnodinium; hplc; pyrodinium; mass_spectrometry; nutrient; gymnodinium_catenatum; alexandrium_fundyense; bloom; alexandrium_catenella; nitrogen; pyrodinium_bahamense,TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR; DINO_TAXON; DINO_TAXON; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,0.5079702383053006,0.5246427065397843,0.6169443474516831,,,0.6986543106917821,1,0.6491984698266725,0.6036585365853658,0.6410256410256411,0.5981422299128707,0.8835904628330996
