Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key
alexandrium,dinoflagellates,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,105,105,P002;P003;P004;P005;P007;P008;P009;P011;P012;P013;P016;P023;P033;P041;P043;P045;P053;P054;P058;P059;P064;P068;P069;P070;P071;P073;P074;P076;P077;P078;P080;P082;P084;P085;P088;P089;P090;P091;P092;P093;P094;P095;P096;P097;P098;P099;P101;P102;P104;P105;P107;P108;P109;P111;P114;P115;P116;P119;P120;P121;P123;P127;P128;P133;P134;P135;P136;P138;P139;P140;P141;P142;P143;P146;P150;P155;P157;P159;P160;P168;P169;P180;P188;P190;P192;P200;P201;P205;P206;P211;P214;P215;P216;P217;P219;P221;P222;P226;P228;P230;P232;P233;P236;P237;P238,1990;1999;2000;2001;2003;2004;2005;2006;2007;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('alexandrium', 'dinoflagellates')"
dinoflagellates,saxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,105,105,P001;P002;P003;P004;P005;P006;P007;P008;P009;P010;P011;P013;P016;P021;P024;P028;P030;P040;P041;P045;P052;P053;P054;P055;P057;P058;P061;P066;P067;P068;P070;P073;P074;P075;P076;P077;P078;P079;P080;P082;P084;P085;P086;P095;P096;P097;P098;P102;P103;P104;P107;P111;P115;P116;P117;P118;P120;P121;P123;P127;P128;P129;P131;P133;P135;P136;P137;P139;P142;P145;P146;P152;P154;P156;P157;P159;P160;P166;P169;P170;P171;P173;P177;P187;P188;P192;P199;P200;P201;P202;P204;P205;P208;P213;P214;P215;P219;P220;P222;P225;P226;P228;P230;P237;P238,1982;1985;1990;1994;1999;2000;2001;2003;2004;2006;2007;2008;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'saxitoxin')"
alexandrium,dinoflagellates,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,91,78,P002;P003;P005;P007;P008;P009;P012;P016;P023;P033;P041;P043;P045;P053;P054;P064;P068;P069;P070;P073;P074;P076;P077;P080;P082;P084;P085;P088;P089;P090;P091;P092;P093;P094;P095;P096;P097;P098;P099;P105;P107;P108;P109;P111;P114;P115;P116;P119;P120;P127;P128;P133;P134;P136;P138;P139;P140;P141;P142;P150;P157;P159;P160;P169;P180;P188;P190;P192;P200;P201;P211;P214;P215;P221;P230;P232;P236;P237,1990;2000;2001;2003;2004;2005;2006;2007;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,"('alexandrium', 'dinoflagellates')"
dinoflagellates,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,82,82,P001;P007;P022;P024;P028;P030;P033;P038;P040;P043;P045;P048;P052;P053;P054;P055;P057;P058;P059;P061;P064;P067;P068;P071;P079;P080;P081;P089;P090;P095;P096;P101;P102;P103;P105;P107;P111;P114;P125;P128;P129;P133;P134;P138;P139;P140;P141;P146;P147;P149;P155;P157;P159;P160;P167;P168;P175;P176;P179;P180;P185;P187;P190;P192;P195;P199;P200;P201;P202;P204;P205;P206;P208;P211;P214;P216;P217;P222;P226;P230;P232;P238,1999;2001;2003;2004;2005;2006;2007;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'paralytic shellfish toxins')"
alexandrium,saxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,79,78,P003;P005;P007;P008;P009;P011;P012;P016;P031;P041;P042;P045;P046;P053;P054;P058;P063;P068;P070;P073;P074;P076;P077;P080;P082;P083;P084;P085;P087;P088;P089;P095;P096;P097;P098;P099;P102;P104;P107;P111;P115;P116;P123;P127;P128;P130;P133;P135;P139;P142;P146;P157;P159;P160;P161;P169;P188;P189;P192;P193;P200;P201;P205;P210;P214;P215;P216;P219;P222;P224;P226;P228;P229;P230;P231;P237;P238;P241,1990;1996;1998;1999;2001;2003;2004;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,"('alexandrium', 'saxitoxin')"
paralytic shellfish toxins,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,78,46,P024;P038;P039;P042;P044;P046;P050;P053;P054;P055;P056;P057;P058;P059;P061;P062;P063;P065;P068;P087;P090;P103;P106;P107;P111;P125;P134;P185;P186;P189;P191;P193;P197;P200;P201;P202;P203;P204;P205;P206;P208;P209;P210;P212;P217;P222,1996;2001;2003;2004;2005;2006;2007;2008;2010;2012;2014;2015;2016;2017;2018;2021;2022;2025,"('paralytic shellfish toxins', 'toxin profile')"
paralytic shellfish toxins,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,77,77,P001;P007;P022;P024;P025;P026;P027;P028;P029;P030;P031;P032;P040;P042;P043;P045;P046;P049;P052;P053;P054;P055;P057;P058;P060;P061;P063;P067;P068;P079;P080;P083;P087;P089;P095;P096;P102;P103;P106;P107;P111;P125;P128;P129;P133;P138;P139;P146;P151;P157;P159;P160;P167;P179;P180;P187;P189;P190;P192;P193;P196;P199;P200;P201;P202;P204;P205;P207;P208;P210;P214;P216;P222;P226;P230;P238;P241,1996;1999;2001;2003;2004;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('paralytic shellfish toxins', 'saxitoxin')"
alexandrium,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,75,74,P007;P020;P031;P033;P039;P042;P043;P044;P045;P046;P047;P051;P053;P054;P058;P059;P063;P064;P068;P071;P080;P083;P087;P089;P090;P095;P096;P100;P101;P102;P105;P107;P111;P113;P114;P128;P133;P134;P138;P139;P140;P141;P144;P146;P151;P155;P157;P159;P160;P168;P180;P186;P189;P190;P191;P192;P193;P194;P198;P200;P201;P205;P206;P210;P211;P214;P216;P217;P222;P226;P230;P232;P238;P241,1996;1999;2000;2001;2003;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('alexandrium', 'paralytic shellfish toxins')"
paralytic shellfish poisoning,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,71,71,P002;P003;P014;P016;P025;P026;P027;P028;P031;P034;P046;P053;P054;P057;P058;P060;P063;P066;P074;P080;P083;P084;P089;P096;P099;P102;P103;P107;P116;P117;P118;P121;P122;P124;P127;P132;P133;P142;P145;P146;P152;P154;P157;P159;P160;P166;P167;P169;P173;P179;P180;P193;P200;P201;P204;P205;P207;P210;P213;P214;P215;P216;P222;P226;P228;P230;P231;P237;P238;P239;P241,1996;1998;1999;2000;2003;2004;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2021;2022;2023;2024;2025;2026,"('paralytic shellfish poisoning', 'saxitoxin')"
paralytic shellfish poisoning,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,70,70,P025;P026;P027;P028;P031;P036;P038;P044;P046;P047;P048;P050;P051;P053;P054;P057;P058;P059;P060;P063;P064;P080;P081;P083;P089;P090;P096;P100;P101;P102;P103;P105;P107;P133;P144;P146;P149;P153;P157;P158;P159;P160;P167;P176;P179;P180;P185;P191;P193;P194;P195;P197;P198;P200;P201;P204;P205;P206;P207;P210;P211;P214;P216;P222;P226;P227;P230;P232;P238;P241,1996;1999;2003;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('paralytic shellfish poisoning', 'paralytic shellfish toxins')"
dinoflagellates,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,68,68,P002;P003;P016;P028;P038;P048;P053;P054;P057;P058;P059;P064;P066;P074;P080;P081;P084;P089;P090;P096;P099;P102;P103;P105;P116;P117;P118;P121;P122;P124;P127;P132;P142;P145;P149;P150;P157;P160;P166;P167;P169;P172;P174;P176;P179;P180;P182;P185;P195;P200;P201;P204;P205;P206;P211;P213;P214;P215;P216;P218;P221;P228;P232;P233;P234;P237;P239;P240,1992;2000;2002;2003;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'paralytic shellfish poisoning')"
alexandrium,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,61,60,P002;P003;P016;P031;P044;P047;P051;P053;P054;P058;P059;P064;P074;P080;P083;P084;P089;P090;P096;P099;P100;P101;P102;P105;P107;P116;P121;P127;P133;P142;P144;P148;P150;P157;P159;P160;P169;P180;P191;P194;P198;P200;P201;P205;P206;P211;P214;P215;P216;P221;P226;P228;P230;P231;P232;P233;P235;P236;P237;P241,1998;2004;2005;2006;2007;2009;2010;2011;2012;2014;2015;2016;2017;2019;2021;2022;2023;2024;2025;2026,"('alexandrium', 'paralytic shellfish poisoning')"
paralytic shellfish toxins,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,55,55,P001;P007;P012;P024;P025;P027;P028;P029;P030;P031;P032;P040;P042;P043;P045;P049;P052;P054;P055;P057;P060;P061;P067;P068;P079;P087;P095;P102;P103;P106;P111;P125;P128;P129;P138;P139;P151;P157;P167;P179;P180;P187;P189;P190;P192;P196;P199;P201;P202;P204;P207;P208;P214;P216;P226,2001;2004;2006;2008;2010;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025;2026,"('paralytic shellfish toxins', 'saxitoxin')"
alexandrium,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,54,54,P003;P005;P009;P012;P016;P023;P041;P042;P043;P045;P053;P054;P068;P070;P073;P074;P076;P077;P080;P082;P084;P085;P088;P089;P095;P097;P098;P107;P111;P115;P116;P120;P128;P133;P136;P138;P139;P142;P151;P157;P159;P160;P169;P188;P189;P190;P192;P200;P201;P214;P215;P230;P237;P241,1990;2001;2004;2006;2007;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,"('alexandrium', 'saxitoxin')"
biosynthesis,dinoflagellates,SEMANTIC_CO_OCCURS,TAXON_GROUP,BIOLOGICAL_MECHANISM,49,44,P001;P002;P003;P004;P005;P007;P009;P010;P013;P067;P068;P070;P074;P077;P078;P082;P084;P089;P090;P095;P097;P098;P099;P115;P116;P117;P120;P122;P125;P128;P131;P139;P141;P142;P147;P166;P167;P169;P171;P175;P183;P214;P215;P218,1999;2009;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('biosynthesis', 'dinoflagellates')"
