source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key
CrossRef,,10.1002/(sici)(1997)5:1<36::aid-nt6>3.0.co;2-p,2006.0,A simple procedure for sulfation and 35S radiolabelling of paralytic shellfish poisoning (PSP) gonyautoxins,,Natural Toxins,cyanobacteria paralytic shellfish toxins,cyanobacteria_stx,,,10.1002/(sici)(1997)5:1<36::aid-nt6>3.0.co;2-p,,a simple procedure for sulfation and 35s radiolabelling of paralytic shellfish poisoning psp gonyautoxins,doi:10.1002/(sici)(1997)5:1<36::aid-nt6>3.0.co;2-p
OpenAlex,,10.1002/(sici)1522-7278(199902)14:1<127::aid-tox16>3.0.co;2-p,1999.0,Toxic cyanobacterial blooms in Lake Varese (Italy): A multidisciplinary approach,"During the summer of 1997, a toxic cyanobacterial bloom was observed in Lake Varese. The cyanobacterial community is recognized morphologically as being dominated by species belonging to the genera Aphanizomenon, Oscillatoria, Anabaena, and Microcystis. HPLC analyses were performed on phytoplankton samples collected on the lake from July to September 1997. A HPLC peak that had the same retention time as saxitoxin was detected in the sample collected on August 19. In addition, extracts from shellfish and fish tissues showed the same peak. In electrophysiological experiments, extracts of cyanobacteria showed an almost complete inhibition of Na+ channels, the typical biological effect of saxitoxin. The genomic region corresponding to the phycocyanin intergenic spacer of cyanobacteria from the last summer bloom has been characterized by means of a PCR amplification technique. ©1999 John Wiley & Sons, Inc. Environ Toxicol 14: 127–134, 1999",Environmental Toxicology,cyanobacterial saxitoxin,cyanobacteria_stx,https://openalex.org/W2039858074,,10.1002/(sici)1522-7278(199902)14:1<127::aid-tox16>3.0.co;2-p,,toxic cyanobacterial blooms in lake varese italy a multidisciplinary approach,doi:10.1002/(sici)1522-7278(199902)14:1<127::aid-tox16>3.0.co;2-p
OpenAlex,,10.1002/(sici)1522-7278(199902)14:1<127::aid-tox16>3.0.co;2-p,1999.0,Toxic cyanobacterial blooms in Lake Varese (Italy): A multidisciplinary approach,"During the summer of 1997, a toxic cyanobacterial bloom was observed in Lake Varese. The cyanobacterial community is recognized morphologically as being dominated by species belonging to the genera Aphanizomenon, Oscillatoria, Anabaena, and Microcystis. HPLC analyses were performed on phytoplankton samples collected on the lake from July to September 1997. A HPLC peak that had the same retention time as saxitoxin was detected in the sample collected on August 19. In addition, extracts from shellfish and fish tissues showed the same peak. In electrophysiological experiments, extracts of cyanobacteria showed an almost complete inhibition of Na+ channels, the typical biological effect of saxitoxin. The genomic region corresponding to the phycocyanin intergenic spacer of cyanobacteria from the last summer bloom has been characterized by means of a PCR amplification technique. ©1999 John Wiley & Sons, Inc. Environ Toxicol 14: 127–134, 1999",Environmental Toxicology,Aphanizomenon saxitoxin,cyanobacteria_stx,https://openalex.org/W2039858074,,10.1002/(sici)1522-7278(199902)14:1<127::aid-tox16>3.0.co;2-p,,toxic cyanobacterial blooms in lake varese italy a multidisciplinary approach,doi:10.1002/(sici)1522-7278(199902)14:1<127::aid-tox16>3.0.co;2-p
OpenAlex,,10.1002/(sici)1522-7278(199902)14:1<203::aid-tox26>3.0.co;2-x,1999.0,Development of health alerts for cyanobacteria and related toxins in drinking water in South Australia,"Cyanobacterial blooms occur intermittently in various reservoirs, rivers, and lakes in South Australia. Well-documented human and animal health effects related to blooms and the associated cyanotoxins have led health and water authorities in this state to recognize the need for establishing health alert (acute exposure) values for these cyanobacteria and their toxins. Distinct from lifetime drinking-water guideline values, these health alerts take into account known and possible acute health effects. Operationally, water authorities involved in monitoring the quality of water resources are required to contact the health authorities immediately if a health alert condition is detected. This then triggers a rapid assessment of potential health consequences of continued water use and sets in motion an appropriate management response. This article outlines the development of proposed health alerts for microcystin-LR-eq toxicity (10 μg/L), nodularin (10 μg/L), and saxitoxins (3 μg STX-eq/L). Corresponding cell densities for Microcystis aeruginosa (50,000 cells/mL), Nodularia spumigena (50,000 cells/mL), and Anabaena circinalis (20,000 cells/mL) are also provided for use as health alert indicators prior to determination of toxin concentration. In practice, it is likely that cell densities well below these values render drinking water unpalatable. ©1999 John Wiley & Sons, Inc. Environ Toxicol 14: 203–209, 1999",Environmental Toxicology,cyanobacterial saxitoxin,cyanobacteria_stx,https://openalex.org/W2049018948,,10.1002/(sici)1522-7278(199902)14:1<203::aid-tox26>3.0.co;2-x,,development of health alerts for cyanobacteria and related toxins in drinking water in south australia,doi:10.1002/(sici)1522-7278(199902)14:1<203::aid-tox26>3.0.co;2-x
OpenAlex,,10.1002/(sici)1522-7278(199902)14:1<77::aid-tox11>3.0.co;2-f,1999.0,Effects of cyanobacterial toxins and aqueous crude extracts of cyanobacteria on the development of fish and amphibians,"The effects of cyanobacterial hepatotoxins microcystin-LR, -RR, and -YR, of the neurotoxins saxitoxin and anatoxin-a, and of crude aqueous extracts of cyanobacteria were determined on the embryos of fish and amphibians from cleavage up to advanced stages of embryonic development. No acute toxic effects were observed after exposure to microcystins at 0.5, 5, and 50 μg/L, but the timing of hatching was altered in rainbow trout: earlier hatching occurred with 0.5, 5, and 50 μg/L microcystin-RR, 5 and 50 μg/L microcystin-YR, and 50 μg/L microcystin-LR; a minor delay in hatching was observed at 0.5 and 5 μg/L microcystin-LR. In axolotl, a delay in feeding was observed (microcystin-LR at 5 and 50 μg/L; microcystin-YR at 50 μg/L). After termination of exposure and rearing in toxin-free tanks, survival rate and growth were adversely affected in zebrafish larvae preexposed to microcystin-LR at 5 and 50 μg/L. At the highest applied concentration of microcystin-LR (10 mg/L), morphological effects were detected. Saxitoxin at 10 μg/L and above delayed hatching in zebrafish and led to malformations and mortalities at 500 μg/L. Hatching was also delayed in axolotl at 500 μg/L saxitoxin. Anatoxin-a (400 μg/L) altered the heart rate in zebrafish, but no chronic effects were observed. Far more pronounced effects, compared to those obtained with pure toxins, were observed following exposure to various aqueous crude extracts of cyanobacteria from field samples and batch cultures: similar malformations combined with high mortalities and adverse effects on outer egg structures were observed concomitantly in all species. HPLC data showed that these effects cannot be attributed to microcystin content alone. ©1999 John Wiley & Sons, Inc. Environ Toxicol 14: 77–88, 1999",Environmental Toxicology,cyanobacterial saxitoxin,cyanobacteria_stx,https://openalex.org/W1988568413,,10.1002/(sici)1522-7278(199902)14:1<77::aid-tox11>3.0.co;2-f,,effects of cyanobacterial toxins and aqueous crude extracts of cyanobacteria on the development of fish and amphibians,doi:10.1002/(sici)1522-7278(199902)14:1<77::aid-tox11>3.0.co;2-f
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,cyanobacterial saxitoxin,cyanobacteria_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Raphidiopsis saxitoxin,cyanobacteria_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Aphanizomenon saxitoxin,cyanobacteria_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Dolichospermum saxitoxin,cyanobacteria_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Cylindrospermopsis saxitoxin,cyanobacteria_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,temperature cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471701343.sdp22259,2004.0,Saxitoxin Dihydrochloride 35554‐08‐6,,Sax's Dangerous Properties of Industrial Materials,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/0471701343.sdp22259,,saxitoxin dihydrochloride 35554 08 6,doi:10.1002/0471701343.sdp22259
CrossRef,,10.1002/0471701343.sdp22259,2004.0,Saxitoxin Dihydrochloride 35554‐08‐6,,Sax's Dangerous Properties of Industrial Materials,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1002/0471701343.sdp22259,,saxitoxin dihydrochloride 35554 08 6,doi:10.1002/0471701343.sdp22259
CrossRef,,10.1002/0471701343.sdp22259,2004.0,Saxitoxin Dihydrochloride 35554‐08‐6,,Sax's Dangerous Properties of Industrial Materials,cyanobacterial saxitoxin,cyanobacteria_stx,,,10.1002/0471701343.sdp22259,,saxitoxin dihydrochloride 35554 08 6,doi:10.1002/0471701343.sdp22259
CrossRef,,10.1002/0471701343.sdp22259,2004.0,Saxitoxin Dihydrochloride 35554‐08‐6,,Sax's Dangerous Properties of Industrial Materials,Raphidiopsis saxitoxin,cyanobacteria_stx,,,10.1002/0471701343.sdp22259,,saxitoxin dihydrochloride 35554 08 6,doi:10.1002/0471701343.sdp22259
CrossRef,,10.1002/0471701343.sdp22259,2004.0,Saxitoxin Dihydrochloride 35554‐08‐6,,Sax's Dangerous Properties of Industrial Materials,Aphanizomenon saxitoxin,cyanobacteria_stx,,,10.1002/0471701343.sdp22259,,saxitoxin dihydrochloride 35554 08 6,doi:10.1002/0471701343.sdp22259
CrossRef,,10.1002/0471701343.sdp22259,2004.0,Saxitoxin Dihydrochloride 35554‐08‐6,,Sax's Dangerous Properties of Industrial Materials,Dolichospermum saxitoxin,cyanobacteria_stx,,,10.1002/0471701343.sdp22259,,saxitoxin dihydrochloride 35554 08 6,doi:10.1002/0471701343.sdp22259
