source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key,url,relevance_score,relevance_class,taxon_scope,stx_term_count,gene_term_count,dinoflagellate_term_count,cyanobacteria_term_count,environment_term_count,matched_stx_terms,matched_gene_terms,matched_dinoflagellate_terms,matched_cyanobacteria_terms,matched_environment_terms
OpenAlex,,10.1093/plankt/fbh114,2004.0,"Spatial and temporal patterns of phytoplankton composition in subtropical coastal lagoon, the Indian River Lagoon, Florida, USA","A 2 year study of the phytoplankton community was carried out in the Indian River Lagoon, USA. In terms of biovolume, the phytoplankton community was generally dominated by dinoflagellates, diatoms or cyanobacteria. Mean phytoplankton standing crops were highest in the most flow-restricted regions of the lagoon, which had the lowest mean salinity values and comparatively high total nitrogen:total phosphorus ratios. In this region, blooms of dinoflagellates were common in the first year of the study, which was characterized by an El Nin o event that yielded exceptionally high rainfall levels and freshwater outflow. Picoplanktonic cyanobacteria blooms became more prominent in the second year of the study, which was characterized by below average rainfall conditions. In unrestricted flow regions of the lagoon, located near inlets to the Atlantic Ocean, diatoms were most often the dominant taxa. Regions of intermediate water turnover rates and high external loading of phosphorus had a prevalence of diatom blooms. However, the average phytoplankton standing crops in the latter regions did not reach the levels experienced in the flow-restricted parts of the lagoon. In terms of individual phytoplankton taxa, the most common bloom-forming diatoms in the Indian River Lagoon system included: Skeletonema costatum, Dactyliosolen fragilissimus, Skeletonema menzelii, Cerataulina pelagica, Odontella regia, Chaetoceros lorenzianus, Rhizosolenia setigera and Thalassionema nitzschioides. The major bloom-forming dinoflagellate species included: Pheopolykrikos hartmannii, Akashiwo sanguinea, Prorocentrum micans, the potentially toxic species Pyrodinium bahamense var. bahamense and Prorocentrum minimum. Several picoplanktonic cyanobacteria were also prominent members of the phytoplankton community, including Synechococcus elongates. The spatial and temporal patterns observed in some of these dominant species were attributable to patterns in key environmental variables, including salinity, temperature and nutrient concentrations.",Journal of Plankton Research,Pyrodinium bahamense saxitoxin,dinoflagellate_stx,https://openalex.org/W2167797488,,10.1093/plankt/fbh114,,spatial and temporal patterns of phytoplankton composition in subtropical coastal lagoon the indian river lagoon florida usa,doi:10.1093/plankt/fbh114,,17,low_relevance_or_noise,cross_taxa,0,0,4,1,7,,,dinoflagellate; dinoflagellates; pyrodinium; pyrodinium bahamense,cyanobacteria,bloom; environmental; nitrogen; nutrient; phosphorus; salinity; temperature
OpenAlex,,10.20944/preprints202310.0275.v1,2023.0,First Polyphasic Study of Cheffia Reservoir (Algeria) Cyanobacteria Isolates Reveals Toxic Picocyanobacteria Genotype,"Monitoring water supply requires, among other quality indicators, the identification of the cyanobacte-ria community taking into account their potential impact in terms of water quality. In this work, cya-nobacteria strains were isolated from Cheffia reservoir and identified based on morphological features, 16S rRNA gene, phylogenetic analysis, and toxin production by PCR screening of the genes involved in the biosynthesis of cyanotoxins (mcyA, mcyE, sxtA, sxtG, sxtI, cyrJ, and anaC). Thirteen strains repre-senting six different genera: Aphanothece, Microcystis, Geitlerinema, Lyngbya, Microcoleus, and Pseudanabaena were obtained. The results demonstrated the importance of morphological features in determining the genus or the species when incongruence between the morphological and phylogenetic analysis occurs and only the utility of the 16S rRNA gene on determining higher taxonomic levels. The phylogenetic analysis confirmed the polyphyly of cyanobacteria for the Microcystis and Oscillatoriales genera. Unexpectedly, Aphanothece sp. CR 11 had the genetic potential to produce microcystins. Our study gives new insight instead of picocyanobacteria toxic genotype in this ecosystem. Thus, conven-tional water treatment methods in this ecosystem have to be adapted.",Preprints.org,cyanobacteria sxtA,cyanobacteria_stx,https://openalex.org/W4387380910,,10.20944/preprints202310.0275.v1,,first polyphasic study of cheffia reservoir algeria cyanobacteria isolates reveals toxic picocyanobacteria genotype,doi:10.20944/preprints202310.0275.v1,,16,low_relevance_or_noise,cyanobacteria,0,3,0,2,0,,sxta; sxtg; sxti,,cyanobacteria; lyngbya,
PubMed,38004676.0,10.3390/microorganisms11112664,2023.0,First Polyphasic Study of Cheffia Reservoir (Algeria) Cyanobacteria Isolates Reveals Toxic Picocyanobacteria Genotype.,"Monitoring water supply requires, among other quality indicators, the identification of the cyanobacteria community and taking into account their potential impact in terms of water quality. In this work, cyanobacteria strains were isolated from the Cheffia Reservoir and identified based on morphological features, the 16S rRNA gene, phylogenetic analysis, and toxin production by polymerase chain reaction PCR screening of the genes involved in the biosynthesis of cyanotoxins (<i>mcyA</i>, <i>mcyE</i>, <i>sxtA</i>, <i>sxtG</i>, <i>sxtI</i>, <i>cyrJ</i>, and <i>anaC</i>). Thirteen strains representing six different genera: <i>Aphanothece</i>, <i>Microcystis</i>, <i>Geitlerinema</i>, <i>Lyngbya</i>, <i>Microcoleus</i>, and <i>Pseudanabaena</i> were obtained. The results demonstrated the importance of morphological features in determining the genus or the species when incongruence between the morphological and phylogenetic analysis occurs and only the utility of the 16S rRNA gene in determining higher taxonomic levels. The phylogenetic analysis confirmed the polyphyly of cyanobacteria for the <i>Microcystis</i> and Oscillatoriales genera. Unexpectedly, <i>Aphanothece</i> sp. CR 11 had the genetic potential to produce microcystins. Our study gives new insight into species with picoplanktonic (or small) cell size and potentially toxic genotypes in this ecosystem. Thus, conventional water treatment methods in this ecosystem have to be adapted, indicating the requirement for pre-treatment methods that can effectively eliminate picocyanobacteria while preserving cell integrity to prevent toxin release.",Microorganisms,cyanobacteria sxtA,cyanobacteria_stx,,,10.3390/microorganisms11112664,38004676.0,first polyphasic study of cheffia reservoir algeria cyanobacteria isolates reveals toxic picocyanobacteria genotype,doi:10.3390/microorganisms11112664,,16,low_relevance_or_noise,cyanobacteria,0,3,0,2,0,,sxta; sxtg; sxti,,cyanobacteria; lyngbya,
OpenAlex,,10.21926/aeer.2201011,2022.0,Cyanobacterial Blooms and Their Implications in the Changing Environment,"Cyanobacteria are the most ancient phytoplankton that first appeared at least 2.5 billion years ago and have a prolonged evolutionary history. They can form impenetrable and toxic blooms in aquatic ecosystems such as freshwater and marine environments. Cyanobacterial blooms produce cyanotoxins that endanger ecosystem functioning and deteriorate water quality used for recreation, drinking, and in fisheries, thus, adversely affecting human health and the economy. Some bloom-producing genera are &lt;em&gt;Aphanizomenon, Planktothrix, Cylindrospermopsis, Nodularia, Trichodesmium, Dolichospermum&lt;/em&gt;, and &lt;em&gt;Microcystis&lt;/em&gt;. They increase turbidity and suppress submerged aquatic vegetation. Due to the microbial bloom-mediated environmental degradation, oxygen scarcity might occur, inducing hypoxia and anoxia, and resulting in the death of fish and benthic invertebrates. Several cyanotoxins cause many diseases related to digestion, liver, and neurological disorders when ingested by birds and mammals, including humans. Global changes resulting from human impacts like eutrophication, rising CO&lt;sub&gt;2&lt;/sub&gt; levels, and global warming are major driving forces for the enhancement of cyanobacterial blooms in many aquatic systems worldwide. Various management strategies such as nutrient load reduction, hydrodynamic changes, and chemical and biological controls have been used to reduce bloom occurrence and proliferation of cyanobacteria. In this chapter, we have discussed the approaches regarding the understanding of how global changes affect cyanobacterial blooms and also suggested effective prediction and management strategies.",Advances in Environmental and Engineering Research,Raphidiopsis saxitoxin,cyanobacteria_stx,https://openalex.org/W4221015086,,10.21926/aeer.2201011,,cyanobacterial blooms and their implications in the changing environment,doi:10.21926/aeer.2201011,,16,low_relevance_or_noise,cyanobacteria,0,0,0,6,4,,,,aphanizomenon; cyanobacteria; cyanobacterial; cylindrospermopsis; dolichospermum; planktothrix,bloom; environmental; nutrient; warming
OpenAlex,,10.1100/tsw.2001.16,2001.0,"Harmful Freshwater Algal Blooms, With an Emphasis on Cyanobacteria","Suspended algae, or phytoplankton, are the prime source of organic matter supporting food webs in freshwater ecosystems. Phytoplankton productivity is reliant on adequate nutrient supplies; however, increasing rates of nutrient supply, much of it manmade, fuels accelerating primary production or eutrophication. An obvious and problematic symptom of eutrophication is rapid growth and accumulations of phytoplankton, leading to discoloration of affected waters. These events are termed blooms. Blooms are a prime agent of water quality deterioration, including foul odors and tastes, deoxygenation of bottom waters (hypoxia and anoxia), toxicity, fish kills, and food web alterations. Toxins produced by blooms can adversely affect animal (including human) health in waters used for recreational and drinking purposes. Numerous freshwater genera within the diverse phyla comprising the phytoplankton are capable of forming blooms; however, the blue-green algae (or cyanobacteria) are the most notorious bloom formers. This is especially true for harmful toxic, surface-dwelling, scum-forming genera (e.g., Anabaena, Aphanizomenon, Nodularia, Microcystis) and some subsurface bloom-formers (Cylindrospermopsis, Oscillatoria) that are adept at exploiting nutrient-enriched conditions. They thrive in highly productive waters by being able to rapidly migrate between radiance-rich surface waters and nutrient-rich bottom waters. Furthermore, many harmful species are tolerant of extreme environmental conditions, including very high light levels, high temperatures, various degrees of desiccation, and periodic nutrient deprivation. Some of the most noxious cyanobacterial bloom genera (e.g., Anabaena, Aphanizomenon, Cylindrospermopsis, Nodularia) are capable of fixing atmospheric nitrogen (N2), enabling them to periodically dominate under nitrogen-limited conditions. Cyanobacteria produce a range of organic compounds, including those that are toxic to higher-ranked consumers, from zooplankton to further up the food chain. Both N2- and non-N2-fixing genera participate in mutualistic and symbiotic associations with microorganisms, higher plants, and animals. These associations appear to be of great benefit to their survival and periodic dominance. In this review, we address the ecological impacts and environmental controls of harmful blooms, with an emphasis on the ecology, physiology, and management of cyanobacterial bloom taxa. Combinations of physical, chemical, and biotic features of natural waters function in a synergistic fashion to determine the sensitivity of water bodies. In waters susceptible to blooms, human activities in water- and airsheds have been linked to the extent and magnitudes of blooms. Control and management of cyanobacterial and other phytoplankton blooms invariably includes nutrient input constraints, most often focused on nitrogen (N) and/or phosphorus (P). The types and amount of nutrient input constraints depend on hydrologic, climatic, geographic, and geologic factors, which interact with anthropogenic and natural nutrient input regimes. While single nutrient input constraints may be effective in some water bodies, dual N and P input reductions are usually required for effective long-term control and management of harmful blooms. In some systems where hydrologic manipulations (i.e., plentiful water supplies) are possible, reducing the water residence time by enhanced flushing and artificial mixing (in conjunction with nutrient input constraints) can be particularly effective alternatives. Implications of various management strategies, based on combined ecophysiological and environmental considerations, are discussed.",The Scientific World JOURNAL,Alexandrium temperature saxitoxin,dinoflagellate_stx,https://openalex.org/W2075890664,,10.1100/tsw.2001.16,,harmful freshwater algal blooms with an emphasis on cyanobacteria,doi:10.1100/tsw.2001.16,,16,low_relevance_or_noise,cyanobacteria,0,0,0,5,6,,,,anabaena; aphanizomenon; cyanobacteria; cyanobacterial; cylindrospermopsis,bloom; environmental; light; nitrogen; nutrient; phosphorus
OpenAlex,,10.1128/aem.64.8.2806-2813.1998,1998.0,"Algicidal Effects of a Novel Marine <i>Pseudoalteromonas</i> Isolate (Class <i>Proteobacteria</i> , Gamma Subdivision) on Harmful Algal Bloom Species of the Genera <i>Chattonella</i> , <i>Gymnodinium</i> , and <i>Heterosigma</i>","During a bacterial survey of the Huon Estuary in southern Tasmania, Australia, we isolated a yellow-pigmented Pseudoalteromonas strain (class Proteobacteria, gamma subdivision), designated strain Y, that had potent algicidal effects on harmful algal bloom species. This organism was identified by 16S rRNA sequencing as a strain with close affinities to Pseudoalteromonas peptidysin. This bacterium caused rapid cell lysis and death (within 3 h) of gymnodinoids (including Gymnodinium catenatum) and raphidophytes (Chattonella marina and Heterosigma akashiwo). It caused ecdysis of armored dinoflagellates (e.g., Alexandrium catenella, Alexandrium minutum, and Prorocentrum mexicanum), but the algal cultures then recovered over the subsequent 24 h. Strain Y had no effect on a cryptomonad (Chroomonas sp.), a diatom (Skeletonema sp.), a cyanobacterium (Oscillatoria sp.), and two aplastidic protozoans. The algicidal principle of strain Y was excreted into the seawater medium and lost its efficacy after heating. Another common bacterial species, Pseudoalteromonas carrageenovora, was isolated at the same time and did not have these algicidal effects. The minimum concentrations of strain Y required to kill G. catenatum were higher than the mean concentrations found in nature under nonbloom conditions. However, the new bacterium showed a chemotactic, swarming behavior that resulted in localized high concentrations around target organisms. These observations imply that certain bacteria could play an important role in regulating the onset and development of harmful algal blooms.",Applied and Environmental Microbiology,Gymnodinium catenatum saxitoxin,dinoflagellate_stx,https://openalex.org/W1981026491,,10.1128/aem.64.8.2806-2813.1998,,algicidal effects of a novel marine pseudoalteromonas isolate class proteobacteria gamma subdivision on harmful algal bloom species of the genera chattonella gymnodinium and heterosigma,doi:10.1128/aem.64.8.2806-2813.1998,,16,low_relevance_or_noise,cross_taxa,0,0,6,1,2,,,alexandrium; alexandrium catenella; alexandrium minutum; dinoflagellates; gymnodinium; gymnodinium catenatum,cyanobacterium,bloom; harmful algal bloom
OpenAlex,,,2001.0,"L'eutrophisation des eaux marines et saumâtres en Europe, en particulier en France","In order to be able to count the cases of coastal eutrophication and to propose methods to monitor as well as to reduce these phenomena, first of all it is necessary to precisely define the word eutrophication itself. Instead of the strict etymological definition, that is to say a progression of the enrichment of a medium, we will rather retain the concept of a state enriched at a point such as it causes harmful effects on the ecosystem, and nuisances to man's activities. Based on the average chemical equations of the organic matter synthesis/degradation in the sea, this operational definition thus puts forwards the harmful consequences of enrichment, i.e. the production of an excessive algal biomass, sometimes unbalanced from the point of view of biodiversity, and the more or less severe hypoxia which results from the degradation of this organic matter in excess.\n\n The manifestations of coastal marine eutrophication can classically follow two main paths, according to whether the proliferating algae are planktonic or macrophytic ; both these forms are to be found in France. With regard to the phytoplanktonic mass blooms (""coloured water ""), some coastal sites, especially the outlet of estuaries, are regularly hit; the only site having reached once at least the lethal anoxia is the Vilaine bay, where a massive kill of fish and benthic invertebrates took place at the end of July 1982. The dilution plumes of the Loire and the Seine rivers exhibit frequent phytoplanctonic blooms during spring and summer, but this induces only a slight hypoxia of the bottom water layer. The coastal waters along the French side of the Straits of Dover show every year, in April-May, large quantities of scum resulting from the proliferation of Phaeocystis. This case represents a particular example of the more general phenomenon of modification of the flora, favorable to the increase in the abundance of not-siliceous species, especially dinoflagellates in summer. Some dinoflagellates producing hazardous toxins for marine organisms (Gymnodinium mikimotoï) or for human consumers of infested shells (Dinophysis sp., Alexandrium sp., Pseudonitzschia sp.) are the target of a regular monitoring program in many sites of the French coast since the end of the Eighties (REPHY network). The geographic distribution of Dinophysis sp. clearly corresponds to the dilution plumes of the 4 main French rivers ; Alexandrium is restricted to specific very coastal, enriched sites, particularly in Brittany and in Mediterranean lagoons; Gymnodinium mikimotoï is concentrated on the western zone going from Brittany to Charente, while the Pseudonitzschia genus is present all over the coasts, but toxic species rarely occur.\n\n The massive proliferations of green macroalgae can be found in a recurring way in some Mediterranean lagoons, in the eastern part of the Arcachon embayment and on more than 50 Breton beaches. The associated species belong primarily to the Ulva genus, except in Arcachon, where it is the Monostroma genus which has dominated some years. The Breton sites do not undergo massive deoxygenation due to the decomposition of dead algal mats, thanks to the powerful tidal mixing. On the contrary, some Mediterranean lagoons can locally be damaged by summer anoxias (« malaïgues ») initiated by large amounts of decomposing organic matter, where the green algae can be dominant ; these « malaïgues » are responsible for massive fauna and flora kills. janvier-2001 Copyright\n\n\n The mechanisms which lead to eutrophication, for the macroalgal as well as for the phytoplanktonic forms, are:\n\n 1/ a containment of the water mass ; in lagoons, the terrestrial border provides a static containment, whereas in open embayments, hydrodynamic phenomena can create a dynamic containment. Thus, the horizontal trapping of the water masses in the areas with very weak residual current explains the occurrence of green tides in many Breton bays, as well as the phytoplanktonic blooms in the Vilaine bay. Horizontal or vertical density gradients generate also accumulation zones, which appear to be favorable to some dinoflagellates (Gymnodinium mikimotoï, Dinophysis sp.)\n 2 / a good illumination of the suspended algae : this explains the restriction of Ulva green tides to either lagoons or very shallow clear waters, which can be well mixed by the swell and the wind. In the dilution plumes of rivers (the Vilaine, the Loire, the Seine), the containment of brackish, enriched water in a surface layer limited by a pycnocline contributes to ensure the surface phytoplankton an average illumination which is higher than in well-mixed water columns.\n 3 / terrigenous nutrient loadings in excess compared to the flushing or the dilution capacities of the site. The nitrogen loadings are known to be responsible for the proliferation of the nitrophilic macrophytes (Ulva, Monostroma, Enteromorpha) and of Phaeocystis sp.: this not-siliceous phytoplanktonic species takes advantage of nitrate in excess remaining after exhaustion of silicate by the spring diatom bloom. In the same way, Alexandrium minutum, endowed with a great capacity for nitrate uptake, seems to grow well in nitrogen highly enriched sites. The control of the phytoplanktonic proliferation in enriched coastal areas is however variable in space and time: in the plume of the Seine or in the Vilaine bay, the limiting nutrient during spring and close to the mouth is currently phosphorus, while nitrogen becomes limiting offshore, especially in summer. The catchment area characteristics (geological background and capability of the ground water to sustain summer flow rate, agricultural practices, industrial and urban wastes) modulate the seasonal variation of the nitrogen loading, whereas the phosphorus loading remains more stable. With regard to the Ulva green tides in Brittany, one can define the concept of « coastal zone sensitive to eutrophication » as being the conjunction of a marine area having a weak hydraulic renewal and a catchment area producing stable flow rates, ensuring a constant nitrate flux from spring to summer.\n\n The monitoring of the eutrophication status classically relies on the chemical parameters betraying the\ndegree of abnormal operation of the ecosystem: dissolved oxygen and phytoplankton biomass estimated by chlorophyll a concentration. As one estimates at 5 mg/l the dissolved oxygen content below which the ecosystem begins suffering, and at 2mg/l the level that marks the entrance of the system into serious hypoxia, it is obvious that the eutrophicated plumes of the Seine and the Loire are not yet at the stage of beginning suffering; on the other hand, the Vilaine bay frequently undergoes serious but short hypoxias. As 20µg/l chlorophyll a is considered as the low threshold value for eutrophication in coastal zone, one can say that the plume of the Seine, and sometimes those of the Vilaine and the Loire show clear episodes of eutrophication; the French coastal strip in the Straits of Dover requires for its follow-up the joined chlorophyll measurement and Phaeocystis counts, because this species does not contain much chlorophyll. For macroalgae, it seems that the follow-up of the proliferating species may allow status determination on an increasing eutrophication scale. Mapping of stranded biomasses by airborne photography, or by underwater video for the subtidal zone, remains the only means of evaluating the produced biomasses each summer. Generally, the nutrient concentrations in the coastal sea represent a bad indicator of the real eutrophication status of a site. In lagoons however, specificities resulting from the strong hydrodynamic containment made it possible to propose thresholds for various nutrients in order to define 5 quality stages with respect to eutrophication.\n\n Forecasting the evolution of the eutrophication status of some coastal zones is based on the numerical models of biogeochemical cycles. The application of these models to the French Channel-Atlantic coasts shows that the reduction of phosphorus anthropic loadings, for instance in the Bay of Seine, may have caused phosphorus concentrations to be the controling factor of the spring eutrophication events in the river dilution plume. These models also reveal that significant reductions in nitrogen as well as phosphorus loadings would have only little effect on dominant diatom blooms, whereas they would provide a significant decrease in dinoflagellate blooms, which are sensitive to nitrogen loadings.\n",Institutional Archive of Ifremer (French Research Institute for Exploitation of the Sea),Alexandrium nitrogen toxin production,dinoflagellate_stx,https://openalex.org/W177769683,,,,l eutrophisation des eaux marines et saum tres en europe en particulier en france,title:l eutrophisation des eaux marines et saum tres en europe en particulier en france,,15,low_relevance_or_noise,dinoflagellate,0,0,5,0,5,,,alexandrium; alexandrium minutum; dinoflagellate; dinoflagellates; gymnodinium,,bloom; nitrate; nitrogen; nutrient; phosphorus
PubMed,41477211.0,10.3389/fmicb.2025.1655370,2025.0,"Bacterial community diversity and potential eco-physiological roles in toxigenic blooms composed of <i>Microcystis</i>, <i>Aphanizomenon</i> or <i>Planktothrix</i>.","Cyanobacterial toxicity, cyanotoxins, and their impact on aquatic ecosystems and human health are well documented. In comparison, less is known about bloom-associated bacterial communities. Co-occurring bacteria can influence bloom development, physiology and collapse, and may also provide a niche for pathogenic bacteria. Existing research focuses on the cyanosphere of <i>Microcystis</i>-dominated blooms, despite the increasing prevalence of filamentous genera (<i>Aphanizomenon</i> and <i>Planktothrix</i>). This pilot study aimed to broaden our understanding of the bacterial consortia attached to morphologically distinct cyanobacteria (coccoid and filamentous) dominating phytoplankton communities and to explore their potential roles in amplifying the impacts of cyanobacterial blooms. We investigated four shallow freshwater bodies across three continents and two climate zones: an urban pond in the USA, a dammed reservoir and a natural lake in Poland, and an urban water body in Singapore. Amplicon sequencing (16S rRNA gene) was used to characterize bacterial communities, while shotgun metagenomics identified nitrogen- and phosphorus-cycling genes to infer potential eco-physiological functions. Cyanobacteria dominated bacterioplankton assemblages at all sites (>35.6%), with bloom composition influencing toxigenic profiles. A mixed bloom of <i>Microcystis</i>, <i>Snowella</i>, and <i>Aphanizomenon</i> had the broadest range of cyanotoxin synthetase genes (<i>mcy</i>E, <i>cyr</i>J, <i>ana</i>F and <i>sxt</i>A). <i>Microcystis</i> blooms correlated with increased <i>Roseomonas</i>, while <i>Planktothrix</i> co-occurred with <i>Flavobacterium</i> - both bacteria likely contribute to nutrient-cycling within blooms and represent potential opportunistic pathogens for aquatic organisms and humans. The <i>Microcystis</i> cyanosphere exhibited the highest number of significant positive correlations with bacteria (19 relations), compared to <i>Planktothrix</i> and <i>Aphanizomenon</i> (11 and 2 relations, respectively). Non-diazotrophic blooms of <i>Microcystis</i> and <i>Planktothrix</i> showed greater abundances of nitrogen - (<i>ure</i>B, <i>gln</i>A, <i>nar</i>B, and <i>nar</i>HZ) and phosphorus-cycling genes (<i>pho</i>BHPR and <i>ppk</i>1), indicating a strong dependence on associated bacteria for nutrient acquisition compared to diazotrophic <i>Aphanizomenon</i>. These findings suggest that <i>Aphanizomenon</i>-dominated blooms may be sustained by simpler microbiomes. Our results provide preliminary evidence of cyanosphere heterogeneity potentially shaped by the dominance or coexistence of three morphologically and eco-physiologically distinct genera of cyanobacteria. A comprehensive knowledge of the taxonomy and functional roles of bloom-associated microbiomes is therefore essential to understand bloom activity, evaluate the environmental threat, and develop effective strategies for prevention and mitigation.",Frontiers in microbiology,cyanobacteria sxtA,cyanobacteria_stx,,,10.3389/fmicb.2025.1655370,41477211.0,bacterial community diversity and potential eco physiological roles in toxigenic blooms composed of microcystis aphanizomenon or planktothrix,doi:10.3389/fmicb.2025.1655370,,14,low_relevance_or_noise,cyanobacteria,0,0,0,4,6,,,,aphanizomenon; cyanobacteria; cyanobacterial; planktothrix,bloom; climate; environmental; nitrogen; nutrient; phosphorus
CrossRef,,10.3390/ijms222413332,2021.0,Biochemical Mapping of Pyrodinium bahamense Unveils Molecular Underpinnings behind Organismal Processes,"<jats:p>Proteins, lipids, and carbohydrates from the harmful algal bloom (HAB)-causing organism Pyrodinium bahamense were characterized to obtain insights into the biochemical processes in this environmentally relevant dinoflagellate. Shotgun proteomics using label-free quantitation followed by proteome mapping using the P. bahamense transcriptome and translated protein databases of Marinovum algicola, Alexandrium sp., Cylindrospermopsis raciborskii, and Symbiodinium kawagutii for annotation enabled the characterization of the proteins in P. bahamense. The highest number of annotated hits were obtained from M. algicola and highlighted the contribution of microorganisms associated with P. bahamense. Proteins involved in dimethylsulfoniopropionate (DMSP) degradation such as propionyl CoA synthethase and acryloyl-CoA reductase were identified, suggesting the DMSP cleavage pathway as the preferred route in this dinoflagellate. Most of the annotated proteins were involved in amino acid biosynthesis and carbohydrate degradation and metabolism, indicating the active roles of these molecules in the vegetative stage of P. bahamense. This characterization provides baseline information on the cellular machinery and the molecular basis of the ecophysiology of P. bahamense.</jats:p>",International Journal of Molecular Sciences,Pyrodinium bahamense saxitoxin,dinoflagellate_stx,,,10.3390/ijms222413332,,biochemical mapping of pyrodinium bahamense unveils molecular underpinnings behind organismal processes,doi:10.3390/ijms222413332,,13,low_relevance_or_noise,cross_taxa,0,0,4,1,3,,,alexandrium; dinoflagellate; pyrodinium; pyrodinium bahamense,cylindrospermopsis,bloom; hab; harmful algal bloom
OpenAlex,,10.1186/1471-2164-15-83,2014.0,Comparative genomics of Cylindrospermopsis raciborskii strains with differential toxicities,"BACKGROUND: Cylindrospermopsis raciborskii is an invasive filamentous freshwater cyanobacterium, some strains of which produce toxins. Sporadic toxicity may be the result of gene deletion events, the horizontal transfer of toxin biosynthesis gene clusters, or other genomic variables, yet the evolutionary drivers for cyanotoxin production remain a mystery. Through examining the genomes of toxic and non-toxic strains of C. raciborskii, we hoped to gain a better understanding of the degree of similarity between these strains of common geographical origin, and what the primary differences between these strains might be. Additionally, we hoped to ascertain why some cyanobacteria possess the cylindrospermopsin biosynthesis (cyr) gene cluster and produce toxin, while others do not. It has been hypothesised that toxicity or lack thereof might confer a selective advantage to cyanobacteria under certain environmental conditions. RESULTS: In order to examine the fundamental differences between toxic and non-toxic C. raciborskii strains, we sequenced the genomes of two closely related isolates, CS-506 (CYN+) and CS-509 (CYN-) sourced from different lakes in tropical Queensland, Australia. These genomes were then compared to a third (reference) genome from C. raciborskii CS-505 (CYN+). Genome sizes were similar across all three strains and their G + C contents were almost identical. At least 2,767 genes were shared among all three strains, including the taxonomically important rpoc1, ssuRNA, lsuRNA, cpcA, cpcB, nifB and nifH, which exhibited 99.8-100% nucleotide identity. Strains CS-506 and CS-509 contained at least 176 and 101 strain-specific (or non-homologous) genes, respectively, most of which were associated with DNA repair and modification, nutrient uptake and transport, or adaptive measures such as osmoregulation. However, the only significant genetic difference observed between the two strains was the presence or absence of the cylindrospermopsin biosynthesis gene cluster. Interestingly, we also identified a cryptic secondary metabolite gene cluster in strain CS-509 (CYN-) and a second cryptic cluster common to CS-509 and the reference strain, CS-505 (CYN+). CONCLUSIONS: Our results confirm that the most important factor contributing to toxicity in C. raciborskii is the presence or absence of the cyr gene cluster. We did not identify any other distally encoded genes or gene clusters that correlate with CYN production. The fact that the additional genomic differences between toxic and non-toxic strains were primarily associated with stress and adaptation genes suggests that CYN production may be linked to these physiological processes.",BMC Genomics,Raphidiopsis saxitoxin,cyanobacteria_stx,https://openalex.org/W2136131180,,10.1186/1471-2164-15-83,,comparative genomics of cylindrospermopsis raciborskii strains with differential toxicities,doi:10.1186/1471-2164-15-83,,13,low_relevance_or_noise,cyanobacteria,0,1,0,3,3,,toxin biosynthesis,,cyanobacteria; cyanobacterium; cylindrospermopsis,environmental; nutrient; stress
