collection,title,abstract,journal,year,paper_id,domain,group
PubMed,Occurrence and Diversity of Cyanotoxins and Retinoid Compounds in Antarctic Microbial Mats: Evidence From James Ross Island.,"Antarctic ecosystems, though extreme, harbour diverse microbial communities dominated by cyanobacteria, which serve as crucial primary producers. Whilst the occurrence of cyanotoxins has been extensively studied in temperate climates, limited research has focused on their presence in polar regions. In this study, we investigated the distribution and diversity of cyanotoxins across various aquatic ecosystems on James Ross Island, Antarctica. Using targeted LC-MS/MS analysis, we detected microcystins, nodularin, cylindrospermopsin, and, for the first time in the Antarctic region, the neurotoxin saxitoxin, albeit at concentrations below quantifiable levels. Our findings also reveal the widespread presence of retinoids in microbial mats, with potential endocrine-disruptive properties, marking the first report of these metabolites in Antarctic ecosystems. This study highlights the ecological importance of cyanobacterial metabolites in Antarctic environments and raises concerns about their potential effects on local wildlife and water quality, particularly in the context of climate change. The findings underscore the need for continued monitoring and molecular studies to elucidate the sources and ecological roles of cyanotoxins in polar regions.",,2026,41915567,cyanobacteria,cyano_train
PubMed,"""Algal-dromes"": a novel conceptual approach to illness in humans exposed to harmful algal bloom toxins.","Although adverse health effects from harmful algal bloom (HAB) toxins have been described since antiquity, the true worldwide incidence and disease burden has yet to be defined. This is in part due to lack of reporting and under-recognition of exposure. Furthermore, when human exposure does occur, there exists little consensus on optimal treatment strategies for specific HAB events or confirmatory laboratory testing capabilities. Current management strategies largely rely on primary prevention through public health efforts, often undertaken at the state and local level. As serious illness is rare, current management of acute algal poisoning is mostly based on expert opinion and case reporting. Despite this, known incidence of human exposure to HAB toxins is increasing due to shifting environmental conditions, rising global seafood demand, and growing population density and development along coastal and freshwater bodies. This rise in human exposures underscores the pressing public health need to address current knowledge gaps. This paper provides a comprehensive review of many of the major algal toxins (specifically ciguatoxin, saxitoxin, azaspiracid, brevetoxin, okadaic acid, dinophysistoxin, domoic acid, and cyanotoxins), the management strategies associated with suspected poisoning, and presents a novel term to describe the unique syndromes associated with their illness; ""algal-dromes.""",,2026,41908554,cyanobacteria,cyano_train
PubMed,"Human Organoids and Organ-on-Chip for Biotoxin Assessment: Applications, Best Practices, and a Translational Roadmap.","Human organoids and organ-on-chip/microphysiological systems (OoC/MPS) are increasingly used as new-approach methodologies for biotoxin assessment. They retain human-relevant tissue organization and enable interpretable analysis of exposure geometry, barrier transport, perfusion, and (when needed) multi-organ coupling. In this review, we synthesize primary evidence across major toxin classes, including bacterial enterotoxins (e.g., cholera toxin, heat-stable enterotoxins, Shiga toxins), mycotoxins (e.g., aflatoxin B1, ochratoxin A, deoxynivalenol), and algal/cyanobacterial toxins (e.g., saxitoxin, domoic acid, microcystins, biliatresone). We emphasize studies that clearly define toxin identity and exposure context and that demonstrate mechanism-critical model competencies under assay conditions. We highlight decision-informative functional endpoints that align with the dominant pathophysiology. These include cystic fibrosis transmembrane conductance regulator (CFTR)-dependent secretion in human enteroids/colonoids, transporter-linked proximal tubular injury in kidney MPS, gut-kidney axis injury from Shiga toxin-producing E. coli in microfluidic systems, and multi-electrode array (MEA) network readouts in human 3D neural tissues. We then summarize best practices that improve cross-study comparability. These include reporting delivered versus nominal exposure, assessing recovery/mass balance and device/material interactions, applying proportional biological qualification (polarity, transporter/enzymatic competence, functional stability), defining a minimal comparable endpoint core, and preserving QIVIVE readiness in reporting. Finally, we outline near-term priorities for the field, including chronic low-dose and mixture designs, harmonized reference panels and acceptance criteria, and fit-for-purpose escalation to coupled OoC/MPS only when perfusion or organ-organ coupling is expected to change the interpretation.",,2026,41893572,cyanobacteria,cyano_train
PubMed,Flexible Gold-Based Electrochemical Biosensor for Highly Sensitive Detection of Saxitoxin in Water Samples.,"Saxitoxin (STX) is a highly potent cyanobacterial toxin, posing serious risks to aquatic ecosystems and human health. Conventional methods for STX detection, such as high-performance liquid chromatography (HPLC), mass spectrometry (MS), and enzyme-linked immunosorbent assays (ELISA), are effective but costly, labor-intensive, and nonportable, motivating alternative strategies. Here, we report a flexible electrochemical biosensor fabricated via photolithography of gold electrodes on affordable polymer-based substrates for STX detection in water samples. The electrodes showed high mechanical stability, low charge transfer resistance, and an electroactive surface area 55% larger than the geometric area. Anti-STX antibodies were immobilized using a simple sodium citrate-assisted physisorption method. The biosensor response, monitored by cyclic voltammetry in phosphate-buffered solution with [Fe-(CN) 6 ] 3-/4- as the redox probe, displayed a concentration-dependent current decrease upon STX exposure. The biosensor operated within the range of 0.5-6.0 μg/L and showed a detection limit of 0.2 μg/L, which is 15 times lower than the World Health Organization (WHO) guideline value. The device exhibited high specificity, with negligible responses to microcystin-LR and cylindrospermopsin, and remained effective in mineral water samples across different pH values (6.2-10.2). This study highlights the potential of flexible, low-cost photolithographic sensors for practical monitoring of cyanotoxins in water samples, paving the way for broader applications in the detection of other environmentally relevant toxins.",,2026,41867601,cyanobacteria,cyano_train
PubMed,Expanding CyanoHAB Monitoring: New Micropeptins and Generalizable MS/MS Workflows for the Annotation of Cyanopeptide Classes.,"Cyanobacterial harmful algal blooms (cyanoHABs) are a major ecological and public health concern, commonly monitored for hepatotoxic microcystins and cylindrospermopsins and neurotoxic anatoxins and saxitoxins. However, the broader suite of bioactive metabolites produced during blooms remains under characterized. Here, we interrogated a chromatography fraction library generated from a cyanoHAB in Muskegon, Michigan. From this library, we isolated two new micropeptins ( 1 and 2 ), including an analog bearing a bishomologated tyrosine residue, and we confirmed the structure of ferintoic acid C ( 3 ). Structures were established using complementary spectrometric and spectroscopic methods. To expand chemical space coverage beyond isolated compounds, we analyzed LC-MS/MS data using the GNPS2 Analysis Hub query language for product ion searching, enabling annotation of cyanopeptide classes and class-specific modifications across the fraction set, which provided a practical and user-friendly approach for identifying cyanopeptide classes. One of the new micropeptins ( 1 ) exhibited moderate inhibition of neutrophil elastase, consistent with roles in ecological interactions and potential relevance to human exposure. Analysis of field samples from ongoing Lake Erie blooms showed recurring micropeptins but no evidence of microcystins. Together, these results challenge microcystin-centric assessments of bloom hazard and support expanded monitoring of non-microcystin cyanopeptides.",,2026,41727031,cyanobacteria,cyano_train
PubMed,Transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates.,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely unexplored. Here, we generated and analyzed the transcriptome of freshwater dinoflagellate Palatinus apiculatus and compared it with the transcriptome data from Peridinium bipes and Ceratium furcoides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apiculatus, P. bipes, and C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification. Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized biosynthetic diversity, ecological roles, and biotechnological potential.",,2026,41702991,cyanobacteria,cyano_train
PubMed,Zooplankton are adversely affected by chronic exposure to Raphidiopsis raciborskii (Cyanobacteria) and acetamiprid: A study of single and combined toxicity.,"Agriculture has expanded worldwide in recent years, with large amounts of inorganic fertilizers used, which can reach aquatic ecosystems and potentially worsen eutrophication and harmful cyanobacterial algal blooms (CyanoHABs). Additionally, the excessive use of neonicotinoid pesticides poses a significant environmental problem, impacting non-target organisms and the health of ecosystems. This study examined the chronic single and combined effects of the neonicotinoid acetamiprid and a saxitoxin-producing cyanobacterial strain (Raphidiopsis raciborskii LETC-CY-05) on survivorship and reproduction of two species of cladocerans (Daphnia similis and Daphnia laevis). In single exposures, D. similis was more affected by the cyanobacterium than by acetamiprid. In contrast, although D. laevis exhibited greater overall tolerance to both toxic agents than D. similis, this species was more sensitive to acetamiprid than to cyanobacterium. The overall toxicity was influenced by a 10-fold variation in toxin content per biomass across the different cyanobacterial cultures used in the experiments, even in treatments with lower biomass concentrations. Combined zooplankton exposure to the pesticide and toxic cyanobacterium yielded different interaction effects, ranging from antagonism to synergism on the proportion of toxicants. For D. similis, the most harmful effects were observed when the cyanobacteria:acetamiprid proportion was 1:1, while for D. laevis, this occurred at 1:1 and 2:1 proportions. These results demonstrate that the interaction between acetamiprid and cyanobacteria can lead to enhanced toxicity in zooplankton, underscoring the importance of assessing multiple stressors and their interactive effects in aquatic ecosystems, as single-exposure assessments may fail to capture the full scope of ecological risks.",,2026,41655539,cyanobacteria,cyano_train
PubMed,Linking the benthic and planktonic realms: a year survey with implications for the routine monitoring of cyanobacteria.,"Cyanobacteria produce and release secondary metabolites in waterways, challenging drinking water treatment plants. Benthic Cyanobacteria, a group of species living at the bottom of waterbodies, have been identified as potential Taste and Odour (T&O) compound and toxin producers. Following an increase in customer T&O complaints about water produced from the SA-L1 Reservoir, this study was conducted to better understand benthic cyanobacetria growth patterns and establish whether the source of detrimental metabolites was pelagic or benthic. A field-survey was performed from December 2014 to December 2015, during which physical samplers were deployed across a transect (1 m, 2 m, 6 m, and 14 m depth). Biofilm and water samples were analysed for microbial community composition, chlorophyll-a (Chl-a), nutrients, T&O and toxins and their associated genes. Seasons and sampling depths impacted benthic communities, Chl-a concentrations and biofilm growth. Spring and autumn were established as peak growth periods for benthic Cyanobacteria. Water geosmin concentrations significantly correlated with the abundance of benthic Cyanobacteria. The potential for cylindrospermopsin and saxitoxin production was detected in this reservoir. Mat detachment mid-spring contributed to T&O dispersion. Benthic Cyanobacteria are major geosmin contributors in this reservoir. The potential cylindrospermopsin-producer was demonstrated to be benthic, while the saxitoxin producer was identified as pelagic Dolichospermum circinale, which is recruited from bentic mats in spring. Utilities should consider regular monitoring of benthic mats, which provides the necessary evidence to better anticipate benthic and pelagic events, to in turn provide safe and palatable drinking water.",,2026,41604202,cyanobacteria,cyano_train
PubMed,Artificial Intelligence (AI) in Saxitoxin Research: The Next Frontier for Understanding Marine Dinoflagellate Toxin Biosynthesis and Evolution.,"Saxitoxin (STX) is one of the most potent marine neurotoxins, produced by several species of freshwater cyanobacteria and marine dinoflagellates. Although omics-based approaches have advanced our understanding of STX biosynthesis in recent decades, the origin, regulation, and ecological drivers of STX in dinoflagellates remain poorly resolved. Specifically, dinoflagellate STX biosynthetic genes ( sxt ) are extremely fragmented, inconsistently expressed, and unevenly distributed between toxic and non-toxic taxa. Environmental studies further report inconsistent relationships between abiotic factors and STX production, suggesting regulation across multiple genomic, transcriptional, post-transcriptional, and epigenetic levels. These gaps prevent a comprehensive understanding of STX biosynthesis in dinoflagellates and limit the development of accurate predictive models for harmful algal blooms (HABs) and paralytic shellfish poisoning (PSP). Artificial intelligence (AI), including machine learning and deep learning, offers new opportunities in ecological pattern recognition, molecular annotation, and data-driven prediction. This review explores the current state of knowledge and persistent knowledge gaps in dinoflagellate STX research and proposes an AI-integrated multi-omics framework highlighting recommended models for sxt gene identification (e.g., DeepFRI, ProtTrans, ESM-2), evolutionary reconstruction (e.g., PhyloGAN, GNN, PhyloVAE, NeuralNJ), molecular regulation (e.g., MOFA+, LSTM, GRU, DeepMF), and toxin prediction (e.g., XGBoost, LightGBM, LSTM, ConvLSTM). By integrating AI with diverse biological datasets, this novel framework outlines how AI can advance fundamental understanding of STX biosynthesis and inform future applications in HAB monitoring, seafood safety, and PSP risk management in aquaculture and fisheries.",,2026,41591172,cyanobacteria,cyano_train
PubMed,Conductive polymer-based electrochemical aptasensor for sensitive detection of cylindrospermopsin in water resources.,"Increasing environmental pollution and climate change intensify the occurrence of harmful cyanobacterial blooms. These blooms release cyanotoxins, such as cylindrospermopsin ( CYN ), a hepatotoxic compound that threatens freshwater ecosystems, ecological stability, and human health. Addressing this challenge requires effective monitoring strategies aligned with the United Nations Sustainable Development Goal 6 (Clean Water and Sanitation). In this study, pencil graphite electrode ( PGE ) and conductive polymer based electrochemical aptasensor systems were developed for the selective and sensitive detection of CYN in both laboratory (deionized water) and environmental (lake water) samples. The proposed sensors provide low-cost, rapid, and reliable analytical platforms for environmental monitoring and sustainable water management. Poly(3,4-ethylenedioxythiophene) ( PEDOT ), and polypyrrole ( PPy ) were electropolymerized onto PGEs to enhance conductivity and provide effective CYN-specific aptamer ( cynApt ) immobilization. The surface morphologies and elemental compositions of bare PGE, PGE/PEDOT, and PGE/PPy were characterized by scanning electron microscopy/energy-dispersive X-ray spectroscopy ( SEM/EDX ), while their electrochemical properties were systematically evaluated using cyclic voltammetry ( CV ) and electrochemical impedance spectroscopy ( EIS ). Functional groups formed after polymer deposition and subsequent aptamer immobilization were analyzed using Fourier transform infrared ( FT-IR ) spectroscopy. The first system, PGE/PEDOT/cynApt , achieved detection limits of 0.23 ± 0.005 ng mL -1 (0.55 ± 0.013 nM) and 0.27 ± 0.008 ng mL -1 (0.65 ± 0.018 nM) for CYN in deionized and lake water, respectively, using CV. The second system, PGE/PPy/cynApt , exhibited superior performance, reaching detection limits of 0.18 ± 0.005 ng mL -1 (0.43 ± 0.012 nM) in deionized water and 0.24 ± 0.009 ng mL -1 (0.58 ± 0.022 nM) in lake water, respectively, using EIS. Conductive polymer modifications, with PEDOT and PPy, significantly enhanced the analytical response. Both platforms exhibited high selectivity toward CYN over other environmentally relevant cyanobacterial toxins, including okadaic acid (OA), saxitoxin (STX), and anatoxin-a (ATX-a), which are known to co-occur with CYN in freshwater blooms. In addition, the developed aptasensors retained their functional performance over a 7-day storage period, indicating suitable stability for practical use. This practical approach for the early detection of CYN in aquatic environments contributes to the prevention of water-related health risks and supports sustainable agricultural practices.",,2026,41532809,cyanobacteria,cyano_train
