source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key,url,relevance_score,relevance_class,taxon_scope,stx_term_count,gene_term_count,dinoflagellate_term_count,cyanobacteria_term_count,environment_term_count,matched_stx_terms,matched_gene_terms,matched_dinoflagellate_terms,matched_cyanobacteria_terms,matched_environment_terms
PubMed,38705616.0,10.1016/j.hal.2024.102620,2024.0,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.,"The marine dinoflagellate Alexandrium is known to form harmful algal blooms, and at least 14 species within the genus can produce saxitoxins (STXs). STX biosynthesis genes (sxt) are individually revealed in toxic dinoflagellates; however, the evolutionary history remains controversial. Herein, we determined the transcriptome sequences of toxic Alexandrium (A. catenella and A. pacificum) and non-toxic Alexandrium (A. fraterculus and A. fragae) and characterized their sxt by focusing on evolutionary events and STX production. Comparative transcriptome analysis revealed higher homology of the sxt in toxic Alexandrium than in non-toxic species. Notably, non-toxic Alexandrium spp. were found to have lost two sxt core genes, namely sxtA4 and sxtG. Expression levels of 28 transcripts related to eight sxt core genes showed that sxtA, sxtG, and sxtI were relatively high (>1.5) in the toxic group compared to the non-toxic group. In contrast, the non-toxic group showed high expression levels in sxtU (1.9) and sxtD (1.7). Phylogenetic tree comparisons revealed distinct evolutionary patterns between 28S rDNA and sxtA, sxtB, sxtI, sxtD, and sxtU. However, similar topology was observed between 28S rDNA, sxtS, and sxtH/T. In the sxtB and sxtI phylogeny trees, toxic Alexandrium and cyanobacteria were clustered together, separating from non-toxic species. These suggest that Alexandrium may acquire sxt genes independently via horizontal gene transfer from toxic cyanobacteria and other multiple sources, demonstrating monocistronic transcripts of sxt in dinoflagellates.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2024.102620,38705616.0,polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate alexandrium revealed by comparative transcriptomics,doi:10.1016/j.hal.2024.102620,,61,high_confidence_stx_biosynthesis,cross_taxa,3,11,3,1,0,saxitoxin; saxitoxins; stx,saxitoxin biosynthesis; sxt genes; sxta; sxta4; sxtb; sxtd; sxtg; sxth; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates,cyanobacteria,
PubMed,40449983.0,10.1016/j.hal.2025.102872,2025.0,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.,"The marine dinoflagellate Gymnodinium catenatum is known to produce saxitoxins (STXs) that are responsible for paralytic shellfish poisoning (PSP); however, the genes involved in STX synthesis are insufficiently understood. In the present study, we determined transcriptome sequences of toxic G. catenatum isolated from Korea (Gc-KR) and compared them with G. catenatum strains reported in other regions such as Spain (Gc-SP) and the United States (Gc-US). Toxin analysis showed that the Korean strain produced the toxins at 6.0 ± 1.9 STXs eq fmol/cell. Comparative transcriptomics of the three strains identified more than 1000 homologs of nearly all STXs biosynthesis genes in dinoflagellates, except sxtB, sxtN, and sxtY. Gene expression analysis revealed similar sxt expression patterns across all strains, with the highest expression levels observed for sxtA and sxtG. Phylogenetic analysis of sxtA, sxtG, sxtI, sxtU, and sxtS revealed distinct evolutionary patterns, with sxtA being more conserved across G. catenatum, Alexandrium spp., and toxic cyanobacteria, particularly at the sxtA4 domain, suggesting its significance in STXs synthesis. Other sxt genes in G. catenatum showed distinct patterns and significant divergence from Alexandrium spp., suggesting independent acquisition in G. catenatum. Moreover, the absence of core genes, such as sxtB, indicates it may not be essential for STXs production in G. catenatum. These findings provide insight into the sxt candidate genes in G. catenatum, enhancing our understanding of STXs biosynthesis in dinoflagellates.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2025.102872,40449983.0,transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate gymnodinium catenatum,doi:10.1016/j.hal.2025.102872,,60,high_confidence_stx_biosynthesis,cross_taxa,4,9,5,1,0,paralytic shellfish poisoning; saxitoxin; saxitoxins; stx,saxitoxin biosynthesis; sxt genes; sxta; sxta4; sxtb; sxtg; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates; gymnodinium; gymnodinium catenatum,cyanobacteria,
OpenAlex,,,2016.0,Gene expression in the biosynthesis of Paralytic Shellfish Poisoning (PSP) toxins in dinoflagellates: a mini review,"Some dinoflagellates are known to synthesize saxitoxin (STX), a potent neurotoxin that causes severe paralytic shellfish poisoning (PSP). In addition, several freshwater species of cyanobacteria also synthesize the same toxin with the same biosynthetic pathway and genes responsible. This review focuses on the gene expression involved in the biosynthesis pathway of PSP toxins in dinoflagellates. The expression of the PSP biosynthetic genes have been identified in certain cyanobacteria and the dinoflagellate Alexandrium sp. with eight genes involved viz. sxtA, sxtB, sxtD, sxtG, sxtH/T, sxtI, sxtS and sxtU. sxtA, a unique starting gene, and sxtG, the second “core” gene appearing in the biosynthesis of PSP toxins are found in both cyanobacteria and Alexandrium sp. Three theories have been proposed to explain the origin of PSP toxin in dinoflagellates: I) the genes are produced by bacteria associated with the dinoflagellates, II) independent evolution III) horizontal gene transfer between cyanobacteria and dinoflagellates. Useful information regarding the expression and function of genes involved in the STX biosynthesis pathway provides an understanding of toxin production and possible mitigation and public health management of STX poisoning.",UMS Institutional Repository (Universiti Malaysia Sabah),paralytic shellfish toxins dinoflagellate,dinoflagellate_stx,https://openalex.org/W2561709494,,,,gene expression in the biosynthesis of paralytic shellfish poisoning psp toxins in dinoflagellates a mini review,title:gene expression in the biosynthesis of paralytic shellfish poisoning psp toxins in dinoflagellates a mini review,,49,high_confidence_stx_biosynthesis,cross_taxa,3,8,3,1,0,paralytic shellfish poisoning; saxitoxin; stx,sxta; sxtb; sxtd; sxtg; sxth; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates,cyanobacteria,
CrossRef,,10.64898/2026.03.24.713948,,Paralytic Shellfish Toxin production in Alexandrium minutum (Dinophyceae): insights from omics integration using toxigenic and non-toxigenic recombinant progeny,"<jats:p>Paralytic Shellfish Toxins (PSTs) are produced by certain species of cyanobacteria and dinoflagellates. Part of the PST biosynthetic pathway has been elucidated in cyanobacteria, and the implication of some sxt genes has been confirmed by experimental studies. Contrary to cyanobacteria, knowledge about PST biosynthesis in dinoflagellates is more limited and generally restricted to comparative studies with the cyanobacterial pathway. To investigate the specificity of the PST pathway in dinoflagellates, 16 toxic and non-toxic A. minutum strains from a recombinant cross were compared, without prior assumption on genes or metabolites involved in PST synthesis, using an integrative approach combining untargeted metabolomic and transcriptomic data. Among the 60 most distinguishing transcripts between toxic and non-toxic strains, only 3 sxt genes were present, sxtA4, sxtG, and sxtI. In contrast, non-sxt homologs were detected as highly discriminant between these two phenotypes. More specifically, a phyH homolog may act as the analog of sxtS found in cyanobacteria. Moreover, we identified four putative synthetic PST intermediates. Among these, Int-C'2, correlated with the toxic phenotype, whereas 3 others were detected in both toxic and non-toxic strains, suggesting that these strains may share some parts of the biosynthetic pathway. Finally, our results showed that PST biosynthesis in dinoflagellate results from the activity of sxt genes, acquired by horizontal gene transfer from cyanobacteria, as well as from other genes not acquired from cyanobacteria, such as phyH.</jats:p>",,Alexandrium nitrogen toxin production,dinoflagellate_stx,,,10.64898/2026.03.24.713948,,paralytic shellfish toxin production in alexandrium minutum dinophyceae insights from omics integration using toxigenic and non toxigenic recombinant progeny,doi:10.64898/2026.03.24.713948,,44,high_confidence_stx_biosynthesis,cross_taxa,4,5,4,2,0,paralytic shellfish toxin; paralytic shellfish toxins; pst; psts,sxt genes; sxta4; sxtg; sxti; sxts,alexandrium; alexandrium minutum; dinoflagellate; dinoflagellates,cyanobacteria; cyanobacterial,
PubMed,20714432.0,10.3390/md8072185,2010.0,Neurotoxic alkaloids: saxitoxin and its analogs.,"Saxitoxin (STX) and its 57 analogs are a broad group of natural neurotoxic alkaloids, commonly known as the paralytic shellfish toxins (PSTs). PSTs are the causative agents of paralytic shellfish poisoning (PSP) and are mostly associated with marine dinoflagellates (eukaryotes) and freshwater cyanobacteria (prokaryotes), which form extensive blooms around the world. PST producing dinoflagellates belong to the genera Alexandrium, Gymnodinium and Pyrodinium whilst production has been identified in several cyanobacterial genera including Anabaena, Cylindrospermopsis, Aphanizomenon Planktothrix and Lyngbya. STX and its analogs can be structurally classified into several classes such as non-sulfated, mono-sulfated, di-sulfated, decarbamoylated and the recently discovered hydrophobic analogs--each with varying levels of toxicity. Biotransformation of the PSTs into other PST analogs has been identified within marine invertebrates, humans and bacteria. An improved understanding of PST transformation into less toxic analogs and degradation, both chemically or enzymatically, will be important for the development of methods for the detoxification of contaminated water supplies and of shellfish destined for consumption. Some PSTs also have demonstrated pharmaceutical potential as a long-term anesthetic in the treatment of anal fissures and for chronic tension-type headache. The recent elucidation of the saxitoxin biosynthetic gene cluster in cyanobacteria and the identification of new PST analogs will present opportunities to further explore the pharmaceutical potential of these intriguing alkaloids.",Marine drugs,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.3390/md8072185,20714432.0,neurotoxic alkaloids saxitoxin and its analogs,doi:10.3390/md8072185,,44,high_confidence_stx_biosynthesis,cross_taxa,6,1,4,7,0,paralytic shellfish poisoning; paralytic shellfish toxins; pst; psts; saxitoxin; stx,saxitoxin biosynthetic,alexandrium; dinoflagellates; gymnodinium; pyrodinium,anabaena; aphanizomenon; cyanobacteria; cyanobacterial; cylindrospermopsis; lyngbya; planktothrix,
PubMed,28073499.0,10.1016/j.hal.2016.04.005,2016.0,Physiological and transcriptional responses to inorganic nutrition in a tropical Pacific strain of Alexandrium minutum: Implications for the saxitoxin genes and toxin production.,"Saxitoxins (STXs) constitute a family of potent sodium channel blocking toxins, causative agents of paralytic shellfish poisoning (PSP), and are produced by several species of marine dinoflagellates and cyanobacteria. Two STX-core genes, sxtA and sxtG, have been well elucidated in Alexandrium but the expression of these genes under various nutritional modes in tropical species remains unclear. This study investigates the physiological responses of a tropical Pacific strain of Alexandrium minutum growing with nitrate or ammonium, and with various nitrogen to phosphorus (N:P) supply ratios. The transcriptional responses of the sxt genes were observed. Likewise, a putative sxtI encoding O-carbamoyltransferase (herein designated as AmsxtI) was recovered from the transcriptomic data, and its expression was investigated. The results revealed that the cellular toxin quota (Q<sub>t</sub>) was higher in P-depleted, nitrate-grown cultures. With cultures at similar N:P (<16), cells grown with excess ammonium showed a higher Q<sub>t</sub> than those grown with nitrate. sxtA1 was not expressed under any culture conditions, suggesting that this gene might not be involved in STX biosynthesis by this strain. Conversely, sxtA4 and sxtG showed positive correlations with Q<sub>t</sub>, and were up-regulated in P-depleted, nitrate-grown cultures and with excess ambient ammonium. On the other hand, AmsxtI was expressed only when induced by P-depletion, suggesting that this gene may play an important role in P-recycling metabolism, while simultaneously enhancing toxin production.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2016.04.005,28073499.0,physiological and transcriptional responses to inorganic nutrition in a tropical pacific strain of alexandrium minutum implications for the saxitoxin genes and toxin production,doi:10.1016/j.hal.2016.04.005,,43,high_confidence_stx_biosynthesis,cross_taxa,4,5,3,1,3,paralytic shellfish poisoning; saxitoxin; saxitoxins; stx,sxt genes; sxta; sxta4; sxtg; sxti,alexandrium; alexandrium minutum; dinoflagellates,cyanobacteria,nitrate; nitrogen; phosphorus
PubMed,41702991.0,10.1038/s41598-026-40315-x,2026.0,Transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates.,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely unexplored. Here, we generated and analyzed the transcriptome of freshwater dinoflagellate Palatinus apiculatus and compared it with the transcriptome data from Peridinium bipes and Ceratium furcoides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apiculatus, P. bipes, and C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification. Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized biosynthetic diversity, ecological roles, and biotechnological potential.",Scientific reports,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1038/s41598-026-40315-x,41702991.0,transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates,doi:10.1038/s41598-026-40315-x,,40,high_confidence_stx_biosynthesis,cross_taxa,2,7,2,1,0,saxitoxin; stx,sxta4; sxtd; sxth; sxti; sxts; sxtu; toxin biosynthesis,dinoflagellate; dinoflagellates,cyanobacteria,
PubMed,28604648.0,10.3390/toxins9060190,2017.0,"Prevalence, Variability and Bioconcentration of Saxitoxin-Group in Different Marine Species Present in the Food Chain.","The saxitoxin-group (STX-group) corresponds to toxic metabolites produced by cyanobacteria and dinoflagellates of the genera <i>Alexandrium, Gymnodinium</i>, and <i>Pyrodinium</i>. Over the last decade, it has been possible to extrapolate the areas contaminated with the STX-group worldwide, including Chile, a phenomenon that has affected ≈35% of the Southern Pacific coast territory, generating a high economic impact. The objective of this research was to study the toxicity of the STX-group in all aquatic organisms (bivalves, algae, echinoderms, crustaceans, tunicates, cephalopods, gastropods, and fish) present in areas with a variable presence of harmful algal blooms (HABs). Then, the toxic profiles of each species and dose of STX equivalents ingested by a 60 kg person from 400 g of shellfish were determined to establish the health risk assessment. The toxins with the highest prevalence detected were gonyautoxin-4/1 (GTX4/GTX1), gonyautoxin-3/2 (GTX3/GTX2), neosaxitoxin (neoSTX), decarbamoylsaxitoxin (dcSTX), and saxitoxin (STX), with average concentrations of 400, 2800, 280, 200, and 2000 µg kg<sup>-1</sup> respectively, a species-specific variability, dependent on the evaluated tissue, which demonstrates the biotransformation of the analogues in the trophic transfer with a predominance of α-epimers in all toxic profiles. The identification in multiple vectors, as well as in unregulated species, suggests that a risk assessment and risk management update are required; also, chemical and specific analyses for the detection of all analogues associated with the STX-group need to be established.",Toxins,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.3390/toxins9060190,28604648.0,prevalence variability and bioconcentration of saxitoxin group in different marine species present in the food chain,doi:10.3390/toxins9060190,,40,dinoflagellate_stx,cross_taxa,10,0,4,1,0,dcstx; decarbamoylsaxitoxin; gonyautoxin; gtx1; gtx2; gtx3; gtx4; neosaxitoxin; saxitoxin; stx,,alexandrium; dinoflagellates; gymnodinium; pyrodinium,cyanobacteria,
OpenAlex,,,2017.0,Transcriptional and Physiological Responses of Genes Related to Nutrient Uptakes and Toxin Production of Alexandrium minutum (Dinophyceae) in Malaysia Waters,"Saxitoxins (STXs) is a family of potent sodium channel blocking toxins, also causative agents of paralytic shellfish poisoning (PSP) that is produced by several species of marine dinoflagellates and cyanobacteria. Two STX-core genes (sxt), sxtA and sxtG have been well elucidated in Alexandrium but the expression of these genes under various nutritional modes in tropical species remained unclear. The nutrient fluxes and the bloom of Alexandrium have also been intensively studied but the genetically nutrient regulation mechanisms in nutrient uptakes on this genus are still unknown. This study aims to investigate the physiological responses of the tropical Pacific strains of A. minutum in nitrate- or ammonium-grown culture conditions, and with various nitrogen to phosphorus supply ratios (N:P). The transcriptional responses of the sxt, nutrient transporters and assimilation genes were observed. Likewise, a putative sxtI encoding Ocarbamoyltransferase (herein designated as AmsxtI) was recovered from the transcriptomic data, and the relative expression was investigated. The results have revealed that the cellular toxin quota (Qt) was higher in P-deficient nitrate-grown cultures. Between cultures grown at similar N: P (<16), cells grown in excess ammonium showed higher Qt than that of the nitrate-grown cultures. sxtA1 was not expressed in the culture conditions suggesting that the gene might not be involved in STX biosynthesis of this strain. Conversely, sxtA4 and sxtG showed positive correlations with Qt, and up-regulated at P-deficient nitrategrown cultures and excess ammonium environment. On the other hand, relative expression of AmsxtI was induced only at P-deficient environment suggesting that it may play an important role in the P-recycling metabolism and simultaneously enhances the toxin production. Conversely, the A. minutum novel high affinity nitrate, ammonium and phosphate transporter genes (AmNrt2, AmAmt1 and AmPiPT1); as well as assimilation genes, cytosol nitrate reductase (AmNas), mitochondria glutamine syntheses (AmGSIII) and pyrimidine syntheses carbamoyl phosphate syntheses (AmCPSII) were assembled by the Sequence Read Archive (SRA) dataset. AmAmt1 was suppressed in excess ammoniumgrown, but not for AmNrt2 and AmNas, suggesting that the nitrate uptake was preferred in this species. AmAmt1, AmNrt2, AmNas, AmGSIII, AmCPSII and AmPiPT1 were highly expressed in P-deficient environment showing that A. minutum is likely to be able to take up nutrients for growth under P-stress condition. Relative expression of AmCPSII was incongruent with the cells growth, but it was well correlated with Qt, postulating that the gene might involve in arginine metabolism and concurrently related to toxin production. Besides that, the AmGSIII expression in this study has found that the SXT production of the cells also is a manner to detoxify or release excess ammonium environment stress. The gene regulation of this study has provided better insights into the eco-physiology of A. minutum in relation to the toxin production and its adaptative strategies in the unfavourable environment. This will be an advantageous for the future harmful algae blooms (HABs) monitoring.",Unimas Institutional Repository (Universiti Malaysia Sarawak),Alexandrium sxtA,dinoflagellate_stx,https://openalex.org/W2953585598,,,,transcriptional and physiological responses of genes related to nutrient uptakes and toxin production of alexandrium minutum dinophyceae in malaysia waters,title:transcriptional and physiological responses of genes related to nutrient uptakes and toxin production of alexandrium minutum dinophyceae in malaysia waters,,40,high_confidence_stx_biosynthesis,cross_taxa,3,4,3,1,7,paralytic shellfish poisoning; saxitoxins; stx,sxta; sxta4; sxtg; sxti,alexandrium; alexandrium minutum; dinoflagellates,cyanobacteria,bloom; nitrate; nitrogen; nutrient; phosphate; phosphorus; stress
OpenAlex,,,2012.0,"Molecular characterization of the its2 transcript and saxitoxin biosynthetic genes in two toxic dinoflagellates, alexandrium (dinophyceae) from Malaysia","The genus Alexandrium is a widely distributed dinoflagellate, and has the ability to produce potent neurotoxins, saxitoxin (STX). Taxonomy of this genus still remains uncertain and species identification is yet confusing. In this study, the second internal transcribed spacer (ITS2) transcript was used to infer the phylogenetic relationships of Alexandrium species distributed worldwide. A total of 33 ITS2 transcript of Alexandrium spp. were successfully modeled in silico, with one each from Pyrodinium bahamense var. compressum, Coolia malayensis and C. monotis as outgroup) The models showed conserved four universal helices of ITS2 transcript. The phylogenetic inference based on sequence-structural information revealed nearly similar phylogenetic framework as inferred in the Large Subunit (LSU) rDNA phylogeny. However, the results showed possible phylogeographic break in the A. minutum Glade where the Asia Pacific and New Zealand A. minutum formed a distant group from the Australian and European group. Genetics of the STX biosynthesis pathway has recently become one of the major focuses in Paralytic Shellfish Poisoning (PSP) toxin-related studies after the discovery of STX biosynethetic genes in toxic cyanobacteria, and later in the toxic dinoflagellates. In the present study, two domains of a saxitoxin biosynthetic gene sxtA, S-adenosyl-L-methionine (SAM)-dependent methyltransferase coding gene (sxtA1) and the class 11 aminotransferase coding gene (sxtA4) were characterized from a toxic A. tamiyavanichii from Samariang, Sarawak. A saxitoxin biosynthetic gene encoding the O-carbamoyltransferase (sxtl) was also characterized in the toxic A. minutum from Tumpat, Kelantan. The partial coding sequences of saxitoxin starting gene, sxtAl and sxtA4 of A. tamiyavanichii were 432 bp and 639 bp, respectively. While the deduced amino acid sequences of sxtAl and sxtA4 were 144 and 213 amino acid residues, respectively. Sequences comparison revealed high similarity and identity to other PSP toxins-producing dinoflagellates (82-98% and 84-99%). In contrast, protein phylogenetic analyses revealed close relationship of both A. tamiyavanichii sxtA1 and sxtA4 to others PSP toxins-producing dinoflagellates, with sxtA of PSP toxins-producing cyanobacteria and putative toxin-related genes forming the sister Glade. On the other hand, the coding sequence of O-carbamoyltransferase (sxtl) of A. minutum was 1,920 bp long, and the deduced amino acid sequence revealed a polypeptide of 639 amino acids. Structural sequence alignment revealed high similarity and identity (50-52% and 87- 89%) to sxd from the toxic cyanobacteria. Sequence comparison of A. minutum sxtl revealed highly conserved pattern, with five phosphorylation motifs, two catalytic regions, and a zinc finger detected. Even though homology between A. minutum sxtl and other cyanobacterial sxtl was observed, protein phylogenetic analysis inferred a distant relationship with the cyanobacterial Sxtl, suggesting a paralog of SxtI in dinoflagellates.",Unimas Institutional Repository (Universiti Malaysia Sarawak),Alexandrium sxtA,dinoflagellate_stx,https://openalex.org/W2590735231,,,,molecular characterization of the its2 transcript and saxitoxin biosynthetic genes in two toxic dinoflagellates alexandrium dinophyceae from malaysia,title:molecular characterization of the its2 transcript and saxitoxin biosynthetic genes in two toxic dinoflagellates alexandrium dinophyceae from malaysia,,39,high_confidence_stx_biosynthesis,cross_taxa,3,4,5,2,0,paralytic shellfish poisoning; saxitoxin; stx,saxitoxin biosynthetic; sxta; sxta4; sxti,alexandrium; dinoflagellate; dinoflagellates; pyrodinium; pyrodinium bahamense,cyanobacteria; cyanobacterial,
