source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471203076.emm0868,2002.0,Saxitoxin,,Wiley Encyclopedia of Molecular Medicine,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/0471203076.emm0868,,saxitoxin,doi:10.1002/0471203076.emm0868
CrossRef,,10.1002/0471701343.sdp22259,2004.0,Saxitoxin Dihydrochloride 35554‐08‐6,,Sax's Dangerous Properties of Industrial Materials,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/0471701343.sdp22259,,saxitoxin dihydrochloride 35554 08 6,doi:10.1002/0471701343.sdp22259
CrossRef,,10.1002/0471701343.sdp22260,2004.0,Saxitoxin Hydrate 35523‐89‐8,,Sax's Dangerous Properties of Industrial Materials,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/0471701343.sdp22260,,saxitoxin hydrate 35523 89 8,doi:10.1002/0471701343.sdp22260
OpenAlex,,10.1002/1522-7189(199911/12)7:6<393::aid-nt82>3.0.co;2-c,1999.0,A receptor binding assay for paralytic shellfish poisoning toxins: recent advances and applications,"We recently described a high throughput receptor binding assay for paralytic shellfish poisoning (PSP) toxins, the use of the assay for detecting toxic activity in shellfish and algal extracts, and the validation of 11-[3H]-tetrodotoxin as an alternative radioligand to the [3H]-saxitoxin conventionally employed in the assay. Here, we report a dramatic increase in assay efficiency through application of microplate scintillation technology, resulting in an assay turn around time of 4 h. Efforts are now focused on demonstrating the range of applications for which this receptor assay can provide data comparable to the more time consuming, technically demanding HPLC analysis of PSP toxins, currently the method of choice for researchers. To date, we have compared the results of both methods for a variety of sample types, including different genera of PSP toxin producing dinoflagellates (e.g. Alexandrium lusitanicum, r2 = 0.9834, n = 12), size-fractioned field samples of Alexandrium spp. (20-64 microm; r2 = 0.9997, n = 10) as well as its associated zooplankton grazer community (200-500 microm: r2 = 0.6169, n = 10; >500 microm: r2 = 0.5063, n = 10), and contaminated human fluids (r2 = 0.9661, n = 7) from a PSP outbreak. Receptor-based STX equivalent values for all but the zooplankton samples were highly correlated and exhibited close quantitative agreement with those produced by HPLC. While the PSP receptor binding assay does not provide information on toxin composition obtainable by HPLC, it does represent a robust and reliable means of rapidly assessing PSP-like toxicity in laboratory and field samples. Moreover, this assay should be effective as a screening tool for use by public health officials in responding to suspected cases of PSP intoxication.",Natural Toxins,Alexandrium saxitoxin,dinoflagellate_stx,https://openalex.org/W1964713947,,10.1002/1522-7189(199911/12)7:6<393::aid-nt82>3.0.co;2-c,,a receptor binding assay for paralytic shellfish poisoning toxins recent advances and applications,doi:10.1002/1522-7189(199911/12)7:6<393::aid-nt82>3.0.co;2-c
CrossRef,,10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q,1999.0,Coupling of saxitoxin biosynthesis to the G1 phase of the cell cycle in the dinoflagellateAlexandrin fundyense: temperature and nutrient effects,,Natural Toxins,saxitoxin biosynthesis genes dinoflagellate,dinoflagellate_stx,,,10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q,,coupling of saxitoxin biosynthesis to the g1 phase of the cell cycle in the dinoflagellatealexandrin fundyense temperature and nutrient effects,doi:10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q
OpenAlex,,10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q,1999.0,Coupling of saxitoxin biosynthesis to the G1 phase of the cell cycle in the dinoflagellateAlexandrin fundyense: temperature and nutrient effects,"The correlation between changes in length of the different cell cycle stages and the toxicity of Alexandrium fundyense Balech was studied in semi-continuous cultures. Growth rates ranging from 0.031 d(-1) to 0.36 d(-1) were established at different temperatures or levels of phosphate limitation. In all treatments, G1 was the phase with the longest duration. Decrease in growth rate was associated with an increase in duration of the different cell cycle stages. Toxin content was always directly correlated to the duration of the G1 phase. In both the temperature treatments and the phosphate limitation experiments, toxin production rates remained constant for the respective range of conditions, implying that the variations in toxin content observed were a result of increasing periods of biosynthetic activity. Toxin accumulation was directly correlated to protein biosynthesis in all temperature treatments. In contrast, toxin content showed little correlation with protein content as phosphate limitation increased. Significant differences in toxin composition were observed between the temperature and phosphate treatments. Total concentrations of GTX II and III and C I and II were significantly higher in the phosphate-limited cultures, while the levels of STX, NEO and gonyautoxins I and IV remained virtually unchanged. We conclude that toxin biosynthesis in A. fundyense is coupled to the G1 phase of the cell cycle, that toxin synthesis is not down-regulated by phosphate deprivation and that interconversions among saxitoxin derivatives are influenced by the availability of phosphate.",Natural Toxins,Alexandrium temperature saxitoxin,dinoflagellate_stx,https://openalex.org/W1972248559,,10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q,,coupling of saxitoxin biosynthesis to the g1 phase of the cell cycle in the dinoflagellatealexandrin fundyense temperature and nutrient effects,doi:10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q
CrossRef,,10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q,1999.0,Coupling of saxitoxin biosynthesis to the G1 phase of the cell cycle in the dinoflagellateAlexandrin fundyense: temperature and nutrient effects,,Natural Toxins,Alexandrium temperature saxitoxin,dinoflagellate_stx,,,10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q,,coupling of saxitoxin biosynthesis to the g1 phase of the cell cycle in the dinoflagellatealexandrin fundyense temperature and nutrient effects,doi:10.1002/1522-7189(200009/10)7:5<207::aid-nt61>3.0.co;2-q
CrossRef,,10.1002/9780470114735.hawley14282,2007.0,Saxitoxin,,Hawley's Condensed Chemical Dictionary,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1002/9780470114735.hawley14282,,saxitoxin,doi:10.1002/9780470114735.hawley14282
CrossRef,,10.1002/9780470114735.hawley14282,2007.0,Saxitoxin,,Hawley's Condensed Chemical Dictionary,Alexandrium temperature saxitoxin,dinoflagellate_stx,,,10.1002/9780470114735.hawley14282,,saxitoxin,doi:10.1002/9780470114735.hawley14282
CrossRef,,10.1002/9780470114735.hawley14282,2007.0,Saxitoxin,,Hawley's Condensed Chemical Dictionary,Alexandrium transcriptome saxitoxin,dinoflagellate_stx,,,10.1002/9780470114735.hawley14282,,saxitoxin,doi:10.1002/9780470114735.hawley14282
CrossRef,,10.1002/9780470114735.hawley14282,2007.0,Saxitoxin,,Hawley's Condensed Chemical Dictionary,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/9780470114735.hawley14282,,saxitoxin,doi:10.1002/9780470114735.hawley14282
OpenAlex,,10.1002/asia.202400834,2024.0,Synthesis of Saxitoxin Biosynthetic Intermediates: Reveal the Mechanism for Formation of its Tricyclic Skeleton in Biosynthesis,"The synthesis and biosynthesis of the complex saxitoxin (STX) structure have garnered significant interest. Previously, we hypothesized that the tricyclic skeleton of STX originates from the monocyclic precursor 11-hydroxy-IntC'2 during biosynthesis, although direct evidence has been lacking. In this study, we identified conditions to synthesize a proposed tricyclic biosynthetic intermediate, 12,12-dideoxy-decarbamoyloxySTX (dd-doSTX), along with its 6-epimer (6-epi-dd-doSTX) and a bicyclic compound, in a single step from di-Boc protected 11-hydroxy-IntC'2. The reaction mechanism involves successive aza-Michael addition of a guanidino amine to the conjugated olefin. Notably, both dd-doSTX and 6-epi-dd-doSTX were detected in a toxin-producing cyanobacterium, suggesting that the biosynthetic enzymes may generate these compounds via similar mechanisms.",Chemistry - An Asian Journal,Alexandrium sxtG,dinoflagellate_stx,https://openalex.org/W4402711389,,10.1002/asia.202400834,,synthesis of saxitoxin biosynthetic intermediates reveal the mechanism for formation of its tricyclic skeleton in biosynthesis,doi:10.1002/asia.202400834
