paper_id,year,group,source,entity_text,entity_normalized,entity_type,relation_hint,start,end,context,entity_original_before_strict_norm
41915567,2026.0,cyano_train,abstract,cyanobacteria,cyanobacteria,TAXON_GROUP,,89,102,"Antarctic ecosystems, though extreme, harbour diverse microbial communities dominated by cyanobacteria, which serve as crucial primary producers. Whilst the occurrence of cyanotoxins has been extensivel",cyanobacteria
41915567,2026.0,cyano_train,abstract,cyanobacterial,cyanobacteria,TAXON_GROUP,,914,928,rt of these metabolites in Antarctic ecosystems. This study highlights the ecological importance of cyanobacterial metabolites in Antarctic environments and raises concerns about their potential effects on local wi,cyanobacterial
41915567,2026.0,cyano_train,abstract,saxitoxin,saxitoxin,TOXIN,,600,609,"ins, nodularin, cylindrospermopsin, and, for the first time in the Antarctic region, the neurotoxin saxitoxin, albeit at concentrations below quantifiable levels. Our findings also reveal the widespread presen",saxitoxin
41915567,2026.0,cyano_train,abstract,climate change,climate change,ENV_FACTOR,,1085,1099,"s about their potential effects on local wildlife and water quality, particularly in the context of climate change. The findings underscore the need for continued monitoring and molecular studies to elucidate the s",climate change
41908554,2026.0,cyano_train,abstract,saxitoxin,saxitoxin,TOXIN,,1146,1155,"s paper provides a comprehensive review of many of the major algal toxins (specifically ciguatoxin, saxitoxin, azaspiracid, brevetoxin, okadaic acid, dinophysistoxin, domoic acid, and cyanotoxins), the managem",saxitoxin
41908554,2026.0,cyano_train,abstract,environmental conditions,environmental conditions,ENV_FACTOR,,795,819,"orting. Despite this, known incidence of human exposure to HAB toxins is increasing due to shifting environmental conditions, rising global seafood demand, and growing population density and development along coastal and fre",environmental conditions
41908554,2026.0,cyano_train,abstract,"This paper provides a comprehensive review of many of the major algal toxins (specifically ciguatoxin, saxitoxin, azaspiracid, brevetoxin, okadaic acid, dinophysistoxin, domoic acid, and cyanotoxins), the management strategies associated with suspected poisoning, and presents a novel term to describe the unique syndromes associated with their illness; ""algal-dromes.""","This paper provides a comprehensive review of many of the major algal toxins (specifically ciguatoxin, saxitoxin, azaspiracid, brevetoxin, okadaic acid, dinophysistoxin, domoic acid, and cyanotoxins), the management strategies associated with suspected poisoning, and presents a novel term to describe the unique syndromes associated with their illness; ""algal-dromes.""",FINDING_SENTENCE,ASSOCIATED_WITH,0,369,"This paper provides a comprehensive review of many of the major algal toxins (specifically ciguatoxin, saxitoxin, azaspiracid, brevetoxin, okadaic acid, dinophysistoxin, domoic acid, and cyanotoxins), the management strategies associated with suspected poisoning, and presents a novel term to describe the unique syndromes associated with their illness; ""algal-dromes.""","This paper provides a comprehensive review of many of the major algal toxins (specifically ciguatoxin, saxitoxin, azaspiracid, brevetoxin, okadaic acid, dinophysistoxin, domoic acid, and cyanotoxins), the management strategies associated with suspected poisoning, and presents a novel term to describe the unique syndromes associated with their illness; ""algal-dromes."""
41893572,2026.0,cyano_train,abstract,cyanobacterial,cyanobacteria,TAXON_GROUP,,565,579,"terotoxins, Shiga toxins), mycotoxins (e.g., aflatoxin B1, ochratoxin A, deoxynivalenol), and algal/cyanobacterial toxins (e.g., saxitoxin, domoic acid, microcystins, biliatresone). We emphasize studies that clearl",cyanobacterial
41893572,2026.0,cyano_train,abstract,saxitoxin,saxitoxin,TOXIN,,594,603,"cotoxins (e.g., aflatoxin B1, ochratoxin A, deoxynivalenol), and algal/cyanobacterial toxins (e.g., saxitoxin, domoic acid, microcystins, biliatresone). We emphasize studies that clearly define toxin identity",saxitoxin
41893572,2026.0,cyano_train,abstract,toxin-producing,toxin-producing,TOXIN_PHENOTYPE,,1123,1138,"onoids, transporter-linked proximal tubular injury in kidney MPS, gut-kidney axis injury from Shiga toxin-producing E. coli in microfluidic systems, and multi-electrode array (MEA) network readouts in human 3D neura",toxin-producing
