paper_id,year,group,source,entity_text,entity_normalized,entity_type,relation_hint,start,end,context,entity_original_before_strict_norm
P055,2015,train,title,Gymnodinium catenatum,Gymnodinium catenatum,SPECIES,,53,74,Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS,Gymnodinium catenatum
P055,2015,train,title,dinoflagellate,dinoflagellates,TAXON_GROUP,,38,52,Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS,dinoflagellate
P055,2015,train,title,marine dinoflagellate,dinoflagellates,TAXON_GROUP,,31,52,Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS,marine dinoflagellate
P055,2015,train,title,Gymnodinium,Gymnodinium,TAXON_GROUP,,53,64,Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS,Gymnodinium
P055,2015,train,title,toxin profile,toxin profile,TOXIN,,10,23,Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by L,toxin profile
P055,2015,train,abstract,Gymnodinium catenatum,Gymnodinium catenatum,SPECIES,,48,69,The paralytic shellfish toxin (PST) profiles of Gymnodinium catenatum Graham have been reported for several strains from the Pacific coast of Mexico cultured under diffe,Gymnodinium catenatum
P055,2015,train,abstract,G. catenatum,Gymnodinium catenatum,SPECIES,,395,407,h toxin depended on the growth phase and culture conditions. Previous analysis of toxin profiles of G. catenatum isolated from Mexico have been based on post-column oxidation liquid chromatography with fluorescen,Gymnodinium catenatum
P055,2015,train,abstract,G. catenatum,Gymnodinium catenatum,SPECIES,,702,714,"ation of toxin composition. We describe, for the first time, the complete toxin profile for several G. catenatum strains from diverse locations of the Pacific coast of Mexico. The new results confirmed previous r",Gymnodinium catenatum
P055,2015,train,abstract,Gymnodinium,Gymnodinium,TAXON_GROUP,,48,59,The paralytic shellfish toxin (PST) profiles of Gymnodinium catenatum Graham have been reported for several strains from the Pacific coast of Mexico cultured u,Gymnodinium
P055,2015,train,abstract,saxitoxin,saxitoxin,TOXIN,,243,252,"exico cultured under different laboratory conditions, as well as from natural populations. Up to 15 saxitoxin analogues occurred and the quantity of each toxin depended on the growth phase and culture conditio",saxitoxin
