collection,title,abstract,journal,year,paper_id,domain,group,doi,pmid,doi_clean,title_clean,match_type
gene_cluster,Saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium : Transcriptomes of toxic and non-toxic species and their environmental insights,"Saxitoxin (STX) is a highly potent neurotoxin produced by toxigenic marine dinoflagellates, threatening both ecosystem stability and human health. Within the dinoflagellate genus Gymnodinium, all species are considered non-STX producers except G. catenatum, which produces STX and is responsible for paralytic shellfish toxins (PSTs). However, within this genus the genetic basis of toxigenicity remains unknown. Here, we used toxin profiling and transcriptome sequencing to investigate the saxitoxin biosynthesis genes (sxt) in the non-toxigenic G. impudicum in comparison with non-toxigenic G. smaydae and toxigenic G. catenatum. Toxin analysis revealed that G. impudicum lacked detectable PSTs. Transcriptome analysis identified 288, 323, and 368 sxt homologs in G. impudicum, G. smaydae, and G. catenatum, respectively. Interestingly, G. impudicum lacked core genes, sxtA and sxtG, whereas G. smaydae retained a complete set of sxt genes similar to G. catenatum. All the Gymnodinium species lacked sxtB, highlighting genus-specific gene loss. Phylogenetic analyses recovered G. smaydae and G. catenatum withing the same grouping for most sxt genes with G. impudicum placed in separate grouping. These results suggest that the non-toxigenicity of G. impudicum may be due to the loss of core sxt genes, whereas G. smaydae retains the sxt gene repertoire, indicating that other regulatory factors beyond gene presence likely influence STX production. Our findings deepen understanding of STX biosynthesis in dinoflagellates, highlighting sxt gene compositions between toxigenic and non-toxigenic Gymnodinium species.",Harmful Algae,2026,P001,dinoflagellate,test,,,,saxitoxin biosynthesis genes in the marine dinoflagellate gymnodinium transcriptomes of toxic and non toxic species and their environmental insights,title
transcriptome,Transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely unexplored. Here, we generated and analyzed the transcriptome of freshwater dinoflagellate Palatinus apiculatus and compared it with the transcriptome data from Peridinium bipes and Ceratium furcoides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apiculatus, P. bipes, and C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification. Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized biosynthetic diversity, ecological roles, and biotechnological potential.",Scientific Reports,2026,P010,dinoflagellate,test,,,,transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates,title
detection,Recent advances in nanomaterial-based electrochemical aptasensors for detecting aquatic toxins in shellfish and freshwater. A review,"Aquatic toxins are potent, naturally occurring compounds produced by dinoflagellates, cyanobacteria, and diatoms during harmful algal blooms (HABs) in both freshwater and marine ecosystems. These toxins can accumulate in seafood, such as scallops, oysters, mussels, and certain fish, posing a significant global threat to human health and the environment. The current methods for detecting these aquatic toxins, such as mouse bioassays, liquid chromatography-tandem mass spectrometry (LC-MS/MS), and high-performance liquid chromatography (HPLC), are limited by time-consuming procedures, high costs, and ethical problems. Therefore, there is an immediate need for the advancement of methods that are sensitive, specific, rapid, and affordable for detecting aquatic toxins. Electrochemical biosensors, particularly those incorporating nanomaterials and their composites, exhibit significant potential for enhancing sensitivity due to their large surface area, enhanced catalytic activity, superior electrical conductivity, chemical stability, tunable optical properties, and potential for functionalization. The integration of nanomaterials and their composites with aptamers further enhances the selectivity and specificity of these electrochemical aptasensors. Aptamers, single-stranded oligonucleotides with remarkable affinity and recognition capabilities, are highly valuable in designing nanomaterial-based electrochemical sensors. In comparison to antibodies, aptamers offer numerous benefits, including lower production costs, a smaller molecular weight, enhanced stability, lack of immunogenicity, rapid chemical synthesis, independence from animal sources for their production, ease of transportation, and storage. Therefore, the integration of electrochemical platforms with nanomaterials and aptamers is an effective tool for detecting aquatic toxins, thereby contributing to the protection of public and environmental health. This review focuses on the latest developments in electrochemical aptasensors based on nanomaterials for the detection of aquatic toxins, particularly microcystin-LR (MC-LR), saxitoxins (STX), microcystin-RR (MC-RR), okadaic acid (OA), and cylindrospermopsin (CYN). It explores their fundamental construction principles, methods of signal transduction, performance characteristics, and real-world sample applications of these electrochemical aptasensors in the detection of aquatic toxins. Furthermore, the review addresses existing challenges and outlines future research directions in this vital area of study.",Talanta,2026,P021,dinoflagellate,test,,,,recent advances in nanomaterial based electrochemical aptasensors for detecting aquatic toxins in shellfish and freshwater a review,title
environmental,Temporal dynamics of cellular differentiation and paralytic shellfish toxin diversification in Centrodinium punctatum,"Paralytic shellfish toxins (PSTs) produced by marine dinoflagellates are potent neurotoxins with major ecological and public health impacts. Although environmental drivers of PST production are well studied, the role of cellular development remains unclear. We examined the coordination between morphology and toxin synthesis in Centrodinium punctatum over 30-day cultivation period using imaging flow cytometry and HPLC with post-column oxidation. Three developmental stages were defined. Stage 1 (days 010) comprised uniform cells (3040 ?m) in lag and early exponential growth, dominated by production of saxitoxin (STX; 44.33?±?2.80 fmol cell?¹, ?70% of total) and low-toxicity analogs. Stage 2 (days 1020) showed greater size variability and appearance of high-toxicity analogs GTX1 and GTX2 (4.09?±?0.03 and 1.29?±?0.08 fmol cell?¹, respectively), coinciding with sxtN (sulfotransferase) upregulation. Stage 3 (days 2030) featured enlarged cells (>50 ?m), reduced chlorophyll fluorescence, and maximum toxin diversity, with peak GTX1 and GTX2 (28.25?±?0.25 and 11.83?±?0.29 fmol cell?¹, respectively). Total toxin content and toxicological potency increased by approximately five-fold (52.23?±?1.69269.61?±?8.94 fmol cell?¹; ?16 to >80?pg cell?¹). Strong correlations between morphology, fluorescence, and toxin levels indicate that PST biosynthesis is developmentally regulated rather than time-dependent. Targeted gene expression confirmed stage-specific activation of toxin genes. Comparisons with ocean-scale omics datasets support the ecological relevance of these developmental controls. Because high-toxicity PST analogs are preferentially produced at specific developmental stages, toxin risk cannot be reliably inferred from cell abundance alone, highlighting the importance of incorporating developmental state into harmful algal bloom monitoring and risk assessment.",Journal of Hazardous Materials,2026,P067,dinoflagellate,test,,,,temporal dynamics of cellular differentiation and paralytic shellfish toxin diversification in centrodinium punctatum,title
environmental,The parasite Parvilucifera infectans kills the harmful alga Alexandrium minutum under different salinities and disrupts PSP toxin production,"Harmful algal blooms (HABs) can be caused by dinoflagellates like Alexandrium minutum, which produces Paralytic Shellfish Poison toxins derived from saxitoxins. The abundance of these toxic algae is shaped not only by abiotic factors, but also by microbial interactions such as parasitism by the alveolate Parvilucifera infectans. These parasites can infect algal cells, inhibit growth, and induce death, thereby contributing to the termination of HABs. Salinity can affect algal physiology and may modulate host-parasite dynamics by altering the parasite's ability to infect and kill HAB-forming algae. Despite their ecological relevance, the interactions between algae and parasites, and the modulation of algal toxins during cell infection at varying salinity, remain poorly understood. Here, we investigated the impact of the parasite P. infectans, a well-recognized model organism that preys on A. minutum under different salinity conditions. We monitored infection success in cultures and recorded metabolome changes during parasite cell invasion using ultra-high-performance liquid chromatography-high-resolution mass spectrometry (UHPLCHRMS). P. infectans tolerated salinity from 20 PSU to 32 PSU and induced the death of whole algal cultures within 3 weeks in laboratory-controlled experiments. Comparative metabolomics revealed that parasite infection decreased the abundance of algal toxins in A. minutum. The parasite infection, rather than salinity, induced significant shifts in the host cell metabolome. Several polar metabolites and osmolytes, such as ectoine, dimethylsulfoniopropionate, glycine betaine, choline, and carnitine, were identified at elevated levels in parasite-infected cells, suggesting potential roles in parasite development and reproduction.",Harmful Algae,2026,P101,dinoflagellate,test,,,,the parasite parvilucifera infectans kills the harmful alga alexandrium minutum under different salinities and disrupts psp toxin production,title
review,Artificial Intelligence (AI) in Saxitoxin Research: The Next Frontier for Understanding Marine Dinoflagellate Toxin Biosynthesis and Evolution,"Saxitoxin (STX) is one of the most potent marine neurotoxins, produced by several species of freshwater cyanobacteria and marine dinoflagellates. Although omics-based approaches have advanced our understanding of STX biosynthesis in recent decades, the origin, regulation, and ecological drivers of STX in dinoflagellates remain poorly resolved. Specifically, dinoflagellate STX biosynthetic genes (sxt) are extremely fragmented, inconsistently expressed, and unevenly distributed between toxic and non-toxic taxa. Environmental studies further report inconsistent relationships between abiotic factors and STX production, suggesting regulation across multiple genomic, transcriptional, post-transcriptional, and epigenetic levels. These gaps prevent a comprehensive understanding of STX biosynthesis in dinoflagellates and limit the development of accurate predictive models for harmful algal blooms (HABs) and paralytic shellfish poisoning (PSP). Artificial intelligence (AI), including machine learning and deep learning, offers new opportunities in ecological pattern recognition, molecular annotation, and data-driven prediction. This review explores the current state of knowledge and persistent knowledge gaps in dinoflagellate STX research and proposes an AI-integrated multi-omics framework highlighting recommended models for sxt gene identification (e.g., DeepFRI, ProtTrans, ESM-2), evolutionary reconstruction (e.g., PhyloGAN, GNN, PhyloVAE, NeuralNJ), molecular regulation (e.g., MOFA+, LSTM, GRU, DeepMF), and toxin prediction (e.g., XGBoost, LightGBM, LSTM, ConvLSTM). By integrating AI with diverse biological datasets, this novel framework outlines how AI can advance fundamental understanding of STX biosynthesis and inform future applications in HAB monitoring, seafood safety, and PSP risk management in aquaculture and fisheries.",Toxins,2026,P166,dinoflagellate,test,,,,artificial intelligence ai in saxitoxin research the next frontier for understanding marine dinoflagellate toxin biosynthesis and evolution,title
gene_cluster,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum,"The marine dinoflagellate Gymnodinium catenatum is known to produce saxitoxins (STXs) that are responsible for paralytic shellfish poisoning (PSP); however, the genes involved in STX synthesis are insufficiently understood. In the present study, we determined transcriptome sequences of toxic G. catenatum isolated from Korea (Gc-KR) and compared them with G. catenatum strains reported in other regions such as Spain (Gc-SP) and the United States (Gc-US). Toxin analysis showed that the Korean strain produced the toxins at 6.0 ± 1.9 STXs eq fmol/cell. Comparative transcriptomics of the three strains identified more than 1000 homologs of nearly all STXs biosynthesis genes in dinoflagellates, except sxtB, sxtN, and sxtY. Gene expression analysis revealed similar sxt expression patterns across all strains, with the highest expression levels observed for sxtA and sxtG. Phylogenetic analysis of sxtA, sxtG, sxtI, sxtU, and sxtS revealed distinct evolutionary patterns, with sxtA being more conserved across G. catenatum, Alexandrium spp., and toxic cyanobacteria, particularly at the sxtA4 domain, suggesting its significance in STXs synthesis. Other sxt genes in G. catenatum showed distinct patterns and significant divergence from Alexandrium spp., suggesting independent acquisition in G. catenatum. Moreover, the absence of core genes, such as sxtB, indicates it may not be essential for STXs production in G. catenatum. These findings provide insight into the sxt candidate genes in G. catenatum, enhancing our understanding of STXs biosynthesis in dinoflagellates.",Harmful Algae,2025,P002,dinoflagellate,test,,,,transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate gymnodinium catenatum,title
environmental,"Temperature-Driven Intraspecific Diversity in Paralytic Shellfish Toxin Profiles of the Dinoflagellate Alexandrium pacificum and Intragenic Variation in the Saxitoxin Biosynthetic Gene, sxtA4","Alexandrium pacificum, a globally distributed dinoflagellate, is well-known for causing harmful algal blooms and producing Paralytic Shellfish Toxins (PSTs), a threat to marine life and human health. The frequency and intensity of Alexandrium blooms have increased in recent decades, driven, in some cases, by increasing temperatures. Here, we investigated the temperature-dependent (15 °C, 20 °C, 25 °C, and 30 °C) growth rates and paralytic shellfish toxin profiles of eight A. pacificum strains while concurrently examining differences in sequences of the saxitoxin biosynthetic gene, sxtA4. While maximum cell densities were lowest at 30 °C, toxin production per cell was highest at higher temperatures that inhibited growth, with greater diversity of toxin analogs peaking at 30 °C, as confirmed by the higher Shannons diversity index obtained for the toxin profiles with the increasing temperatures. Furthermore, genetic analysis of the sxtA4 gene showed that greater genetic diversityquantified by nucleotide diversity (?) ranging from 9.91 to 30.21 across strainswas positively correlated with this wider array of toxin analogs (Shannons diversity index; p?<?0.0001). Conserved regions within the gene were identified, suggesting that these regions may play important structural or functional roles in the saxitoxin biosynthetic pathway. These findings highlight the role of temperature, genetic diversity, and sxtA4 conserved regions in influencing toxin production and profiles in Alexandrium. Further research into the genetic mechanisms underlying saxitoxin biosynthesis will improve our understanding of Alexandriums adaptability to changing temperatures. Such insights are essential for effective ecosystem management and safeguarding public health.",Microbial Ecology,2025,P068,dinoflagellate,test,,,,temperature driven intraspecific diversity in paralytic shellfish toxin profiles of the dinoflagellate alexandrium pacificum and intragenic variation in the saxitoxin biosynthetic gene sxta4,title
environmental,Unravelling the toxicity mechanisms of polystyrene nanoplastics on physiological and transcriptomic responses of the marine dinoflagellate Alexandrium minutum,"Dinoflagellates are a group of marine phytoplankton, and many species are considered to be responsible for harmful algal blooms (HABs) due to their toxin production. Nanoplastics (NP) have hazardous effects on algae, but physiological response, toxin production and underlying regulation mechanisms that they induce in dinoflagellates are poorly understood. In this study, a Chinese Alexandrium minutum strain was exposed to various concentrations (0.1, 0.5, 1.0, 5.0, 10.0 and 50.0 mg/L) of polystyrene nanoplastics (PSNP, 50 nm), and its growth, photosynthesis, oxidative stress response, saxitoxin (STX) production, and transcriptomic response were explored in these conditions. The growth and photosynthesis efficiency were inhibited by relative higher concentrations (10.0 and 50.0 mg/L) of PSNP exposure. The chlorophyll a, malondialdehyde (MDA) contents, antioxidant enzyme activities and STX levels gradually increased at low PSNP concentrations and short time exposures, and subsequently decreased at high PSNP concentrations. Most photosynthesis-related genes have similar decreasing trends with physiological changes, while the antioxidant system genes were upregulated to resist the oxidative stress caused under PSNP. The genes involved in N metabolism were upregulated to maintain normal biological activity and synthesize substrates for STX production. In addition, several STX biosynthesis genes were differentially expressed under PSNP treatment. These findings provide a comprehensive understanding of the response mechanisms and STX synthesis in toxin-producing dinoflagellates exposed to PSNP.",Environmental Pollution,2025,P070,dinoflagellate,test,,,,unravelling the toxicity mechanisms of polystyrene nanoplastics on physiological and transcriptomic responses of the marine dinoflagellate alexandrium minutum,title
environmental,Unravelling the toxicity mechanisms of polystyrene nanoplastics on physiological and transcriptomic responses of the marine dinoflagellate Alexandrium minutum,"Dinoflagellates are a group of marine phytoplankton, and many species are considered to be responsible for harmful algal blooms (HABs) due to their toxin production. Nanoplastics (NP) have hazardous effects on algae, but physiological response, toxin production and underlying regulation mechanisms that they induce in dinoflagellates are poorly understood. In this study, a Chinese Alexandrium minutum strain was exposed to various concentrations (0.1, 0.5, 1.0, 5.0, 10.0 and 50.0 mg/L) of polystyrene nanoplastics (PSNP, 50 nm), and its growth, photosynthesis, oxidative stress response, saxitoxin (STX) production, and transcriptomic response were explored in these conditions. The growth and photosynthesis efficiency were inhibited by relative higher concentrations (10.0 and 50.0 mg/L) of PSNP exposure. The chlorophyll a, malondialdehyde (MDA) contents, antioxidant enzyme activities and STX levels gradually increased at low PSNP concentrations and short time exposures, and subsequently decreased at high PSNP concentrations. Most photosynthesis-related genes have similar decreasing trends with physiological changes, while the antioxidant system genes were upregulated to resist the oxidative stress caused under PSNP. The genes involved in N metabolism were upregulated to maintain normal biological activity and synthesize substrates for STX production. In addition, several STX biosynthesis genes were differentially expressed under PSNP treatment. These findings provide a comprehensive understanding of the response mechanisms and STX synthesis in toxin-producing dinoflagellates exposed to PSNP.",Environmental Pollution,2025,P098,dinoflagellate,test,,,,unravelling the toxicity mechanisms of polystyrene nanoplastics on physiological and transcriptomic responses of the marine dinoflagellate alexandrium minutum,title
