Source,Target,Source_Type,Target_Type,Relation,Group,Weight,Paper_Count,Paper_IDs,Years,Relation_Hints,Edge_Key,Transfer_Match
biosynthesis,saxitoxin,BIOLOGICAL_MECHANISM,TOXIN,TOXIN_MECHANISM_RELATION,cyano_train,57,57,12450830;14718552;18487408;18850059;19331657;19484122;20559491;20935128;21076133;21347365;22081581;23051004;23335767;23892224;23966031;24334673;24460188;24956074;25346253;26347118;26568470;26923223;27009717;27569199;27817832;28073493;28073495;28073499;28364328;28797629;29027912;29027918;29390180;29705145;30296060;30772567;30983320;31527551;32033403;32070286;32526918;33084210;34283333;35031458;35198665;35622541;36470600;36689843;38270276;38705616;38943258;39305001;40209228;40449983;40710502;41591172;41702991,2002;2004;2008;2009;2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'saxitoxin')",1
saxitoxin,sxtA,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,35,35,19484122;20048055;20935128;21223973;21625593;22081581;22628533;23335767;24015317;24334673;26347118;27569199;27907126;28073499;29027918;29390180;29705145;29791446;30079124;30275378;30502809;31012060;31936211;33084210;33298362;33526182;33670338;34520086;35031458;38393148;38705616;39003021;39703858;40209228;40449983,2009;2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'sxta')",1
biosynthesis,paralytic shellfish toxins,BIOLOGICAL_MECHANISM,TOXIN,TOXIN_MECHANISM_RELATION,cyano_train,28,28,19331657;20479965;21347365;23850895;24334673;24956074;25421324;25825710;26239440;26316331;26347118;26417864;27474710;27569199;27817832;28678186;28797629;29027912;29705145;30296060;30983320;32058687;32070286;32307073;32532989;33084210;38270276;40710502,2009;2010;2011;2013;2014;2015;2016;2017;2018;2019;2020;2021;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'paralytic shellfish toxins')",1
saxitoxin,toxin-producing,TOXIN,TOXIN_PHENOTYPE,SEMANTIC_CO_OCCURS,cyano_train,23,23,14766924;16650472;16710515;19118969;19627483;20048055;22081581;24334673;24718696;26842222;27817832;31012060;31695119;31940734;32323358;33128150;35198665;36430059;36470600;39305001;39545400;40424915;41893572,2004;2006;2009;2010;2012;2014;2016;2019;2020;2021;2022;2024;2025;2026,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'toxin-producing')",1
nitrogen,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,21,21,11800428;15892061;21076133;23892224;24333522;24460188;24956074;26568470;28073493;28073495;28073499;29791446;30079124;30792397;31358272;33128150;34023075;34754266;36470609;40209228;41334952,2001;2005;2011;2013;2014;2016;2017;2018;2019;2021;2022;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('nitrogen', 'saxitoxin')",1
biosynthesis,sxtA,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,19,19,19484122;20935128;22081581;23335767;24334673;25421324;26347118;27569199;28073499;29027918;29390180;29705145;33084210;35031458;38705616;39870345;40209228;40449983;40935530,2009;2010;2012;2013;2014;2016;2017;2018;2021;2022;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'sxta')",1
saxitoxin,temperature,TOXIN,ENV_FACTOR,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,18,18,12539139;23892224;24333522;26888523;29027918;30170723;30380769;30831427;31341744;31358272;33401417;33980451;36399599;36629970;36689843;38393148;38754694;40209228,2003;2013;2014;2016;2017;2018;2019;2021;2022;2023;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN;REGULATES,"('saxitoxin', 'temperature')",1
saxitoxin,secondary metabolites,TOXIN,BIOSYNTHETIC_SYSTEM,SEMANTIC_CO_OCCURS,cyano_train,17,17,20559491;21076133;21964631;22628533;23423950;23648386;24275084;30961962;31358272;32290496;34023075;35287926;37624198;38448773;39265222;40108890;41604202,2010;2011;2013;2014;2019;2020;2021;2022;2023;2024;2025;2026,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('saxitoxin', 'secondary metabolites')",1
biosynthesis,Saxitoxin,BIOLOGICAL_MECHANISM,TOXIN,TOXIN_MECHANISM_RELATION,cyano_train,16,16,18487408;19331657;21347365;23335767;26347118;29027918;30296060;31527551;32033403;33084210;35198665;38270276;39305001;40209228;40710502;41591172,2008;2009;2011;2013;2016;2017;2018;2019;2020;2021;2022;2024;2025;2026,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'saxitoxin')",1
biosynthesis,saxitoxin biosynthesis,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,16,16,18850059;22081581;23335767;23966031;24460188;26568470;27569199;28364328;29027918;29705145;32033403;34283333;35198665;38705616;38943258;40449983,2008;2012;2013;2014;2016;2017;2018;2020;2021;2022;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'saxitoxin biosynthesis')",1
saxitoxin,saxitoxin biosynthesis,TOXIN,BIOLOGICAL_MECHANISM,TOXIN_MECHANISM_RELATION,cyano_train,16,16,18850059;22081581;23335767;23966031;24460188;26568470;27569199;28364328;29027918;29705145;32033403;34283333;35198665;38705616;38943258;40449983,2008;2012;2013;2014;2016;2017;2018;2020;2021;2022;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'saxitoxin biosynthesis')",1
nitrogen,phosphorus,ENV_FACTOR,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,15,15,15892061;23894552;24333522;26239440;26568470;28073499;28574457;29791446;29957289;30792397;31358272;32090402;34848287;40209228;41334952,2005;2013;2014;2015;2016;2017;2018;2019;2020;2022;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('nitrogen', 'phosphorus')",1
biosynthesis,STX biosynthesis,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,14,14,14718552;18487408;20935128;26347118;27817832;28073499;29390180;31527551;36689843;38270276;38705616;40209228;41591172;41702991,2004;2008;2010;2016;2018;2019;2023;2024;2025;2026,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'stx biosynthesis')",1
saxitoxin,STX biosynthesis,TOXIN,BIOLOGICAL_MECHANISM,TOXIN_MECHANISM_RELATION,cyano_train,14,14,14718552;18487408;20935128;26347118;27817832;28073499;29390180;31527551;36689843;38270276;38705616;40209228;41591172;41702991,2004;2008;2010;2016;2018;2019;2023;2024;2025;2026,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'stx biosynthesis')",1
biosynthetic pathway,saxitoxin,BIOSYNTHETIC_SYSTEM,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,13,13,18487408;18850059;19118969;19331657;19484122;19731715;23966031;28073495;29390180;31527551;32526918;35198665;35323466,2008;2009;2013;2016;2018;2019;2020;2022,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthetic pathway', 'saxitoxin')",1
