Source,Target,Source_Type,Target_Type,Relation,Group,Weight,Paper_Count,Paper_IDs,Years,Relation_Hints,Edge_Key,Transfer_Match
pH,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,18,18,14733387;14766924;15243648;15294806;19627483;25046082;26347118;30831427;31310856;33980451;35364510;36399599;36629970;36801032;38244903;38393148;41867601;6814018,1982;2003;2004;2009;2014;2016;2019;2021;2022;2023;2024;2026,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN,"('ph', 'saxitoxin')",0
pH,Saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,6,6,14766924;26347118;35364510;36399599;38393148;41867601,2004;2016;2022;2024;2026,ASSOCIATED_WITH;DECREASES;INCREASES,"('ph', 'saxitoxin')",0
neosaxitoxin,sxtA,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,5,5,20048055;24334673;27907126;29705145;40209228,2010;2014;2016;2018;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN,"('neosaxitoxin', 'sxta')",0
pH,temperature,ENV_FACTOR,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,5,5,30831427;33980451;36399599;36629970;38393148,2019;2021;2022;2023;2024,ASSOCIATED_WITH;INCREASES;PRESENT_IN,"('ph', 'temperature')",0
arginine,biosynthesis,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,4,4,18487408;26239440;27817832;33084210,2008;2015;2016;2021,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN,"('arginine', 'biosynthesis')",0
biosynthesis,climate change,BIOLOGICAL_MECHANISM,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,4,4,35622541;35902522;37394567;38943258,2022;2023;2024,EVOLUTIONARY_LINK;INCREASES,"('biosynthesis', 'climate change')",0
biosynthetic pathway,gene transfer,BIOSYNTHETIC_SYSTEM,EVOLUTIONARY_PROCESS,SEMANTIC_CO_OCCURS,cyano_train,4,4,18487408;18850059;19331657;23966031,2008;2009;2013,EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,"('biosynthetic pathway', 'gene transfer')",0
gene expression,nitrogen,REGULATION_EXPRESSION,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,4,4,24956074;29957289;40209228;41334952,2014;2018;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;REGULATES,"('gene expression', 'nitrogen')",0
nitrogen,secondary metabolites,ENV_FACTOR,BIOSYNTHETIC_SYSTEM,SEMANTIC_CO_OCCURS,cyano_train,4,4,21076133;31358272;34023075;37164563,2011;2019;2021;2023,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;REGULATES,"('nitrogen', 'secondary metabolites')",0
phosphate,phosphorus,ENV_FACTOR,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,4,4,21533636;26568470;29957289;37087502,2011;2016;2018;2023,ASSOCIATED_WITH;DECREASES;INCREASES,"('phosphate', 'phosphorus')",0
PST producing,saxitoxin,TOXIN_PHENOTYPE,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,3,3,20714432;27569199;29705145,2010;2016;2018,ASSOCIATED_WITH;INVOLVED_IN;PRESENT_IN,"('pst producing', 'saxitoxin')",0
ancestral,biosynthesis,EVOLUTIONARY_PROCESS,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,3,3,18487408;18850059;32307073,2008;2020,EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,"('ancestral', 'biosynthesis')",0
biosynthesis,sxtZ,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,3,3,19484122;25421324;32307073,2009;2014;2020,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'sxtz')",0
biosynthetic pathway,STX biosynthesis,BIOSYNTHETIC_SYSTEM,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,3,3,18487408;29390180;31527551,2008;2018;2019,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN,"('biosynthetic pathway', 'stx biosynthesis')",0
biosynthetic pathway,horizontal gene transfer,BIOSYNTHETIC_SYSTEM,EVOLUTIONARY_PROCESS,SEMANTIC_CO_OCCURS,cyano_train,3,3,18850059;19331657;23966031,2008;2009;2013,EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,"('biosynthetic pathway', 'horizontal gene transfer')",0
biosynthetic pathway,phylogeny,BIOSYNTHETIC_SYSTEM,EVOLUTIONARY_PROCESS,SEMANTIC_CO_OCCURS,cyano_train,3,3,18850059;19118969;19331657,2008;2009,EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,"('biosynthetic pathway', 'phylogeny')",0
biosynthetic pathways,saxitoxin,BIOSYNTHETIC_SYSTEM,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,3,3,23051004;26568470;32290496,2013;2016;2020,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES,"('biosynthetic pathways', 'saxitoxin')",0
climate change,temperature,ENV_FACTOR,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,3,3,30380769;36136576;38754694,2018;2022;2024,ASSOCIATED_WITH;INCREASES,"('climate change', 'temperature')",0
conservation,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,3,3,21076133;37951618;39195450,2011;2023;2024,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('conservation', 'saxitoxin')",0
dcSTX,sxtA,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,3,3,20048055;29705145;30502809,2010;2018,EVOLUTIONARY_LINK;PRESENT_IN,"('dcstx', 'sxta')",0
decarbamoylsaxitoxin,sxtA,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,3,3,20048055;24334673;29705145,2010;2014;2018,EVOLUTIONARY_LINK;INCREASES;PRESENT_IN,"('decarbamoylsaxitoxin', 'sxta')",0
divergent,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,3,3,29027912;33298362;39545400,2017;2020;2025,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN,"('divergent', 'saxitoxin')",0
downregulated,oxidative stress,REGULATION_EXPRESSION,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,3,3,26568470;33631698;34974311,2016;2021;2022,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN,"('downregulated', 'oxidative stress')",0
environmental conditions,toxin production,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,3,3,24956074;27418325;30170723,2014;2016,ASSOCIATED_WITH;DECREASES;REGULATES,"('environmental conditions', 'toxin production')",0
evolution,nitrogen,EVOLUTIONARY_PROCESS,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,3,3,21076133;23892224;34023075,2011;2013;2021,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN,"('evolution', 'nitrogen')",0
