Source,Target,CN,WCN,AA,PA,Jaccard,Embedding_Cosine,Embedding_L2,Original_Score,Bio_Bonus,Common_Neighbors_Original,Weighted_Common_Neighbors_Original,Bridge_Nodes,Match,RF_Prob,GB_Prob,LR_Prob,ML_Score,Original_Score_Norm,ML_Score_Norm,Final_AI_Score
toxin profile,biosynthesis,33,452.0,8.114810175295716,12314,0.171875,0.11781399697065353,1.9400564432144165,384.5724719634781,39,30,440.0,alexandrium;alexandrium catenella;alexandrium tamarense;cellular toxin;environmental conditions;evolution;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;pst-producing;saxitoxin;temperature;toxic species;toxin analogues;toxin content;toxin production,1,0.95,0.96347701661344,0.9999992222030069,0.9617384305270207,0.9971304863686288,0.963734226440161,0.9821021694008183
toxin profile,saxitoxin biosynthesis,25,490.0,5.901242464967919,8777,0.14450867052023122,0.08737390488386154,1.9967784881591797,385.5074615899345,39,23,482.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;sxta;temperature;toxic species;toxin content;toxin production,1,0.86,0.9514002813523468,0.9990616279272468,0.9196063034688982,1.0,0.9214295465543613,0.9646432959494626
toxin production,sxt genes,35,368.0,9.788803879906906,4601,0.30434782608695654,0.35362330079078674,1.8240562677383423,343.6778531559491,28,35,368.0,biosynthesis;cyanobacteria;cyanobacteria and dinoflagellates;evolution;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;homologs;involved in stx;non-toxic species;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;saxitoxin production;stx synthesis;stx-producing;stx-producing dinoflagellates;sxta and sxtg;sxtg;synthesis genes;toxic cyanobacteria;toxic species,1,1.0,0.994227215885018,0.9999999991274018,0.9971136078552493,0.8716235686473277,0.9992542833959753,0.9290573902842192
alexandrium catenella,alexandrium minutum,27,410.0,6.21503491327916,4485,0.2523364485981308,0.26233145594596863,1.8955230712890625,336.8216349653833,33,25,399.0,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;gene expression;genes involved;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;salinity;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0,1.0,0.9931607275114733,0.9988787595434104,0.9964682397100777,0.8505816116022555,0.9986062721348227,0.9171927088419107
alexandrium minutum,toxin composition,25,356.0,5.7141822212583335,6141,0.1893939393939394,0.19625282287597656,2.043419599533081,290.8756096052301,23,24,352.0,alexandrium;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;salinity;saxitoxin;strains of alexandrium;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0,0.99,0.9907265484914474,0.9976053408879932,0.9911238083345231,0.709571762564712,0.9932399525516087,0.8372224480588155
sxta,temperature,25,338.0,5.847041035785586,8268,0.15822784810126583,0.093326136469841,2.1854753494262695,301.3569169235184,32,24,336.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;toxic dinoflagellate;toxin content;toxin production;toxin profile,1,0.8933333333333333,0.9399975380825716,0.9987088451155658,0.9272029868861758,0.7417392362707118,0.929057342315025,0.8260323839906527
toxin composition,sxta,24,323.0,5.588257257205318,9434,0.1411764705882353,0.1271507292985916,2.135767698287964,286.63749249962933,30,23,320.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;species of alexandrium;strains of alexandrium;toxic dinoflagellate;toxin content;toxin production;toxin profile,0,0.9766666666666667,0.976772600857853,0.9990915983371078,0.9789621269293041,0.696564843063412,0.9810284627777572,0.8245734719348674
paralytic shellfish toxins,sxt genes,23,310.0,5.671643883731847,8686,0.1036036036036036,0.18985818326473236,1.9489936828613281,280.6146289050779,29,23,310.0,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;evolution;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;saxitoxin production;stx-producing;sxta;sxta and sxtg;sxtg;toxic species;toxin synthesis,1,0.9933333333333333,0.9917934528455801,0.9999278969215535,0.9932228494482787,0.678080478429383,0.9953475903231852,0.8208506787815941
gymnodinium catenatum,nitrogen,24,283.0,5.399748791098438,6424,0.17518248175182483,0.17161063849925995,2.1546130180358887,272.301881772691,31,24,283.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;each toxin;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin analogues;strains of alexandrium;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,1,0.9933333333333333,0.9846185069055851,0.9944443718916077,0.9890870239752866,0.652568386599091,0.9911948265081256,0.8049502845581566
toxin profile,cyanobacteria,29,259.0,7.182943209733505,11397,0.15343915343915343,0.14353199303150177,2.1433169841766357,259.779034237361,29,26,252.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;dinoflagellates;environmental conditions;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin-producing dinoflagellates;sxta;toxic dinoflagellate;toxic species;toxin analogues;toxin production,1,0.9966666666666667,0.9839699616519557,0.9999968527133505,0.9906513327639797,0.6141353594409139,0.9927655419495015,0.7845189415697784
