Node,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
alexandrium,-0.19404903054237366,-0.1924392431974411,0.21698659658432007,0.05689847841858864,0.15178976953029633,-0.10323843359947205,-0.035499464720487595,0.19348394870758057,-0.23698443174362183,0.08544876426458359,-0.04500925540924072,0.2885209023952484,-0.007368527818471193,0.03837744891643524,-0.19571398198604584,-0.030375979840755463,0.13440914452075958,0.32294386625289917,-0.05014374107122421,0.043520405888557434,0.13250869512557983,-0.21329204738140106,-0.16846106946468353,-0.007957362569868565,0.2930411994457245,0.03473217785358429,-0.05930141732096672,0.03340764716267586,-0.023411348462104797,-0.0566876120865345,-0.1671627163887024,-0.10209891945123672,-0.05624017119407654,0.08088179677724838,0.2783614993095398,-0.07004906237125397,0.10610563308000565,0.11828447878360748,-0.07958368957042694,-0.1480710208415985,-0.20250935852527618,0.2010210156440735,0.11259797215461731,0.09130225330591202,-0.23002047836780548,0.24768489599227905,0.07010186463594437,0.20750518143177032,-0.08364874124526978,-0.1650412678718567,0.3400644063949585,-0.029352521523833275,-0.11302506923675537,0.010051362216472626,-0.10372715443372726,-0.0964406207203865,0.209881991147995,-0.06666012108325958,-0.09841910004615784,-0.07885324954986572,-0.10633852332830429,0.23509269952774048,0.12856875360012054,0.20188196003437042
dinoflagellates,-0.06855113059282303,-0.08932729810476303,0.23661749064922333,-0.11402500420808792,-0.027429018169641495,-0.07812197506427765,0.03941595181822777,0.2535076141357422,-0.18656538426876068,0.006214871071279049,6.445797043852508e-05,0.13399066030979156,-0.14946480095386505,0.03164650872349739,-0.035025764256715775,-0.23463909327983856,0.1074533611536026,0.3590511381626129,-0.19566267728805542,0.03499911352992058,0.1370377540588379,0.03522561490535736,-0.234230637550354,-0.05568578094244003,0.34464624524116516,0.13944238424301147,0.06608075648546219,0.041640765964984894,0.06545104831457138,-0.13029101490974426,0.11079742014408112,-0.1580427587032318,-0.03569813445210457,-0.06711792200803757,0.27692341804504395,0.15030115842819214,0.17000800371170044,-0.0034580782521516085,-0.015614575706422329,-0.034116338938474655,-0.07767505943775177,-0.07376359403133392,0.40984588861465454,0.08145630359649658,0.08234866708517075,0.31742599606513977,-0.1956627070903778,0.15480542182922363,0.02119872160255909,-0.031197847798466682,0.284696102142334,-0.1264866143465042,-0.145320862531662,0.002838300308212638,-0.09334532171487808,-0.017281677573919296,0.20400503277778625,0.057765305042266846,0.002011846285313368,-0.1356048434972763,-0.2731056809425354,0.03356873244047165,0.0971415713429451,0.06423604488372803
paralytic shellfish toxins,-0.02990044467151165,-0.27362459897994995,0.41914987564086914,0.04590843990445137,-0.07903002202510834,-0.18567074835300446,0.23892904818058014,-0.08506379276514053,-0.09945166856050491,0.1104101911187172,0.3458433449268341,-0.061628226190805435,0.24252234399318695,-0.04220513999462128,-0.19249296188354492,-0.0882311686873436,0.18476375937461853,0.3172970712184906,0.010011819191277027,0.054921336472034454,0.12801112234592438,-0.08816176652908325,-0.1658916026353836,-0.19055862724781036,0.16673626005649567,-0.05374492332339287,-0.008911783806979656,0.03727417439222336,-0.09004418551921844,0.026007765904068947,0.0028204850386828184,-0.15519976615905762,-0.08714144676923752,0.12994661927223206,0.034904856234788895,0.1439642608165741,0.22933810949325562,-0.07250655442476273,-0.12385312467813492,0.09854255616664886,-0.1752699315547943,0.09627962857484818,0.205915629863739,-0.011731062084436417,-0.1350787729024887,0.21347905695438385,-0.09014330804347992,-0.11912550032138824,-0.30020350217819214,-0.3438337445259094,0.13053931295871735,-0.18662846088409424,0.03931254521012306,-0.23556384444236755,-0.07351907342672348,0.09822510927915573,0.04456602409482002,0.012746723368763924,-0.04024442285299301,-0.16142427921295166,-0.21576015651226044,-0.07874703407287598,0.3300434350967407,0.2443396896123886
saxitoxin,-0.07842040807008743,-0.17934226989746094,0.38602444529533386,-0.19720341265201569,-0.016363106667995453,-0.09429990500211716,-0.018564090132713318,0.028262406587600708,-0.02279718965291977,0.0959850326180458,0.1392054557800293,0.11736208945512772,-0.14836430549621582,-0.017843646928668022,-0.22513540089130402,-0.16298356652259827,0.05852912738919258,0.3753490447998047,-0.05176520347595215,0.18655844032764435,0.1828189343214035,0.06840714067220688,-0.19315257668495178,0.07485239207744598,0.12287480384111404,0.0888354554772377,0.061935219913721085,-0.12078776955604553,-0.0637005865573883,-0.05750945210456848,0.15685686469078064,-0.08245907723903656,0.06708630174398422,-0.1444232314825058,0.1143345832824707,0.30260929465293884,0.15545055270195007,-0.06348161399364471,-0.09515868872404099,0.013430747203528881,-0.22021958231925964,-0.05008332431316376,0.2832793891429901,0.09557682275772095,-0.054651085287332535,0.3500096797943115,-0.06272382289171219,-0.0714045912027359,0.08728594332933426,0.0529530867934227,0.3151514530181885,-0.17461560666561127,-0.07748061418533325,-0.08317692577838898,-0.027392327785491943,-0.08147106319665909,0.20410124957561493,-0.0989309623837471,-0.23156996071338654,-0.21222059428691864,-0.1788763701915741,0.07240723818540573,0.0028114968445152044,-0.1589377522468567
toxin profile,-0.04725464805960655,-0.4284123480319977,0.12050777673721313,0.04613994061946869,0.07243276387453079,-0.10740754753351212,0.17610464990139008,0.028347322717308998,-0.11888553947210312,0.2283318042755127,-0.01905648224055767,-0.060157325118780136,0.18034282326698303,0.025842241942882538,-0.28872576355934143,-0.0018607018282637,-0.06660208106040955,0.4436461925506592,0.1400788128376007,0.07569263875484467,0.07164891064167023,0.045210715383291245,-0.2794182300567627,-0.2583504617214203,0.07480605691671371,0.03874579444527626,0.04436618834733963,-0.09692546725273132,-0.2169869989156723,-0.08886592090129852,-0.16564826667308807,-0.025867771357297897,-0.16086065769195557,0.08122077584266663,0.039058949798345566,0.2641527056694031,0.09157067537307739,0.10900386422872543,-0.39775896072387695,0.05688930302858353,-0.19176167249679565,-0.03709468990564346,-0.17597386240959167,0.13409076631069183,0.07737674564123154,0.04022621363401413,-0.22371046245098114,-0.08838226646184921,-0.2355685979127884,-0.27299076318740845,0.21672295033931732,0.19238410890102386,-0.029031382873654366,-0.13185319304466248,0.07072029262781143,0.033007197082042694,0.20417532324790955,-0.1332526057958603,-0.016858570277690887,-0.09350613504648209,-0.14585746824741364,0.0090230293571949,0.2853562831878662,-0.18047720193862915
toxin production,-0.10467212647199631,-0.36213427782058716,0.06651194393634796,-0.11292129755020142,0.2837117314338684,0.020984100177884102,0.06122041866183281,0.05643780529499054,0.08331721276044846,0.07146615535020828,0.22731368243694305,-0.010945942252874374,-0.3417488932609558,-0.11147063225507736,-0.13946761190891266,-0.27205103635787964,-0.0386967658996582,0.12164423614740372,0.01352249551564455,0.21808849275112152,0.26411885023117065,-0.208872988820076,-0.30146482586860657,-0.1458810269832611,0.39472249150276184,-0.004136612638831139,0.046084754168987274,0.22838212549686432,-0.18869386613368988,-0.00428783567622304,-0.15520572662353516,0.01807217486202717,0.4359467327594757,0.10166575759649277,0.09393780678510666,-0.04494258016347885,0.2969476282596588,0.23233284056186676,0.06741687655448914,-0.007463161367923021,-0.049471188336610794,0.21852494776248932,0.10995855927467346,0.058766838163137436,0.011944296769797802,0.1429804116487503,-0.3737812936306,0.03872823715209961,0.21926364302635193,-0.2188955694437027,0.2409287989139557,-0.11031096428632736,-0.1462613195180893,-0.05459054186940193,-0.3636413812637329,0.09405657649040222,-0.08025690913200378,-0.15336190164089203,-0.29916197061538696,-0.03043915145099163,-0.039153702557086945,0.1021946370601654,0.1365422159433365,0.29767289757728577
gymnodinium catenatum,0.052698682993650436,-0.48635536432266235,0.2372041940689087,-0.09814482182264328,-0.054888781160116196,-0.1827106773853302,-0.19476318359375,-0.06623139977455139,-0.22304067015647888,-0.20616790652275085,-0.1255313903093338,-0.10568434745073318,0.017736801877617836,-0.10115136206150055,-0.192671537399292,-0.2896724045276642,-0.041143983602523804,0.4571971893310547,-0.13683994114398956,-0.09868000447750092,0.06866486370563507,0.2149779349565506,0.07476912438869476,0.10089210420846939,0.21432766318321228,-0.08819226920604706,0.0694439560174942,0.050578560680150986,0.10182494670152664,-0.06598890572786331,0.17931774258613586,-0.1283707171678543,0.018236134201288223,0.39479270577430725,-0.0781683474779129,0.10127289593219757,0.2589452862739563,-0.07596927881240845,-0.26618483662605286,0.19747255742549896,0.030071860179305077,-0.136068195104599,0.14387667179107666,0.052334100008010864,0.24893932044506073,-0.2470811903476715,-0.2327127307653427,-0.2698099613189697,0.0010400143219158053,-0.26314017176628113,0.2742021083831787,0.059210967272520065,-0.11153527349233627,-0.068051278591156,-0.037391018122434616,0.29251670837402344,0.09968987852334976,0.035570498555898666,0.14168672263622284,-0.6479736566543579,-0.25729724764823914,0.02380668930709362,0.32948440313339233,0.06403211504220963
paralytic shellfish poisoning,-0.15801621973514557,-0.2910178303718567,0.2578257918357849,0.04161464795470238,-0.003476419486105442,-0.16573466360569,-0.015208984725177288,-0.08131803572177887,-0.12312518805265427,0.17195884883403778,0.07922393828630447,0.09323898702859879,-0.11201976239681244,-0.1331380307674408,-0.10069312900304794,-0.22021235525608063,0.12393487244844437,0.09009170532226562,-0.1359107345342636,0.20135857164859772,0.2773623466491699,-0.3446778357028961,-0.262020468711853,0.1256149560213089,0.36878904700279236,0.07004532217979431,0.28182101249694824,-0.08971937000751495,-0.12464538216590881,-0.035452019423246384,-0.054921362549066544,-0.16410179436206818,-0.15750643610954285,-0.02594001591205597,0.006265018600970507,0.3340597152709961,0.10431837290525436,0.03500797227025032,-0.2254873514175415,-0.048139721155166626,-0.13251131772994995,0.08117862790822983,0.21807695925235748,-0.1837015300989151,-0.08923839032649994,0.4445689916610718,0.04702458530664444,-0.055844563990831375,-0.3336694538593292,-0.01611204259097576,0.09175007045269012,0.20962733030319214,-0.061801351606845856,0.032519541680812836,0.05417013168334961,-0.012841210700571537,0.1464492678642273,0.01395822037011385,0.1066310927271843,-0.3273336589336395,-0.24181853234767914,0.19165746867656708,0.20528024435043335,-0.016452793031930923
alexandrium tamarense,-0.025453897193074226,-0.123759925365448,0.06062181666493416,-0.08687061816453934,0.16376879811286926,-0.16893388330936432,0.11426795274019241,0.06126220151782036,-0.39803367853164673,0.28653955459594727,0.05972661077976227,-0.040132295340299606,-0.055193208158016205,-0.21589575707912445,-0.4176349639892578,0.2349768579006195,-0.04683755710721016,0.40994343161582947,0.26153436303138733,0.2279835045337677,0.5212531685829163,-0.24625973403453827,-0.3145228922367096,-0.41533607244491577,0.12318632006645203,-0.08580091595649719,0.01777159608900547,0.008206812664866447,-0.06270533055067062,-0.11541447043418884,0.03159189224243164,0.005688806995749474,0.16945131123065948,0.07834146916866302,0.10868509858846664,-0.08318449556827545,0.28473716974258423,0.38645967841148376,-0.03513707220554352,-0.09739606082439423,0.07339444011449814,0.1843966692686081,-0.05673781409859657,-0.08266521245241165,-0.13353660702705383,0.19227205216884613,0.32593318819999695,0.1571829468011856,-0.38936230540275574,-0.27185875177383423,0.21728232502937317,-0.04059182107448578,-0.16025912761688232,-0.007759710308164358,-0.04252799600362778,9.46113868849352e-05,-0.15473021566867828,-0.019243597984313965,0.2795797288417816,0.08047482371330261,-0.2770531475543976,0.006712455302476883,0.04649471491575241,-0.10258730500936508
alexandrium catenella,-0.10170229524374008,-0.27064067125320435,0.0961877778172493,0.04760080575942993,-0.13164371252059937,-0.20742227137088776,-0.2754640579223633,0.17399026453495026,-0.16098745167255402,0.18217912316322327,0.005256364122033119,0.1704237163066864,0.03917605057358742,-0.2357281744480133,0.12452302128076553,0.04645445942878723,-0.14135663211345673,0.3762210011482239,-0.08394994586706161,-0.015924163162708282,0.28671795129776,0.11568773537874222,-0.2727694809436798,0.06536119431257248,0.24379360675811768,-0.2250690907239914,-0.3833739161491394,-0.05534301698207855,0.00460714939981699,0.01252808142453432,-0.30930477380752563,0.13337717950344086,-0.13398578763008118,-0.14856624603271484,0.1140933707356453,0.045740533620119095,-0.13833877444267273,0.2447502315044403,-0.30075928568840027,0.04906586557626724,-0.31593942642211914,0.3245571553707123,0.28820034861564636,0.38128241896629333,-0.048746295273303986,0.15020471811294556,-0.027914604172110558,0.19070293009281158,-0.1377209722995758,-0.3213178813457489,0.3061414957046509,-0.18398675322532654,0.16083668172359467,0.12667123973369598,-0.23966027796268463,-0.13536576926708221,-0.008283537812530994,-0.10427693277597427,0.0504193939268589,-0.11838535964488983,0.10779018700122833,0.11657068133354187,-0.11247987300157547,-0.08039356768131256
saxitoxin biosynthesis,-0.09367769956588745,0.006268305238336325,0.4629060924053192,-0.27674055099487305,0.07520519196987152,-0.12966443598270416,-0.32478877902030945,0.41078782081604004,-0.16966184973716736,-0.02111087180674076,-0.3375706374645233,0.1511857956647873,-0.36011767387390137,-0.3457074463367462,0.019327258691191673,-0.2642340660095215,0.05215522646903992,0.2221788465976715,0.07583994418382645,-0.08648968487977982,0.06845405697822571,-0.10122749954462051,-0.08307638019323349,0.1115717887878418,0.09196136891841888,-0.2679770290851593,0.14293400943279266,0.10510865598917007,-0.08153217285871506,-0.4493061602115631,-0.2561241686344147,-0.19149403274059296,0.052479349076747894,-0.01488135103136301,0.10269146412611008,0.02875683829188347,0.3850155472755432,-0.23721449077129364,0.08523108065128326,0.01574375480413437,-0.1573161780834198,0.0013059527846053243,0.2138194590806961,0.2516452670097351,-0.07650916278362274,0.12439996004104614,0.03289182484149933,0.03859347477555275,-0.012778612785041332,0.016317181289196014,0.42511337995529175,0.056639932096004486,0.14037777483463287,0.1826796978712082,-0.24561472237110138,-0.3769884407520294,-0.02505049668252468,-0.0651060938835144,0.17547722160816193,-0.28394967317581177,-0.015067015774548054,0.08729340136051178,-0.10370989888906479,-0.03726888447999954
gymnodinium,0.16729412972927094,-0.43414998054504395,0.31006523966789246,-0.08510532230138779,-0.014067312702536583,-0.2614856958389282,-0.16196025907993317,0.013915127143263817,-0.2978369891643524,-0.10153552144765854,-0.0765257403254509,-0.07700007408857346,0.05036088079214096,0.02672504261136055,-0.22837261855602264,-0.16786181926727295,-0.14151988923549652,0.5561286807060242,0.05574556067585945,0.00978784542530775,0.09524774551391602,0.23980791866779327,0.07069540023803711,0.048979733139276505,0.25694796442985535,0.04751932621002197,-0.017693735659122467,0.05929750204086304,0.06639997661113739,-0.09992927312850952,0.10525492578744888,-0.13182877004146576,-0.08909104019403458,0.16002506017684937,-0.14794550836086273,0.241053968667984,0.18452872335910797,-0.058674152940511703,-0.2776476740837097,0.2672675848007202,-0.1620240956544876,-0.1086350753903389,0.06938713788986206,0.08935610204935074,0.32516273856163025,-0.06930027902126312,-0.2413840889930725,-0.3286409378051758,-0.005961318966001272,-0.016886359080672264,0.08256625384092331,0.10772482305765152,-0.0452943816781044,-0.04120875149965286,-0.011372656561434269,0.24722227454185486,0.0923842191696167,0.044498197734355927,0.04471590742468834,-0.5016192197799683,-0.18059270083904266,-0.008669918403029442,0.3331966698169708,0.05176326259970665
biosynthesis,-0.13399507105350494,0.04057346284389496,0.5449031591415405,-0.2997337579727173,0.06746258586645126,-0.1643824726343155,-0.2710995078086853,0.17781931161880493,-0.07089877128601074,-0.07137409597635269,-0.07181177288293839,0.044170912355184555,-0.37925371527671814,-0.17539699375629425,0.031377773731946945,-0.14515447616577148,0.16132457554340363,0.1487271636724472,0.20107248425483704,0.07240739464759827,0.100799061357975,0.27426230907440186,-0.2367660403251648,-0.10339713841676712,0.16624365746974945,-0.2987154722213745,-0.08557146042585373,0.22213053703308105,0.029937855899333954,-0.2571660876274109,-0.08438117057085037,-0.14243385195732117,0.20537562668323517,-0.09601573646068573,0.24774502217769623,0.04887300357222557,0.36888423562049866,-0.278938353061676,0.030276840552687645,0.02113082818686962,-0.10547652840614319,0.09598570317029953,0.31877055764198303,0.28433534502983093,0.027777446433901787,0.11235365271568298,-0.06757261604070663,0.04387442767620087,-0.028410544618964195,-0.12511876225471497,0.3530121445655823,0.12130246311426163,0.2516371011734009,0.3336857855319977,-0.15547522902488708,-0.3317357003688812,0.031055700033903122,-0.09212728589773178,-0.12394200265407562,-0.2718966603279114,0.03959423303604126,0.20104829967021942,-0.07833238691091537,-0.16082334518432617
