Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
alexandrium catenella,alexandrium minutum,336.8216349653833,25,399.0,5.7318474157938875,3835,33,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;gene expression;genes involved;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;salinity;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
alexandrium minutum,toxin composition,290.8756096052301,24,352.0,5.5431897866431825,4875,23,alexandrium;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;salinity;saxitoxin;strains of alexandrium;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
toxin composition,sxta,286.63749249962933,23,320.0,5.387106409338743,7725,30,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;species of alexandrium;strains of alexandrium;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
toxin content,cyanobacteria,269.5086024421888,26,244.0,6.322468587788684,8798,36,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;dinoflagellates;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;saxitoxin-producing dinoflagellates;sxta;toxic dinoflagellate;toxin production;toxin synthesis,0
sxta,gonyautoxins,261.355606356655,24,236.0,5.601744002993981,8961,37,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellates;saxitoxin;strains of alexandrium;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
alexandrium tamarense,sxtg,258.36781458742587,30,195.0,7.533072882821459,5100,37,biosynthesis;cellular toxin;cyanobacteria;cyanobacteria and dinoflagellates;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;involved in stx;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;stx synthesis;stx-producing;toxic cyanobacteria;toxic species;toxin production,0
alexandrium catenella,producing dinoflagellates,250.94122242355274,25,239.0,5.769165981466779,3894,30,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;genes involved;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;toxin composition;toxin content;toxin production;toxin profile;toxin synthesis;toxin-producing,0
saxitoxin biosynthesis,toxin composition,248.44558928678745,17,314.0,3.7331830138289575,4875,21,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;temperature;toxin content;toxin production,0
gymnodinium,alexandrium fundyense,241.12765961444583,26,214.0,5.9977218365641765,3900,30,alexandrium;alexandrium catenella;alexandrium tamarense;biosynthesis;clade;cyanobacteria;dinoflagellates;each toxin;genes involved;genus alexandrium;gonyautoxins;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;strains of alexandrium;sxta;temperature;toxin composition;toxin content;toxin production;toxin profile,0
nitrogen,genus alexandrium,234.79725242639716,27,191.0,6.361900430796286,4550,31,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;gonyautoxins;neostx;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;salinity;saxitoxin;sxta;sxtg;temperature;toxic dinoflagellate;toxin content;toxin content and composition;toxin production;toxin profile;toxin-producing,0
