Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
toxin profile,saxitoxin biosynthesis,385.5074615899345,23,482.0,5.359710373808618,7020,39,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;sxta;temperature;toxic species;toxin content;toxin production,1
toxin profile,biosynthesis,384.5724719634781,30,440.0,7.325308574731585,9828,39,alexandrium;alexandrium catenella;alexandrium tamarense;cellular toxin;environmental conditions;evolution;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;pst-producing;saxitoxin;temperature;toxic species;toxin analogues;toxin content;toxin production,1
toxin production,sxt genes,343.6778531559491,35,368.0,9.831517246519075,4300,28,biosynthesis;cyanobacteria;cyanobacteria and dinoflagellates;evolution;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;homologs;involved in stx;non-toxic species;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;saxitoxin production;stx synthesis;stx-producing;stx-producing dinoflagellates;sxta and sxtg;sxtg;synthesis genes;toxic cyanobacteria;toxic species,1
sxta,temperature,301.3569169235184,24,336.0,5.629151429174745,7622,32,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;toxic dinoflagellate;toxin content;toxin production;toxin profile,1
paralytic shellfish toxins,sxt genes,280.6146289050779,23,310.0,5.7143572503440145,7654,29,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;evolution;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;saxitoxin production;stx-producing;sxta;sxta and sxtg;sxtg;toxic species;toxin synthesis,1
gymnodinium catenatum,nitrogen,272.301881772691,24,283.0,5.516406754422699,4940,31,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;each toxin;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin analogues;strains of alexandrium;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,1
saxitoxin biosynthesis,nitrogen,260.4246250665707,21,274.0,5.083373155827554,4225,31,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;biosynthesis gene;cyanobacteria;dinoflagellates;metabolic pathways;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellate;producing dinoflagellates;saxitoxin;sxta;sxtg;temperature;toxin content;toxin production,1
toxin profile,cyanobacteria,259.779034237361,26,252.0,6.409497514780462,8964,29,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;dinoflagellates;environmental conditions;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin-producing dinoflagellates;sxta;toxic dinoflagellate;toxic species;toxin analogues;toxin production,1
paralytic shellfish toxins,pyrodinium bahamense,246.39227353139526,20,227.0,4.861432516558506,5518,37,alexandrium;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;producing dinoflagellates;pyrodinium;salinity;saxitoxin;saxitoxin biosynthesis;stx equivalents;stx-producing;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,1
toxin production,alexandrium pacificum,242.7235698859437,15,325.0,3.451006780308672,2300,18,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;gene cluster;genes involved;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta;toxic species;toxin synthesis,1
gymnodinium,nitrogen,238.04800026525962,23,224.0,5.2607845357873675,5070,30,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;each toxin;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin analogues;strains of alexandrium;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,1
