Source,Target,CN,WCN,AA,PA,Jaccard,Embedding_Cosine,Embedding_L2,Original_Score,Bio_Bonus,Common_Neighbors_Original,Weighted_Common_Neighbors_Original,Bridge_Nodes,Match,RF_Prob,GB_Prob,LR_Prob,ML_Score,Original_Score_Norm,ML_Score_Norm,Final_AI_Score
toxin profile,saxitoxin biosynthesis,25,490.0,5.901242464967919,8777,0.14450867052023122,0.14952579140663147,1.9569616317749023,385.5074615899345,39,23,482.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;sxta;temperature;toxic species;toxin content;toxin production,1,0.9733333333333334,0.9856260681695367,0.9988061298854017,0.9820269804066419,0.9999999999999999,0.9841521431946523,0.9928684644375935
toxin profile,biosynthesis,33,452.0,8.114810175295716,12314,0.171875,0.11309047043323517,2.019317388534546,384.5724719634781,39,30,440.0,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;cellular toxin;dinoflagellates;environmental conditions;evolution;genus alexandrium;gonyautoxins;gymnodinium;nitrogen;paralytic shellfish poisoning;phosphorus;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;sxta;temperature;toxic species;toxin analogues;toxin composition;toxin production,1,0.9333333333333333,0.9718135187007937,0.9999976615023854,0.9592398588339688,0.9971303449416465,0.9612616278400281,0.9809894222459183
toxin production,sxt genes,35,368.0,9.788803879906908,4601,0.30434782608695654,0.38551604747772217,1.7563384771347046,343.6778531559491,28,35,368.0,alexandrium;candidate genes;cyanobacteria and dinoflagellates;dinoflagellates;evolution;freshwater cyanobacteria;genus alexandrium;homologs;involved in stx;involved in toxin;non-toxic species;paralytic shellfish poisoning;phylogeny;pyrodinium;pyrodinium bahamense;saxitoxin biosynthesis;saxitoxin production;stx-producing;stx-producing dinoflagellates;sxta;sxta and sxtg;sxtb;toxic cyanobacteria;toxic species;toxin synthesis,1,1.0,0.9935482790623907,0.9999999994810431,0.9967741394792997,0.8716172414805669,0.9989662157010534,0.9289242798797859
alexandrium catenella,alexandrium minutum,27,410.0,6.215034913279161,4485,0.2523364485981308,0.25269877910614014,1.9515172243118286,336.82163496538334,33,25,399.0,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;gene expression;genes involved;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;salinity;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0,0.9966666666666667,0.992079522701256,0.9979689607757007,0.9945033240948649,0.850574247360622,0.996685096769066,0.9163241295944219
sxta,temperature,25,338.0,5.847041035785585,8268,0.15822784810126583,0.26777616143226624,1.9082388877868652,301.3569169235184,32,24,336.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;toxic dinoflagellate;toxin content;toxin production;toxin profile,1,0.9966666666666667,0.9922267867418673,0.9997094913554104,0.9947510091731414,0.7417265076187102,0.9969339056881443,0.8565698367499556
alexandrium minutum,toxin composition,25,356.0,5.714182221258333,6141,0.1893939393939394,0.0958109200000763,2.1737680435180664,290.8756096052301,23,24,352.0,alexandrium;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;salinity;saxitoxin;strains of alexandrium;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0,0.94,0.9649210902705287,0.9892008950100457,0.957380634636269,0.7095574485051066,0.9593939676395326,0.8219838821155983
paralytic shellfish toxins,sxt genes,23,310.0,5.671643883731847,8686,0.1036036036036036,0.17133525013923645,1.9697049856185913,280.6146289050779,29,23,310.0,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;evolution;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;saxitoxin production;stx-producing;sxta;sxta and sxtg;sxtg;toxic species;toxin synthesis,1,0.99,0.9911232254406538,0.9998483966097961,0.9915464523813066,0.6780646122888844,0.9937148086111256,0.820107200633893
toxin composition,sxta,24,323.0,5.588257257205317,9434,0.1411764705882353,0.11319681257009506,2.070777177810669,286.63749249962933,30,23,320.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;species of alexandrium;strains of alexandrium;toxic dinoflagellate;toxin content;toxin production;toxin profile,0,0.9233333333333333,0.9670470708520759,0.9985303650301599,0.9527099052623873,0.6965498879441677,0.9547020454013878,0.8127183587999167
gymnodinium catenatum,nitrogen,24,283.0,5.399748791098439,6424,0.17518248175182483,0.1990157812833786,2.0303330421447754,272.301881772691,31,24,283.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;each toxin;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin analogues;strains of alexandrium;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,1,0.99,0.9911648406245516,0.9955222184840259,0.9911346421606784,0.6525512630684491,0.9933011298519011,0.8058887031210025
saxitoxin biosynthesis,nitrogen,22,277.0,5.339339790184831,4891,0.1864406779661017,0.2683694660663605,1.9578088521957397,260.4246250665707,31,21,274.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;biosynthesis gene;cyanobacteria;dinoflagellates;metabolic pathways;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellate;producing dinoflagellates;saxitoxin;sxta;sxtg;temperature;toxin content;toxin production,1,0.99,0.991949695489698,0.999190413029573,0.9918938890478064,0.6160977786428986,0.9940638217290796,0.78618249803168
